Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",762598.02,,686338.22,,"Nurseries, cut flowers or cultivated turf",Undercover,309,Queensland Murray Darling Basin,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,310,Reef Catchments,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",26038179.73,^,23434361.76,^,"Nurseries, cut flowers or cultivated turf",Undercover,311,South East Queensland,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",10272520.02,*,9245268.02,*,"Nurseries, cut flowers or cultivated turf",Undercover,311,South East Queensland,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",7371886.02,*,6634697.42,*,"Nurseries, cut flowers or cultivated turf",Undercover,314,Terrain NRM,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",1266450.38,**,1139805.34,**,"Nurseries, cut flowers or cultivated turf",Undercover,314,Terrain NRM,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",8441502.67,*,7597352.4,*,"Nurseries, cut flowers or cultivated turf",Undercover,401,Adelaide and Mount Lofty Ranges,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",459489.98,^,413540.98,^,"Nurseries, cut flowers or cultivated turf",Undercover,401,Adelaide and Mount Lofty Ranges,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",7096246.48,,6386621.83,,"Nurseries, cut flowers or cultivated turf",Undercover,407,South Australian Murray Darling Basin,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",463747.81,*,417373.03,*,"Nurseries, cut flowers or cultivated turf",Undercover,407,South Australian Murray Darling Basin,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",1384350.35,,1245915.31,,"Nurseries, cut flowers or cultivated turf",Undercover,408,South East,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",305990.97,,275391.87,,"Nurseries, cut flowers or cultivated turf",Undercover,501,Northern Agricultural,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",241763.35,^,217587.02,^,"Nurseries, cut flowers or cultivated turf",Undercover,501,Northern Agricultural,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",8013406.17,*,7212065.55,*,"Nurseries, cut flowers or cultivated turf",Undercover,502,Peel-Harvey,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,502,Peel-Harvey,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",11607183.2,*,10446464.88,*,"Nurseries, cut flowers or cultivated turf",Undercover,503,Perth,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",2396054.83,^,2156449.35,^,"Nurseries, cut flowers or cultivated turf",Undercover,503,Perth,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,504,Rangelands,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,504,Rangelands,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",503248.62,,452923.76,,"Nurseries, cut flowers or cultivated turf",Undercover,505,South Coast,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",377235.05,*,339511.54,*,"Nurseries, cut flowers or cultivated turf",Undercover,505,South Coast,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,506,South West,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,507,Wheatbelt,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,507,Wheatbelt,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",248834.98,*,223951.48,*,"Nurseries, cut flowers or cultivated turf",Undercover,601,Cradle Coast,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",1843321.08,,1658988.97,,"Nurseries, cut flowers or cultivated turf",Undercover,601,Cradle Coast,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",640461.09,^,576414.98,^,"Nurseries, cut flowers or cultivated turf",Undercover,602,North,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,602,North,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",499341.47,*,449407.32,*,"Nurseries, cut flowers or cultivated turf",Undercover,603,South,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,603,South,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",1870714.41,,1683642.97,,"Nurseries, cut flowers or cultivated turf",Undercover,701,Northern Territory,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",18833.9,,16950.51,,"Nurseries, cut flowers or cultivated turf",Undercover,701,Northern Territory,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,801,ACT,,,
