Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,State_Code,State
9100258,Livestock slaughtered and other disposals - Sheep and lambs,985280360.3,,906761336.2,,1,New South Wales
9100258,Livestock slaughtered and other disposals - Sheep and lambs,1763390151,,1599155296,,2,Victoria
9100258,Livestock slaughtered and other disposals - Sheep and lambs,10739045.14,,9539079.58,,3,Queensland
9100258,Livestock slaughtered and other disposals - Sheep and lambs,575229769.1,,523089204.3,,4,South Australia
9100258,Livestock slaughtered and other disposals - Sheep and lambs,583738488.7,,532955337.1,,5,Western Australia
9100258,Livestock slaughtered and other disposals - Sheep and lambs,51386201.3,,46231310.83,,6,Tasmania
9100258,Livestock slaughtered and other disposals - Sheep and lambs,940814.86,*,865856.53,*,8,Australian Capital Territory
