Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,State_Code,State
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"183,597",,901,0,9991,New South Wales and Australian Capital Territory
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"190,185",,695,,9992,Victoria
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"39,133",,643,,9993,Queensland
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"151,743",,290,,9994,South Australia
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"308,784",,464,,9995,Western Australia
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"3,129",,62,,9996,Tasmania
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),598,,8,,9997,Northern Territory
