tr_tra_name_2018,Date,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,ACT
Sydney,2013-01-01,18211,np,np,np,np,0,0,np
Blue Mountains,2013-01-01,2065,0,0,0,0,0,0,np
Capital Country,2013-01-01,1665,0,0,0,0,0,0,641
Central Coast,2013-01-01,3707,0,0,0,0,0,0,0
Central NSW,2013-01-01,2394,0,0,0,0,0,0,np
Hunter,2013-01-01,5396,0,0,0,0,0,0,np
New England North West,2013-01-01,1254,0,np,0,0,0,0,0
North Coast NSW,2013-01-01,5270,0,960,0,0,0,0,0
Riverina,2013-01-01,1272,np,0,0,0,0,0,np
South Coast,2013-01-01,5956,np,np,0,0,0,0,np
The Murray,2013-01-01,527,727,0,0,0,0,0,np
Melbourne,2013-01-01,np,16509,np,np,np,np,0,np
Ballarat,2013-01-01,np,1501,0,np,0,0,0,0
Bendigo Loddon,2013-01-01,np,2412,0,np,0,0,0,0
Central Murray,2013-01-01,np,719,0,0,0,0,0,0
Geelong and the Bellarine,2013-01-01,np,2965,0,np,np,0,0,0
Gippsland,2013-01-01,0,2192,0,0,0,0,0,0
Goulburn,2013-01-01,np,1073,0,0,0,0,0,0
Great Ocean Road,2013-01-01,0,2070,0,np,0,0,0,0
High Country,2013-01-01,np,1077,0,0,0,0,0,0
Lakes,2013-01-01,np,595,0,0,0,0,0,0
Macedon,2013-01-01,0,1065,0,0,0,0,0,0
Mallee,2013-01-01,np,591,0,np,0,0,0,0
Melbourne East,2013-01-01,0,2500,0,0,0,0,0,0
Peninsula,2013-01-01,0,4125,0,0,0,0,0,0
Phillip Island,2013-01-01,0,1315,0,np,0,0,0,0
Spa Country,2013-01-01,0,545,0,0,0,0,0,0
Upper Yarra,2013-01-01,0,607,0,0,0,0,0,0
Brisbane,2013-01-01,641,np,12620,0,0,0,np,np
Bundaberg,2013-01-01,np,0,1096,0,0,0,0,0
Southern Queensland Country,2013-01-01,np,0,3811,0,0,0,0,0
