tr_tra_name_2018,Date,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,ACT
Australia's South West,2013-01-01,np,np,np,np,1843,np,np,np
Australia's Coral Coast,2013-01-01,np,np,np,np,613,np,np,np
Hobart and the South,2013-01-01,163,386,135,np,np,458,np,np
East Coast,2013-01-01,np,np,np,np,np,172,np,np
Launceston and the North,2013-01-01,81,192,np,np,np,350,np,0
North West,2013-01-01,np,88,np,np,np,186,np,np
West Coast,2013-01-01,np,np,np,np,np,49,np,np
Darwin,2013-01-01,68,89,np,np,np,np,132,np
Alice Springs,2013-01-01,np,np,np,np,np,np,38,0
Litchfield Kakadu Arnhem,2013-01-01,np,np,np,np,np,np,84,np
Katherine Daly,2013-01-01,np,np,np,np,np,np,93,np
Canberra,2013-01-01,1325,276,223,94,63,32,np,np
Sydney,2014-01-01,4406,1421,1144,372,328,123,56,574
Blue Mountains,2014-01-01,689,np,np,np,np,np,0,np
Capital Country,2014-01-01,816,121,np,np,np,np,np,np
Central Coast,2014-01-01,1117,np,np,np,np,np,np,np
Central NSW,2014-01-01,1372,134,131,np,np,np,np,np
Hunter,2014-01-01,2429,124,182,np,np,np,np,np
New England North West,2014-01-01,841,np,312,np,np,np,np,np
North Coast NSW,2014-01-01,2948,225,1282,np,np,np,np,np
Outback NSW,2014-01-01,198,np,np,np,np,np,0,np
Riverina,2014-01-01,580,165,np,52,np,np,np,np
Snowy Mountains,2014-01-01,525,np,np,np,np,np,np,np
South Coast,2014-01-01,2355,368,111,np,np,np,np,426
The Murray,2014-01-01,288,548,np,38,np,np,np,np
Melbourne,2014-01-01,2175,2921,768,618,449,322,60,225
Ballarat,2014-01-01,np,481,np,np,np,np,np,np
Bendigo Loddon,2014-01-01,np,682,np,np,np,np,np,np
Central Highlands,2014-01-01,np,222,np,np,np,np,np,0
Central Murray,2014-01-01,np,611,np,np,np,np,np,np
Geelong and the Bellarine,2014-01-01,np,871,np,np,np,np,np,np
Gippsland,2014-01-01,np,902,np,np,np,np,np,np
Goulburn,2014-01-01,np,342,np,np,np,np,np,np
Great Ocean Road,2014-01-01,np,1548,np,99,np,np,np,np
High Country,2014-01-01,153,894,np,np,np,np,0,np
Lakes,2014-01-01,np,515,np,np,np,np,np,np
Macedon,2014-01-01,np,223,np,np,np,np,0,np
Mallee,2014-01-01,98,318,np,157,np,np,np,0
Melbourne East,2014-01-01,np,396,np,np,np,np,np,np
Murray East,2014-01-01,np,97,np,np,0,np,0,np
Peninsula,2014-01-01,np,1148,np,np,np,np,np,np
Phillip Island,2014-01-01,np,725,np,np,np,np,np,np
Spa Country,2014-01-01,np,280,np,np,np,0,0,0
Upper Yarra,2014-01-01,np,146,np,np,np,np,np,0
Western Grampians,2014-01-01,np,232,np,np,np,np,np,0
Brisbane,2014-01-01,1260,504,3401,112,121,59,58,np
Bundaberg,2014-01-01,np,np,440,np,np,np,np,np
Southern Queensland Country,2014-01-01,203,np,1261,np,np,np,np,np
Fraser Coast,2014-01-01,np,np,443,np,np,np,0,np
Gold Coast,2014-01-01,923,537,1567,81,np,37,np,np
Mackay,2014-01-01,np,np,576,np,np,np,np,0
Townsville,2014-01-01,74,np,846,np,np,np,np,np
Outback Queensland,2014-01-01,np,np,541,np,np,np,np,np
Sunshine Coast,2014-01-01,386,231,2261,np,np,np,np,np
Tropical North Queensland,2014-01-01,250,222,1065,np,np,np,np,np
Whitsundays,2014-01-01,np,np,318,np,np,np,np,np
Capricorn,2014-01-01,np,np,805,np,np,np,np,np
Gladstone,2014-01-01,np,np,253,np,np,np,np,0
Adelaide,2014-01-01,429,593,179,935,121,np,73,np
Adelaide Hills,2014-01-01,np,np,np,77,np,np,np,np
Barossa,2014-01-01,np,np,np,119,np,np,np,0
Clare Valley,2014-01-01,np,np,np,84,np,np,np,0
Eyre Peninsula,2014-01-01,np,np,np,291,np,np,np,np
Fleurieu Peninsula,2014-01-01,np,np,np,556,np,0,np,0
Limestone Coast,2014-01-01,np,121,np,280,np,np,np,np
Murraylands,2014-01-01,np,np,np,224,np,np,np,0
Riverland,2014-01-01,np,np,np,234,np,np,np,0
Yorke Peninsula,2014-01-01,np,np,np,412,np,np,np,0
Flinders Ranges and Outback,2014-01-01,np,np,np,317,np,np,np,np
Experience Perth,2014-01-01,403,387,230,110,2470,np,np,np
Australia's Golden Outback,2014-01-01,np,np,np,np,699,np,np,0
Australia's North West,2014-01-01,np,np,np,np,676,np,np,0
