tr_tra_name_2018,Date,Visitors (000),Nights (000),Expenditure ($M),Average nights,Average spend per trip,Average spend per night
Central Highlands,2014-01-01,276,666,79,2,288,119
Central Murray,2014-01-01,730,"2,092",236,3,323,113
Geelong and the Bellarine,2014-01-01,"1,032","2,902",383,3,372,132
Gippsland,2014-01-01,"1,013","2,647",252,3,249,95
Goulburn,2014-01-01,467,"1,140",118,2,253,104
Great Ocean Road,2014-01-01,"1,814","5,823",740,3,408,127
High Country,2014-01-01,"1,136","3,409",461,3,406,135
Lakes,2014-01-01,642,"1,929",260,3,405,135
Macedon,2014-01-01,260,499,44,2,169,88
Mallee,2014-01-01,597,"1,809",287,3,481,159
Melbourne East,2014-01-01,541,"1,418",267,3,494,188
Murray East,2014-01-01,150,418,41,3,274,98
Peninsula,2014-01-01,"1,334","4,071",383,3,287,94
Phillip Island,2014-01-01,792,"2,527",286,3,362,113
Spa Country,2014-01-01,320,719,151,2,472,210
Upper Yarra,2014-01-01,170,384,28,2,165,73
Western Grampians,2014-01-01,304,832,60,3,197,72
Wimmera,2014-01-01,118,346,29,3,246,84
Brisbane,2014-01-01,"5,599","16,970","3,342",3,597,197
Bundaberg,2014-01-01,511,"1,506",223,3,437,148
Southern Queensland Country,2014-01-01,"1,573","4,345",543,3,345,125
Fraser Coast,2014-01-01,572,"2,143",274,4,479,128
Gold Coast,2014-01-01,"3,235","12,815","2,957",4,914,231
Mackay,2014-01-01,647,"2,377",294,4,454,123
Townsville,2014-01-01,"1,028","3,988",736,4,716,184
Outback Queensland,2014-01-01,678,"3,289",440,5,649,134
Sunshine Coast,2014-01-01,"3,007","10,964","1,792",4,596,163
Tropical North Queensland,2014-01-01,"1,679","8,921","1,748",5,"1,041",196
Whitsundays,2014-01-01,511,"2,069",577,4,"1,129",279
Capricorn,2014-01-01,912,"3,111",507,3,556,163
Gladstone,2014-01-01,328,"1,439",161,4,491,112
Adelaide,2014-01-01,"2,420","8,694","1,915",4,791,220
Adelaide Hills,2014-01-01,137,391,42,3,305,106
Barossa,2014-01-01,186,404,84,2,450,207
Clare Valley,2014-01-01,122,270,34,2,281,127
Eyre Peninsula,2014-01-01,376,"1,384",274,4,729,198
Fleurieu Peninsula,2014-01-01,673,"1,950",231,3,343,118
Limestone Coast,2014-01-01,442,"1,206",195,3,441,162
Murraylands,2014-01-01,266,624,65,2,245,105
Riverland,2014-01-01,295,885,93,3,315,105
Yorke Peninsula,2014-01-01,461,"1,644",129,4,279,78
Flinders Ranges and Outback,2014-01-01,467,"1,626",203,3,436,125
Kangaroo Island,2014-01-01,88,370,np,4,np,np
Experience Perth,2014-01-01,"3,668","13,644","2,953",4,805,216
Australia's Golden Outback,2014-01-01,775,"3,442",403,4,520,117
Australia's North West,2014-01-01,862,"7,902","1,236",9,"1,434",156
Australia's South West,2014-01-01,"2,541","8,741","1,289",3,507,147
Australia's Coral Coast,2014-01-01,821,"3,889",553,5,673,142
Hobart and the South,2014-01-01,"1,156","4,268",886,4,767,208
East Coast,2014-01-01,377,"1,221",130,3,345,106
Launceston and the North,2014-01-01,628,"1,661",343,3,545,206
North West,2014-01-01,469,"1,756",278,4,593,158
West Coast,2014-01-01,165,357,66,2,396,184
Darwin,2014-01-01,575,"2,740",725,5,"1,260",265
Barkly,2014-01-01,54,170,np,3,np,np
Alice Springs,2014-01-01,226,890,295,4,"1,306",331
Litchfield Kakadu Arnhem,2014-01-01,204,597,143,3,704,240
Katherine Daly,2014-01-01,235,821,102,3,435,125
Lasseter,2014-01-01,153,471,194,3,"1,269",412
MacDonnell,2014-01-01,63,191,np,3,np,np
Canberra,2014-01-01,"2,180","5,395","1,264",2,580,234
Sydney,2015-01-01,"8,620","23,658","6,126",3,711,259
Blue Mountains,2015-01-01,864,"2,068",362,2,419,175
Capital Country,2015-01-01,"1,026","2,509",324,2,315,129
Central Coast,2015-01-01,"1,199","3,459",484,3,404,140
Central NSW,2015-01-01,"1,989","5,130",775,3,390,151
Hunter,2015-01-01,"3,091","8,658","1,461",3,473,169
New England North West,2015-01-01,"1,398","3,978",511,3,366,129
North Coast NSW,2015-01-01,"4,718","17,940","2,628",4,557,146
Outback NSW,2015-01-01,455,"1,695",187,4,412,110
Riverina,2015-01-01,"1,052","2,473",387,2,368,156
Snowy Mountains,2015-01-01,710,"2,332",560,3,789,240
South Coast,2015-01-01,"3,314","11,395","1,531",3,462,134
The Murray,2015-01-01,995,"2,375",347,2,349,146
Melbourne,2015-01-01,"7,942","22,556","6,456",3,813,286
Ballarat,2015-01-01,610,"1,452",200,2,328,138
Bendigo Loddon,2015-01-01,967,"2,193",260,2,269,119
Central Highlands,2015-01-01,282,754,90,3,318,119
Central Murray,2015-01-01,673,"1,891",259,3,385,137
Geelong and the Bellarine,2015-01-01,"1,159","3,240",414,3,357,128
Gippsland,2015-01-01,959,"2,692",246,3,256,91
Goulburn,2015-01-01,516,"1,127",125,2,243,111
Great Ocean Road,2015-01-01,"1,754","4,970",727,3,415,146
High Country,2015-01-01,"1,401","4,331",631,3,451,146
Lakes,2015-01-01,598,"1,916",213,3,356,111
Macedon,2015-01-01,278,618,43,2,155,70
Mallee,2015-01-01,726,"1,958",296,3,408,151
Melbourne East,2015-01-01,500,"1,324",158,3,317,120
Murray East,2015-01-01,180,428,np,2,np,np
Peninsula,2015-01-01,"1,211","3,430",412,3,340,120
Phillip Island,2015-01-01,765,"2,124",239,3,313,113
Spa Country,2015-01-01,290,577,151,2,521,261
Upper Yarra,2015-01-01,222,530,54,2,245,103
Western Grampians,2015-01-01,310,801,89,3,287,111
Wimmera,2015-01-01,140,318,37,2,265,117
Brisbane,2015-01-01,"6,017","18,589","3,639",3,605,196
Bundaberg,2015-01-01,611,"2,044",256,3,420,125
Southern Queensland Country,2015-01-01,"1,896","5,149",570,3,301,111
Fraser Coast,2015-01-01,595,"2,438",288,4,484,118
Gold Coast,2015-01-01,"3,055","11,777","2,661",4,871,226
Mackay,2015-01-01,863,"3,247",404,4,468,124
Townsville,2015-01-01,"1,101","3,924",761,4,691,194
Outback Queensland,2015-01-01,787,"3,428",415,4,527,121
Sunshine Coast,2015-01-01,"3,197","11,435","1,879",4,588,164
Tropical North Queensland,2015-01-01,"1,670","8,051","1,715",5,"1,027",213
Whitsundays,2015-01-01,421,"2,167",453,5,"1,076",209
Capricorn,2015-01-01,937,"3,263",420,3,448,129
Gladstone,2015-01-01,442,"1,903",245,4,554,129
Adelaide,2015-01-01,"2,439","7,640","1,996",3,818,261
Adelaide Hills,2015-01-01,131,344,29,3,218,83
Barossa,2015-01-01,220,529,98,2,446,185
Clare Valley,2015-01-01,150,415,np,3,np,np
Eyre Peninsula,2015-01-01,456,"1,854",255,4,559,137
Fleurieu Peninsula,2015-01-01,643,"1,729",223,3,347,129
Limestone Coast,2015-01-01,557,"1,598",190,3,342,119
Murraylands,2015-01-01,316,942,98,3,312,104
Riverland,2015-01-01,347,989,108,3,311,109
Yorke Peninsula,2015-01-01,458,"1,359",123,3,269,91
Flinders Ranges and Outback,2015-01-01,578,"2,529",261,4,452,103
Kangaroo Island,2015-01-01,90,380,75,4,830,196
Experience Perth,2015-01-01,"3,818","13,074","3,008",3,788,230
Australia's Golden Outback,2015-01-01,"1,174","5,175",605,4,515,117
Australia's North West,2015-01-01,"1,102","9,384","1,221",9,"1,108",130
Australia's South West,2015-01-01,"2,778","9,192","1,434",3,516,156
Australia's Coral Coast,2015-01-01,"1,134","5,034",727,4,641,144
Hobart and the South,2015-01-01,"1,168","4,107",948,4,811,231
East Coast,2015-01-01,334,979,116,3,346,118
Launceston and the North,2015-01-01,700,"1,978",426,3,609,215
North West,2015-01-01,459,"1,579",272,3,592,172
West Coast,2015-01-01,145,418,52,3,355,123
Darwin,2015-01-01,723,"4,068",989,6,"1,367",243
Barkly,2015-01-01,108,251,55,2,511,220
Alice Springs,2015-01-01,272,"1,140",238,4,874,208
Litchfield Kakadu Arnhem,2015-01-01,298,"1,569",167,5,561,107
Katherine Daly,2015-01-01,250,774,90,3,358,116
Lasseter,2015-01-01,184,580,188,3,"1,023",324
MacDonnell,2015-01-01,54,186,np,3,np,np
Canberra,2015-01-01,"2,219","6,119","1,362",3,614,223
Sydney,2016-01-01,"8,878","23,010","6,403",3,721,278
Blue Mountains,2016-01-01,945,"2,214",347,2,367,157
Capital Country,2016-01-01,"1,295","3,025",396,2,306,131
Central Coast,2016-01-01,"1,253","3,348",505,3,403,151
Central NSW,2016-01-01,"2,071","5,806",860,3,415,148
Hunter,2016-01-01,"3,229","8,347","1,431",3,443,171
New England North West,2016-01-01,"1,367","3,754",477,3,349,127
North Coast NSW,2016-01-01,"5,119","20,427","2,821",4,551,138
Outback NSW,2016-01-01,452,"1,696",210,4,466,124
Riverina,2016-01-01,"1,063","2,858",361,3,339,126
Snowy Mountains,2016-01-01,749,"2,571",418,3,558,163
