tr_tra_name_2018,Date,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland,Italy,Netherlands,Switzerland
Tropical North Queensland,2013,87,15,3,,,,1,,144,12,74,22,84,40,18,27,11,11,10,11,,10
Whitsundays,2013,7,1,,,,,,,,,,10,43,24,9,14,6,7,7,6,,
Capricorn,2013,1,,,,,,,,,,,,,9,3,,,,,,,
Gladstone,2013,1,,,,,,,,,,,1,,6,3,,,,,,,
Adelaide,2013,7,9,12,17,6,,4,,,11,33,14,57,26,9,14,11,7,8,11,,
Adelaide Hills,2013,,,,,,,,,,,,,,,,,,,,,,
Barossa,2013,,,,,,,,,,,,,,,,,,,,,,
Clare Valley,2013,,,,,,,,,,,,,,,,,,,,,,
Eyre Peninsula,2013,,,,,,,,,,,,,,,,,,,,,,
Fleurieu Peninsula,2013,,,,,,,,,,,,,,,,,,,,,,
Limestone Coast,2013,,,,,,,,,,,,,,6,,,,,,,,
"Murray River, Lakes and Coorong",2013,,,,,,,,,,,,,,,,,,,,,,
Riverland,2013,,,,,,,,,,,,,,,,,,,,,,
Yorke Peninsula,2013,,,,,,,,,,,,,,,,,,,,,,
Flinders Ranges and Outback,2013,,,,,,,,,,,,,,5,1,,,,,,,
Kangaroo Island,2013,,,,,,,,,,,,,,,,,,,,,,
Experience Perth,2013,18,15,62,61,27,12,9,10,33,14,55,18,144,28,13,19,11,9,11,11,9,
Australia's Golden Outback,2013,,,,,,,,,,,,,,6,1,,,,,,,
Australia's North West,2013,2,,,,,,,,,,,,,6,1,,,,,,,
Australia's South West,2013,1,,,8,2,,,,,,,5,,8,2,,2,,,,,
Australia's Coral Coast,2013,,,,,,,,,,,,,,10,2,,,,,,,
Hobart and the South,2013,5,,5,,,,,,,2,,4,,7,2,,,,,,,
East Coast,2013,,,,,,,,,,,,,,,,,,,,,,
Launceston and the North,2013,,,,,,,,,,,,,,,,,,,,,,
North West,2013,,,,,,,,,,,,,,,,,,,,,,
West Coast,2013,,,,,,,,,,,,,,,,,,,,,,
Darwin,2013,4,,,,,,,,,,,5,17,15,4,,5,4,4,5,,
Barkly,2013,,,,,,,,,,,,,,,,,,,,,,
Alice Springs,2013,,,,,,,,,,,,5,,17,4,,5,3,6,5,,
Litchfield Kakadu Arnhem,2013,,,,,,,,,,,,,,,1,,,,,,,
Katherine Daly,2013,,,,,,,,,,,,,,,1,,,,,,,
Lasseter,2013,,1,,,,,,,,,,5,19,17,3,,7,3,,7,,
MacDonnell,2013,,,,,,,,,,,,,,,,,,,,,,
