tr_tra_name_2018,Date,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland,Italy,Netherlands,Switzerland
Australia's Golden Outback,2017,,,,,,,,,,,,,,5,0,,,,,,,
Australia's North West,2017,,,,,,,,,,,,1,,6,2,,,,,,,
Australia's South West,2017,2,,,14,4,,,,,,,3,,8,3,,1,,,,,
Australia's Coral Coast,2017,,,,,,,,,,,,,,10,2,,2,,,2,,
Hobart and the South,2017,5,,14,11,2,,,,,5,,10,19,13,4,,2,,,,,
East Coast,2017,,,,,,,,,,,,,,,,,,,,,,
Launceston and the North,2017,,,9,,,,,,,3,,3,,7,,,,,,,,
North West,2017,,,,,,,,,,,,,,,,,,,,,,
West Coast,2017,,,,,,,,,,,,,,,,,,,,,,
Darwin,2017,,,,1,,,,,,,,2,,15,5,,3,,4,3,,
Barkly,2017,,,,,,,,,,,,,,,,,,,,,,
Alice Springs,2017,,,,,,,,,,,,4,,17,7,,5,,,5,,
Litchfield Kakadu Arnhem,2017,,,,,,,,,,,,,,,,,,,,,,
Katherine Daly,2017,,,,,,,,,,,,,,,1,,,,,,,
Lasseter,2017,,1,,,,,,,,1,,6,,16,6,,10,4,,10,,
MacDonnell,2017,,,,,,,,,,,,,,,,,,,,,,
Canberra,2017,6,,,6,10,4,,,,12,23,6,,8,4,,,,,,,
Sydney,2018,187,126,120,86,83,85,39,203,755,156,467,101,333,119,65,81,46,30,36,46,30,36
Blue Mountains,2018,,,,,,,,,,,,3,,12,4,,,,,,,
Capital Country,2018,1,,,,,,,,,,,,,,,,,,,,,
Central Coast,2018,1,,,,,,,,,,,,,3,,,,,,,,
Central NSW,2018,,,,,,,,,,,,,,,,,,,,,,
Hunter,2018,3,,,,,,,,,5,,6,,13,8,,2,,,,,
New England North West,2018,,,,,,,,,,,,,,,,,,,,,,
North Coast NSW,2018,8,4,,,,,,,,2,,17,68,40,16,19,6,10,9,6,,
Outback NSW,2018,,,,,,,,,,,,,,,,,,,,,,
Riverina,2018,,,,,,,,,,,,,,,,,,,,,,
Snowy Mountains,2018,,,,,,,,,,,,,,,,,,,,,,
South Coast,2018,3,,,,,,,,,4,,10,30,12,7,,,,,,,
The Murray,2018,,,,,,,,,,,,,,,,,,,,,,
Melbourne,2018,82,101,127,143,76,61,29,54,652,168,222,55,203,76,35,51,29,22,23,29,22,23
Ballarat,2018,,,,,,,,,,,,,,,,,,,,,,
Bendigo Loddon,2018,,,,,,,,,,,,,,,,,,,,,,
Central Highlands,2018,,,,,,,,,,,,,,4,,,,,,,,
Central Murray,2018,,,,,,,,,,,,,,,,,,,,,,
Geelong and the Bellarine,2018,,,,,,,,,,,,,,,,,,,,,,
Gippsland,2018,,,,,,,,,,,,,,,,,,,,,,
Goulburn,2018,,,,,,,,,,,,,,,,,,,,,,
Great Ocean Road,2018,1,,,,,,,,,2,,8,29,21,9,14,6,8,10,6,,
High Country,2018,,,,,,,,,,,,,,,,,,,,,,
Lakes,2018,,,,,,,,,,,,,,,,,,,,,,
Macedon,2018,,,,,,,,,,,,,,,,,,,,,,
Mallee,2018,,,,,,,,,,,,,,,,,,,,,,
Melbourne East,2018,,,,,,,,,,,,,,,,,,,,,,
Murray East,2018,,,,,,,,,,,,,,,,,,,,,,
Peninsula,2018,0,,,,,,,,,,,,,1,,,,,,,,
Phillip Island,2018,,,,,,,,,,,,,,,,,,,,,,
Spa Country,2018,,,,,,,,,,,,,,,,,,,,,,
Upper Yarra,2018,,,,,,,,,,,,,,,,,,,,,,
Western Grampians,2018,,,,,,,,,,,,,,,,,,,,,,
Wimmera,2018,,,,,,,,,,,,,,,,,,,,,,
Brisbane,2018,41,39,41,27,13,57,9,38,256,36,105,37,128,54,29,28,15,15,14,15,15,14
Bundaberg,2018,,,,,,,,,,,,,,,,,,,,,,
Southern Queensland Country,2018,,,,,,,,,,,,,,,,,,,,,,
Fraser Coast,2018,0,,,,,,,,,,,5,,24,10,8,2,,7,2,,
Gold Coast,2018,68,34,34,27,9,,5,,269,38,41,21,60,27,13,12,4,5,,4,5,7
Mackay,2018,,,,,,,,,,,,,,,3,,,,,,,
Townsville,2018,2,,,,,,,,,,,5,,24,8,8,4,,5,4,,
Outback Queensland,2018,,,,,,,,,,,,,,,,,,,,,,
Sunshine Coast,2018,4,,,,,,,,,,,13,61,30,14,13,2,,9,2,9,
Tropical North Queensland,2018,111,15,8,,,,1,,206,24,109,25,81,49,24,22,13,14,12,13,14,12
Whitsundays,2018,7,1,,,,,,,,2,,9,47,30,13,14,5,8,8,5,,
Capricorn,2018,1,,,,,,,,,,,,,10,4,,,,,,,
Gladstone,2018,,,,,,,,,,,,,,11,3,,,,,,,
Adelaide,2018,8,13,11,14,4,4,,,,12,49,13,52,24,8,11,16,6,9,16,,
Adelaide Hills,2018,,,,,,,,,,,,,,,,,,,,,,
Barossa,2018,,,,,,,,,,,,,,,,,,,,,,
Clare Valley,2018,,,,,,,,,,,,,,,,,,,,,,
Eyre Peninsula,2018,,,,,,,,,,,,,,,,,,,,,,
Fleurieu Peninsula,2018,,,,,,,,,,,,,,,,,,,,,,
Limestone Coast,2018,,,,,,,,,,,,,,,,,,,,,,
"Murray River, Lakes and Coorong",2018,,,,,,,,,,,,,,,,,,,,,,
Riverland,2018,,,,,,,,,,,,,,,,,,,,,,
Yorke Peninsula,2018,,,,,,,,,,,,,,,,,,,,,,
Flinders Ranges and Outback,2018,,,,,,,,,,,,,,,,,,,,,,
Kangaroo Island,2018,,,,,,,,,,,,,,,,,,1,,,,
Experience Perth,2018,30,24,97,101,31,12,12,15,59,30,68,19,139,34,13,18,13,9,13,13,9,
Australia's Golden Outback,2018,,,,,,,,,,,,,,8,3,,,,,,,
Australia's North West,2018,,,,,,,,,,,,,,8,1,,,,,,,
Australia's South West,2018,2,,,17,3,,,,,,,6,,10,4,,4,,,,,
Australia's Coral Coast,2018,,,,,,,,,,,,3,,12,2,,,,,1,,
Hobart and the South,2018,7,,18,14,3,,,,,5,,6,,11,5,,2,,,,,
East Coast,2018,,,,,,,,,,,,,,,,,,,,,,
Launceston and the North,2018,,,,9,,,,,,2,,2,,4,,,,,,,,
North West,2018,,,,,,,,,,,,,,,,,,,,,,
West Coast,2018,,,,,,,,,,,,,,,,,,,,,,
Darwin,2018,,,,,,1,,,,,,5,,14,3,,4,,5,,,
Barkly,2018,,,,,,,,,,,,,,,,,,,,,,
Alice Springs,2018,,,,,,,,,,,,4,,17,7,,7,,,7,,
Litchfield Kakadu Arnhem,2018,,,,,,,,,,,,,,,2,,,,,,,
Katherine Daly,2018,,,,,,,,,,,,,,,,,,,,,,
Lasseter,2018,,3,,,,,,,,,,5,,16,8,,11,4,,11,,
MacDonnell,2018,,,,,,,,,,,,,,,,,,,,,,
Canberra,2018,5,,,6,8,7,,,,15,19,8,,11,4,,4,,,,,
