tr_tra_name_2018,Date,New Zealand,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland
Launceston and the North,2013-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,7,np,np,np,np,np,np
North West,2013-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
West Coast,2013-01-01,np,np,np,np,np,0,np,0,0,np,np,np,np,np,np,np,np,np,np,np
Darwin,2013-01-01,7,np,np,np,np,np,np,np,np,np,np,10,4,16,15,4,12,5,5,4
Barkly,2013-01-01,np,np,np,0,0,0,np,np,np,0,0,np,np,np,3,np,np,np,np,np
Alice Springs,2013-01-01,np,np,np,np,np,np,np,np,np,np,np,14,np,19,23,np,11,6,5,7
Litchfield Kakadu Arnhem,2013-01-01,np,np,np,np,np,np,np,0,0,np,np,np,np,np,7,np,5,np,np,np
Katherine Daly,2013-01-01,np,np,np,0,np,np,np,0,np,np,np,np,np,np,7,np,np,np,np,np
Lasseter,2013-01-01,np,23,np,np,np,0,np,np,np,np,np,20,np,17,18,np,11,8,3,6
MacDonnell,2013-01-01,np,0,0,0,0,0,0,0,np,0,0,0,0,np,np,np,np,np,np,np
Canberra,2013-01-01,13,np,np,6,np,5,np,np,5,22,8,20,np,18,8,np,np,np,np,np
Sydney,2014-01-01,358,139,98,105,73,56,57,32,143,419,84,311,77,315,106,55,73,43,25,31
Blue Mountains,2014-01-01,np,np,np,np,np,np,np,np,np,np,np,9,np,14,9,np,np,np,np,np
Central Coast,2014-01-01,8,np,np,np,np,np,np,np,np,np,np,np,np,9,np,np,np,np,np,np
Central NSW,2014-01-01,8,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Hunter,2014-01-01,16,np,np,np,np,np,np,np,np,8,np,18,8,22,11,5,np,np,np,np
New England North West,2014-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
North Coast NSW,2014-01-01,31,np,np,np,np,np,np,np,np,np,np,23,16,59,33,15,14,7,9,8
Outback NSW,2014-01-01,np,np,0,np,0,0,np,np,np,np,0,np,np,np,np,np,np,np,np,0
Riverina,2014-01-01,np,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np
Snowy Mountains,2014-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
South Coast,2014-01-01,13,np,np,np,np,np,np,np,np,6,np,14,6,16,9,np,np,np,np,np
The Murray,2014-01-01,np,np,np,np,0,np,0,np,np,np,np,np,np,np,np,np,np,np,np,np
Melbourne,2014-01-01,267,37,67,95,104,43,38,23,38,349,79,145,42,195,69,32,40,32,18,17
Ballarat,2014-01-01,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,0,np,np
Bendigo Loddon,2014-01-01,np,0,np,np,np,0,0,np,0,np,np,np,np,np,np,np,np,np,np,np
Central Highlands,2014-01-01,np,np,0,np,np,0,np,np,np,np,0,np,np,np,np,np,np,np,np,np
Central Murray,2014-01-01,np,np,np,np,0,0,np,np,np,np,0,np,np,np,np,np,np,0,np,0
Geelong and the Bellarine,2014-01-01,np,np,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np
Gippsland,2014-01-01,np,np,np,np,np,0,0,np,np,np,np,np,np,np,np,np,np,np,np,np
Goulburn,2014-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,0
High Country,2014-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,0,np,np
Lakes,2014-01-01,np,0,np,np,np,np,np,0,np,np,0,np,np,8,np,np,np,np,np,np
Macedon,2014-01-01,np,np,0,np,0,0,0,0,np,0,np,np,np,np,0,0,0,0,np,0
Mallee,2014-01-01,np,np,np,np,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np
Melbourne East,2014-01-01,np,np,np,np,np,np,np,np,0,np,np,np,np,9,np,np,np,np,np,np
Murray East,2014-01-01,np,0,np,0,0,np,0,0,0,np,0,np,0,np,0,0,0,np,np,np
Peninsula,2014-01-01,np,np,np,np,np,np,0,np,np,np,np,np,np,10,np,np,np,np,np,np
Phillip Island,2014-01-01,np,np,np,np,np,0,0,np,np,np,np,np,np,np,np,np,np,np,np,np
Spa Country,2014-01-01,np,0,np,np,0,0,0,0,0,np,0,np,0,np,np,0,np,0,np,np
Upper Yarra,2014-01-01,np,0,np,0,0,0,0,np,0,np,0,np,np,np,np,0,0,0,0,0
Great Ocean Road,2014-01-01,10,np,np,np,np,np,np,np,np,12,np,14,5,24,25,5,7,np,5,4
Western Grampians,2014-01-01,np,0,0,0,0,0,np,0,0,0,0,np,np,np,np,np,np,0,np,np
Wimmera,2014-01-01,np,0,0,0,0,0,0,0,0,0,np,np,0,0,np,np,0,np,np,np
Brisbane,2014-01-01,174,26,30,29,18,12,33,9,28,132,17,63,27,118,49,23,27,12,12,12
Bundaberg,2014-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Southern Queensland Country,2014-01-01,12,np,np,np,np,np,np,np,np,np,np,np,np,6,np,np,np,np,np,np
Fraser Coast,2014-01-01,np,np,np,np,0,np,np,np,np,np,0,5,6,31,20,8,7,np,7,5
