tr_tra_name_2018,Date,New Zealand,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland
High Country,2016-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Lakes,2016-01-01,np,np,np,np,np,0,0,0,0,np,np,np,np,np,np,np,np,np,np,np
Macedon,2016-01-01,np,np,0,np,np,0,0,np,0,np,0,np,0,np,np,0,np,0,0,0
Mallee,2016-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Melbourne East,2016-01-01,11,np,np,np,np,np,np,np,np,np,np,np,np,6,np,np,np,np,np,np
Murray East,2016-01-01,np,0,0,0,0,0,np,0,0,np,0,0,0,np,np,0,np,0,np,0
Peninsula,2016-01-01,12,np,np,np,np,np,np,np,0,np,np,np,np,14,np,np,np,np,np,np
Phillip Island,2016-01-01,np,0,np,np,np,np,np,np,np,np,np,np,np,8,np,np,np,np,np,np
Spa Country,2016-01-01,np,np,0,np,np,np,0,np,0,np,np,np,0,np,0,0,np,0,0,0
Upper Yarra,2016-01-01,np,0,0,np,0,np,0,0,np,np,0,np,np,np,0,np,0,0,0,0
Great Ocean Road,2016-01-01,13,np,np,13,np,np,np,np,np,26,np,14,7,32,16,5,12,6,5,8
Western Grampians,2016-01-01,np,0,np,np,0,0,0,0,0,np,np,np,np,np,np,np,np,0,np,np
Wimmera,2016-01-01,0,0,0,0,np,0,np,0,0,np,0,np,0,np,np,0,np,0,0,np
Brisbane,2016-01-01,185,38,32,32,23,8,35,9,35,223,27,91,27,124,57,22,24,12,11,16
Bundaberg,2016-01-01,np,np,np,np,0,np,np,np,np,np,np,np,np,8,7,np,np,np,np,np
Southern Queensland Country,2016-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,7,np,np,np,np,np,np
Fraser Coast,2016-01-01,np,np,np,np,0,0,np,np,np,np,np,6,6,34,28,11,8,np,5,6
Gold Coast,2016-01-01,187,56,30,36,27,7,32,np,26,282,26,32,14,65,25,13,11,5,5,8
Mackay,2016-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,7,6,np,np,np,np,np
Townsville,2016-01-01,11,np,np,np,np,np,np,np,np,np,np,10,6,27,23,7,7,np,4,4
Outback Queensland,2016-01-01,np,0,0,np,np,0,np,0,np,np,0,np,np,np,np,np,np,np,np,np
Sunshine Coast,2016-01-01,63,np,np,np,np,np,np,np,np,np,np,19,10,54,33,11,9,np,6,9
Tropical North Queensland,2016-01-01,43,104,24,6,np,np,8,np,12,217,23,109,23,97,52,22,19,8,10,11
Whitsundays,2016-01-01,10,7,np,np,np,0,np,np,np,16,np,21,13,50,34,11,9,np,6,7
Capricorn,2016-01-01,np,np,np,np,0,0,np,np,np,np,np,np,np,12,11,np,np,np,np,np
Gladstone,2016-01-01,np,0,0,np,0,np,np,np,np,np,np,np,np,8,7,np,np,np,np,np
Adelaide,2016-01-01,34,7,12,13,13,7,np,np,np,35,12,42,13,59,26,9,13,12,5,8
Adelaide Hills,2016-01-01,np,np,0,0,np,0,0,0,np,np,0,np,np,np,np,np,np,0,np,np
Barossa,2016-01-01,np,np,np,0,np,np,0,0,0,np,np,np,np,np,np,np,np,np,np,np
Clare Valley,2016-01-01,np,0,np,np,0,0,0,0,0,0,0,np,np,np,np,0,np,0,np,np
Eyre Peninsula,2016-01-01,np,0,np,np,0,0,np,0,np,np,np,np,np,np,np,np,np,np,np,np
Fleurieu Peninsula,2016-01-01,np,np,np,np,np,np,np,0,np,np,np,np,np,6,np,np,np,np,np,np
Limestone Coast,2016-01-01,np,np,np,np,np,0,np,np,np,np,np,np,np,10,np,np,np,np,np,np
Murraylands,2016-01-01,np,0,np,0,0,np,np,0,0,np,0,np,np,np,np,np,np,0,0,np
Riverland,2016-01-01,np,np,np,0,np,np,np,np,np,0,0,np,np,np,np,np,np,np,np,np
Yorke Peninsula,2016-01-01,np,np,0,0,0,np,0,0,0,np,0,0,0,np,np,np,0,0,0,np
Flinders Ranges and Outback,2016-01-01,np,np,np,np,np,0,0,0,np,np,0,np,np,6,5,np,np,np,np,np
Kangaroo Island,2016-01-01,np,np,np,np,np,0,np,0,0,np,np,np,np,np,np,np,np,6,np,np
Experience Perth,2016-01-01,70,24,20,94,87,26,10,10,12,47,19,62,15,142,34,13,18,12,9,12
Australia's Golden Outback,2016-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,9,6,np,np,np,np,np
Australia's North West,2016-01-01,12,np,np,np,np,np,np,np,np,np,np,10,np,8,8,np,5,np,np,np
Australia's South West,2016-01-01,13,np,np,30,12,np,np,np,np,np,np,13,np,32,11,np,6,np,3,4
Australia's Coral Coast,2016-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,14,12,np,5,np,np,4
Hobart and the South,2016-01-01,12,np,19,10,np,np,np,np,np,22,np,26,np,22,11,np,8,np,np,np
East Coast,2016-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,7,np,np,np,np,np,np
Launceston and the North,2016-01-01,np,np,16,np,np,np,np,np,np,8,np,np,np,10,np,np,np,np,np,np
North West,2016-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
West Coast,2016-01-01,np,np,np,np,np,0,np,np,np,np,0,np,np,np,np,np,np,0,np,np
Darwin,2016-01-01,np,5,np,np,np,np,np,np,np,np,np,12,np,20,17,np,9,np,4,4
Barkly,2016-01-01,np,np,np,np,np,0,np,0,np,0,0,np,np,np,np,np,np,np,np,np
Alice Springs,2016-01-01,np,np,np,np,np,np,np,0,np,np,np,22,np,20,17,np,10,np,4,5
Litchfield Kakadu Arnhem,2016-01-01,np,np,np,np,0,np,0,0,0,np,np,np,np,np,5,np,np,np,np,np
Katherine Daly,2016-01-01,np,np,np,np,np,np,np,0,np,0,np,np,np,np,5,np,np,np,np,np
Lasseter,2016-01-01,np,18,np,np,np,np,np,np,np,np,np,33,np,25,15,np,9,9,np,6
MacDonnell,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,np,0,np,np,0,np,0,np,np
Canberra,2016-01-01,17,np,np,10,np,np,np,np,np,38,7,23,np,22,10,np,np,np,np,np
Sydney,2017-01-01,387,161,119,114,85,74,70,38,210,699,130,431,86,356,127,63,71,40,30,31
Blue Mountains,2017-01-01,np,np,np,np,np,np,np,np,np,np,np,13,np,20,12,np,np,np,4,np
Central Coast,2017-01-01,8,np,np,np,np,np,np,np,np,np,np,np,np,10,np,np,np,np,np,np
Central NSW,2017-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Hunter,2017-01-01,19,np,np,np,np,np,np,np,np,12,np,21,8,30,15,9,7,np,np,np
New England North West,2017-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
North Coast NSW,2017-01-01,36,np,np,np,np,np,np,np,np,11,np,39,19,71,40,18,15,np,10,11
Outback NSW,2017-01-01,np,np,0,0,0,0,np,0,0,np,0,np,np,np,np,np,np,0,np,np
Riverina,2017-01-01,np,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np
Snowy Mountains,2017-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
South Coast,2017-01-01,15,np,np,np,np,np,np,np,12,17,np,18,7,28,13,np,6,np,4,np
The Murray,2017-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Melbourne,2017-01-01,307,63,94,129,138,67,53,29,51,563,123,202,48,204,82,37,44,30,20,19
Ballarat,2017-01-01,np,np,0,np,np,0,0,np,np,np,np,np,np,np,np,np,np,np,np,np
Bendigo Loddon,2017-01-01,np,np,0,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np
Central Highlands,2017-01-01,np,np,0,np,np,np,np,np,np,np,np,np,np,np,8,np,np,np,np,np
Central Murray,2017-01-01,np,np,np,0,np,np,np,np,0,np,np,np,np,np,np,np,0,np,np,np
Geelong and the Bellarine,2017-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,9,np,np,np,np,np,np
Gippsland,2017-01-01,np,np,np,np,np,0,np,np,np,np,0,np,np,9,9,np,np,np,np,np
Goulburn,2017-01-01,np,np,np,np,np,0,np,np,np,np,np,np,0,np,np,np,np,np,np,np
High Country,2017-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Lakes,2017-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,8,np,np,np,np,np
Macedon,2017-01-01,np,0,0,0,0,0,0,0,0,np,0,np,np,np,np,0,np,0,np,np
Mallee,2017-01-01,np,np,np,np,np,np,np,np,0,np,0,np,np,np,np,np,np,np,np,np
Melbourne East,2017-01-01,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np,np
Murray East,2017-01-01,np,0,0,0,0,0,0,0,0,0,np,np,0,np,np,0,0,0,0,0
Peninsula,2017-01-01,9,np,np,np,np,np,np,np,0,np,np,np,np,13,np,np,np,np,np,np
Phillip Island,2017-01-01,np,np,np,np,np,np,0,np,np,np,np,np,np,10,np,np,np,np,np,np
Spa Country,2017-01-01,np,np,np,np,np,0,0,0,0,np,np,np,np,np,np,np,np,0,0,0
Upper Yarra,2017-01-01,np,np,0,np,0,0,np,0,0,np,0,np,0,np,np,0,np,0,np,np
Great Ocean Road,2017-01-01,14,np,np,13,np,np,np,np,np,36,np,22,np,29,22,8,10,6,7,8
Western Grampians,2017-01-01,np,np,0,0,np,0,0,0,0,0,np,np,np,np,np,np,np,0,np,np
Wimmera,2017-01-01,np,np,np,0,0,0,0,0,np,np,0,np,0,np,np,np,0,0,np,np
Brisbane,2017-01-01,191,42,35,29,23,16,41,10,40,208,29,92,34,130,58,26,26,11,13,15
Bundaberg,2017-01-01,np,np,np,np,0,np,np,np,np,np,0,np,np,np,5,np,np,np,np,np
Southern Queensland Country,2017-01-01,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Fraser Coast,2017-01-01,np,np,np,np,np,0,np,np,np,np,np,8,np,35,28,9,7,np,7,7
Gold Coast,2017-01-01,197,67,28,30,25,np,37,np,28,302,30,40,15,68,26,16,11,8,5,7
Mackay,2017-01-01,np,np,np,0,np,np,np,np,np,np,np,np,np,np,8,np,np,np,np,np
Townsville,2017-01-01,np,np,np,np,np,np,0,np,np,np,np,11,np,26,24,8,8,np,9,5
Outback Queensland,2017-01-01,np,np,0,np,np,np,np,np,0,np,0,np,np,np,np,np,np,np,np,np
Sunshine Coast,2017-01-01,71,np,np,np,np,np,np,np,np,np,np,19,13,58,36,15,8,np,11,10
Tropical North Queensland,2017-01-01,48,110,17,5,np,np,9,np,16,214,31,115,22,92,57,21,18,10,13,11
Whitsundays,2017-01-01,12,9,np,np,np,np,np,np,np,20,np,18,9,55,33,13,10,np,10,9
Capricorn,2017-01-01,np,0,np,np,np,np,np,np,np,np,0,np,np,14,14,np,np,np,np,np
Gladstone,2017-01-01,np,0,np,np,np,np,np,np,np,np,np,np,np,9,11,np,np,np,np,np
Adelaide,2017-01-01,33,7,11,16,11,6,np,np,np,53,12,47,10,58,28,9,8,9,7,8
Adelaide Hills,2017-01-01,np,np,np,np,np,0,0,np,0,np,np,np,0,np,np,np,np,0,np,0
Barossa,2017-01-01,np,np,np,np,0,np,0,0,0,np,0,np,0,np,np,np,np,np,np,np
Clare Valley,2017-01-01,np,0,np,0,np,0,0,0,0,np,np,np,np,0,np,0,np,np,np,np
Eyre Peninsula,2017-01-01,np,np,0,np,0,0,np,0,np,np,0,np,np,np,np,np,np,np,np,np
Fleurieu Peninsula,2017-01-01,np,0,0,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np,np
Limestone Coast,2017-01-01,np,0,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Murraylands,2017-01-01,np,0,np,0,0,0,np,0,np,np,np,np,np,np,np,np,np,np,np,np
Riverland,2017-01-01,np,np,np,0,0,0,np,np,np,0,np,np,np,np,np,0,np,np,np,np
Yorke Peninsula,2017-01-01,np,0,np,0,0,0,0,0,0,np,np,np,0,np,np,np,0,0,np,np
Flinders Ranges and Outback,2017-01-01,np,np,np,np,0,np,np,np,np,np,np,np,np,np,6,np,np,np,np,np
Kangaroo Island,2017-01-01,np,np,np,np,np,0,0,0,np,np,np,np,np,np,np,np,np,np,np,np
Experience Perth,2017-01-01,62,26,24,104,114,30,11,11,15,51,27,79,17,145,34,13,15,14,9,11
Australia's Golden Outback,2017-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,11,7,np,np,np,np,np
Australia's North West,2017-01-01,np,np,np,np,np,np,np,np,np,np,np,14,np,8,9,np,np,np,np,np
Australia's South West,2017-01-01,9,np,np,26,18,np,np,np,np,np,np,15,np,35,8,np,4,np,np,np
Australia's Coral Coast,2017-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,14,13,np,np,np,np,5
Hobart and the South,2017-01-01,11,np,22,11,13,np,np,np,np,28,np,36,np,22,12,np,np,np,np,np
East Coast,2017-01-01,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Launceston and the North,2017-01-01,np,np,15,np,np,np,np,np,np,14,np,10,np,11,np,np,np,np,np,np
North West,2017-01-01,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np,np,np
West Coast,2017-01-01,np,np,np,np,np,0,np,0,0,np,0,np,np,np,np,np,np,np,np,np
Darwin,2017-01-01,13,np,np,np,np,np,np,np,np,np,np,19,np,22,16,np,7,np,4,np
Barkly,2017-01-01,np,0,0,np,0,0,0,0,np,np,0,np,np,np,np,np,np,np,np,np
Alice Springs,2017-01-01,np,np,np,np,np,np,np,0,np,np,np,24,np,20,19,np,7,np,np,6
Litchfield Kakadu Arnhem,2017-01-01,np,0,0,np,0,np,0,0,np,np,0,np,np,np,8,np,np,np,np,np
Katherine Daly,2017-01-01,np,np,0,np,np,np,np,0,np,np,np,np,np,np,10,np,np,np,np,np
Lasseter,2017-01-01,np,18,np,np,np,np,np,np,np,np,np,33,np,24,21,np,6,8,np,5
MacDonnell,2017-01-01,np,0,0,0,0,0,0,0,0,0,0,np,np,np,np,np,np,np,np,np
Canberra,2017-01-01,15,np,np,8,np,10,np,np,np,47,np,21,np,23,7,np,np,np,np,np
