tr_tra_name_2018,Room nights available ('000),Total revenue ($m),Occupancy,Revenue per available room,Average daily rate,Property count - census,Room count - census
Sydney,14503.678,2788.8603034165812,0.8531575052807676,192.2864188943371,225.38208678250695,387,40375
Blue Mountains,517.205,92.88235392000678,0.6555008561643835,179.5851817364619,273.9663572482449,32,1417
Capital Country,741.68,63.57805809569768,0.58468574222404,85.72168333472344,146.61155069157917,58,2032
Central Coast,751.87,97.09927972387507,0.6648917269800456,129.14370798658686,194.2326889419436,47,2055
Central NSW,1632.28,138.10372834939534,0.6136555458111194,84.60786651150252,137.87517621089745,149,4472
Hunter,2332.608,275.270698673191,0.6588470429621089,118.00984077615742,179.1156870729771,148,6420
New England North West,1166.54,92.80603792651655,0.5547562972620892,79.55667008976678,143.40832268584597,126,3230
North Coast NSW,3279.406,325.58705783542024,0.6275496476129601,99.28232668825399,158.2063300742799,263,8990
Outback NSW,,,,,,21,644
Riverina,766.433,65.20370616971535,0.633975705856588,85.07424154455163,134.1916429267659,65,2150
Snowy Mountains,919.748,72.74585113819373,0.4081470157134897,79.09324199475697,193.78615780515398,70,2550
South Coast,1866.577,208.56131731171294,0.6504247830352599,111.73464438472828,171.78718784870023,176,5142
The Murray,1218.735,95.56216554878927,0.5855160691899772,78.41094704655997,133.91766882681176,108,3339
Melbourne,11939.234,1844.1801381796338,0.8343458979911854,154.46385741159222,185.13167953901066,361,33324
Ballarat,376.3,33.56555575767946,0.6225087426214131,89.19892574456408,143.28943456913277,39,1036
Bendigo Loddon,391.28,38.60655555662322,0.6938572622296499,98.66733683455126,142.20120218601213,38,1072
Central Highlands,,,,,,14,297
Central Murray,224.917,21.780500120988656,0.6023132103335507,96.83794520195742,160.7767247016386,25,621
Geelong and the Bellarine,480.254,58.97245235086349,0.7646129301620929,122.79429708209301,160.59667870913646,31,1315
Gippsland,418.379,27.732896639451113,0.5202588183241654,66.28654076674765,127.41070104350544,41,1147
Goulburn,272.655,23.860360566575938,0.639889662910842,87.51117920660151,136.75979513173468,28,747
Great Ocean Road,865.78,87.83481728634102,0.6202772892648786,101.4516589507046,163.55855793292062,77,2372
High Country,613.101,48.45910234215191,0.3927853629584853,79.03934644072007,201.2278305010922,64,1851
Lakes,415.37,32.15182938320408,0.5916688060566567,77.4052757377858,130.8253451008767,42,1138
Macedon,,,,,,9,241
Mallee,443.84,32.442749660825605,0.6243033245213491,73.09559674843548,117.08346548447038,42,1216
Melbourne East,,,,,,18,686
Murray East,,,,,,12,343
Peninsula,399.607,44.39313007199187,0.6155971044305708,111.09197304349492,180.46214357401067,34,1138
Phillip Island,,,,,,17,729
Spa Country,,,,,,7,304
Upper Yarra,,,,,,6,288
Western Grampians,,,,,,23,535
Wimmera,,,,,,9,146
Brisbane,6754.693,754.4021172635954,0.7202301331757809,111.68562616592575,155.06936050212096,254,18890
Gold Coast,7474.847,1015.2518887961032,0.7180593296653257,135.82243071946533,189.1521008198162,309,20685
Bundaberg,273.385,17.277163633574073,0.5238955702760449,63.1971894345852,120.62936398047053,30,749
Capricorn,1180.41,94.82677705267196,0.5670109436597796,80.33376288973488,141.67938694660737,58,3234
Fraser Coast,689.702,46.99044169795702,0.5595987056014059,68.13151433221452,121.75066462849114,50,1878
Gladstone,609.087,31.48582465225446,0.4585682232066221,51.693476715566845,112.72799574748281,42,1654
Mackay,874.211,59.72323809704283,0.47746434301136154,68.31673142644377,143.08237343038226,53,2383
Outback Queensland,,,,,,47,1382
Southern Queensland Country,930.222,87.88531179904066,0.6525815404456093,94.47778250680015,144.7754443717284,95,2587
Sunshine Coast,3241.994,447.3300281443247,0.6615151209481721,137.97990623805123,208.58163610875582,243,8875
Townsville,1215.067,93.90477102534909,0.6067028977729552,77.2836156568725,127.38296774345415,60,3333
Tropical North Queensland,4975.091,659.2570032203392,0.7617088576758878,132.5115466672548,173.9661359217636,233,13624
Whitsundays,717.601,153.4000448412605,0.6596441217023947,213.76788053704007,324.0654672785573,40,1661
Adelaide,3057.588,361.6375556736255,0.7785746138516804,118.27543661004215,151.9127833168393,114,8412
Adelaide Hills,,,,,,6,294
Barossa,,,,,,9,420
Clare Valley,,,,,,5,185
Eyre Peninsula,,,,,,15,656
Fleurieu Peninsula,,,,,,15,435
Flinders Ranges and Outback,362.114,20.97466460583628,0.5067655815664507,57.92282155850445,114.2990441052856,26,998
Kangaroo Island,,,,,,10,284
Limestone Coast,348.94,18.102817886497963,0.5070818107427744,51.87945746116227,102.30983711517703,35,956
Murraylands,,,,,,5,94
Riverland,153.665,8.271727542222221,0.5051419495731586,53.829613394216125,106.56334014567939,11,421
Yorke Peninsula,,,,,,3,48
Experience Perth,4562.103,606.000057526638,0.7554814776793508,132.83348874995545,175.82626798209077,143,13132
Australia's Coral Coast,517.593,44.87304367614898,0.5205743968109636,86.69561542785351,166.53837752865,32,1414
Australia's Golden Outback,685.724,54.57431471034288,0.5978721229968335,79.58641481170687,133.11611588909687,36,1901
Australia's North West,1507.43,118.59765519047444,0.4965205633656091,78.67539798894438,158.45345347965448,57,4174
Australia's South West,1499.87,132.830195485638,0.5766550143035488,88.5611389558015,153.57733264967897,105,4111
Hobart and the South,1227.64,174.86696384967655,0.8207234877630032,142.4415658089314,173.5560976781301,76,3473
East Coast,,,,,,19,603
Launceston and the North,672.873,69.64664312786105,0.7444641432893121,103.50637212053546,139.03473129438692,43,1845
North West,363.905,42.471138731476344,0.6391541428381433,116.70941243312497,182.59979027106135,28,997
West Coast,,,,,,7,357
Darwin,1935.978,202.33018505924142,0.6974825818205264,104.51058072934785,149.83969987689258,45,5399
Alice Springs,538.617,45.07551595193008,0.7147661463343868,83.68751070228024,117.08376387363057,16,1476
Barkly,,,,,,4,187
Katherine Daly,,,,,,12,575
Lasseter,,,,,,6,778
Litchfield Kakadu Arnhem,,,,,,10,615
MacDonnell,,,,,,2,63
Canberra,2318.353,302.87884478702534,0.7672016310074169,130.6439721591256,170.28635873411304,60,6353
