DATE,LGA_CODE,LGA Name,"Agriculture, forestry and fishing (%)",Mining (%),Manufacturing  (%),"Electricity, Gas, Water & Waste Services (%)",Construction (%),Wholesale trade (%),Retail trade (%),Accommodation and food services (%),"Transport, Postal and Warehousing (%)",Information media and telecommunications (%),Financial and insurance services (%),"Rental, Hiring, & Real Estate Services (%)",Professional Scientific & Technical Services (%),Administrative and support services (%),Public administration and safety (%),Education and training (%),Health care and social assistance (%),Arts and recreation services (%),Other services (%),Total persons employed (no.)
2011,12150,Coonamble (A),30.8,0.2,1.1,1.2,5.7,3.1,7.3,4,4.1,0.4,0.6,0.3,2.1,1.7,7.6,10.3,11.4,1.4,3.4,1609
2011,12350,Cowra (A),15.4,0.9,10.3,1.3,5.6,4.1,11.5,7,4.1,0.6,1.3,1.1,2.7,1.7,5,8.2,12.2,0.9,3.6,4735
2011,12380,Cumberland (A),0.2,0.1,11.1,0.8,8.4,5.8,10.6,7.4,6.5,2.2,6,1.3,6.2,3.7,5.3,5.2,10.8,1.1,3.8,75827
2011,12700,Dungog (A),11,3.8,8.7,1.7,9.6,2.7,9.3,6.3,5.5,0.5,1.5,1.7,4.7,2.4,5.1,7.2,10.4,0.6,4.7,3722
2011,12730,Edward River (A),18.1,0.3,7.1,2.6,6.6,2.6,11.2,6,4.1,0.7,2,0.8,3.9,1.9,5.7,6.7,13.1,0.6,3.3,3854
2011,12750,Eurobodalla (A),2.7,0.3,4.9,1.2,10.9,1.8,14.8,11.6,3.4,1.5,1.5,1.8,4.1,3.3,6.1,8.4,13.6,1.7,4.2,12532
2011,12850,Fairfield (C),0.5,0.1,17.8,0.8,8.5,5.5,11.5,6.2,6.7,1.7,4.6,1.2,4.6,3.4,4,4.2,8.6,1,4.5,68610
2011,12870,Federation (A),14.3,0.3,17.6,0.8,6.8,3,9.7,8.5,5.7,0.3,1.2,0.6,2.6,2.4,4.6,5.4,9.6,0.8,3.1,5126
2011,12900,Forbes (A),19.2,2.8,5.8,1.2,5.6,3.9,10.9,5.8,4,0.3,1.4,0.8,4.8,1.8,5,9.4,10.9,0.5,3.4,3885
2011,12930,Georges River (A),0.1,0.1,7.6,0.8,6.2,5.4,10,7.6,7.3,2.4,7.2,1.9,8.9,3.7,5.2,7.1,10.9,1.4,3.4,63508
2011,12950,Gilgandra (A),28.6,0.3,2.1,1.4,5,1.9,9.1,6.4,4.1,0.5,1.1,0.4,2.3,1.9,7.2,8.2,12.9,0.4,4.1,1831
2011,13010,Glen Innes Severn (A),18.7,0.4,4.7,1.1,6.1,2.7,10.8,7.2,4,0.6,1.3,0.8,3.2,2.1,8.6,7.1,11.9,0.9,5.3,3415
2011,13310,Goulburn Mulwaree (A),3.3,0.9,6.8,1.4,7.9,2.6,12.9,8.2,5.5,1.1,1.6,1.5,3.9,2.4,11.4,7,14.7,1,4.2,12116
2011,13340,Greater Hume Shire (A),22,0.6,9.2,0.8,7.5,2.2,8.8,5.1,5.7,0.5,1.5,0.7,3.6,2,6.6,7.4,9.6,0.7,3.1,4560
2011,13450,Griffith (C),11.8,0.2,17.9,1.7,6.4,3.9,13.9,5.1,2.9,0.6,1.9,1,3.5,2.1,4.6,6.2,9,0.6,4.1,11217
2011,13510,Gundagai (A),15.3,0.6,10.6,1.2,6.8,3.2,10.1,7.8,6.1,0.4,1.3,0.8,3.8,1.7,6.4,7.6,9.7,0.5,3.1,4472
2011,13550,Gunnedah (A),16.9,7.5,7,1.4,5.2,2.7,9.9,6.8,4.8,0.6,1.3,1.2,3.2,2.1,5,7.8,9.5,0.7,4.3,5225
2011,13660,Gwydir (A),38.8,0.4,3.1,1.3,3.7,3,7,3.7,4,0.5,1.3,0.5,1.8,1.2,7.4,7.3,9.5,0.7,2.5,2030
2011,13800,Hawkesbury (C),2.7,0.3,10.8,1.2,12.6,4.9,10.4,5.1,4.8,1.6,2.3,1.5,4.5,2.6,8.4,8.2,9.2,1.5,4.8,31174
2011,13850,Hay (A),21.9,0.3,2.5,0.8,6.5,2.5,12.2,8.8,3.8,0.8,1,0.7,2.6,1.8,11,8.2,6.9,1.2,3,1303
2011,13910,Hilltops (A),21,0.7,6.8,1,6.5,3.5,12.6,5.5,4.3,0.4,1.9,0.9,2.9,1.9,5,7.4,10.7,0.6,3.5,7504
2011,14000,Hornsby (A),0.6,0.2,6.4,0.9,6.3,5.9,9.2,4.6,3,3.5,7.1,1.6,12.7,3.2,4.8,10.2,12.9,1.4,3.4,69039
2011,14100,Hunters Hill (A),0.4,0.3,6.4,0.4,5.7,5.7,7.9,4.9,2.4,3.6,9,3.1,15.3,2.8,3.2,8.7,13.4,1.9,2.9,5883
2011,14170,Inner West (A),0.1,0.1,5.1,0.6,4.4,4.1,7.6,6.3,3.7,5.7,7.7,1.7,13.5,3.9,6.3,10.2,10.9,2.8,3.2,92502
2011,14200,Inverell (A),13.2,0.8,10,1.4,6.7,3.3,14,6,2.8,0.9,1.5,1.5,3.2,1.6,5.4,8.2,13.1,0.6,3.7,6334
2011,14300,Junee (A),17.3,0.2,9.4,0.7,6,2.8,7.3,5.2,8.1,0.3,1.9,1.1,2.6,2,10.9,7.6,10.9,0.8,3.1,2156
2011,14350,Kempsey (A),5.2,0.4,7.6,1.2,9,2.5,13.6,8.9,4.5,0.7,1.3,1.2,3.2,3.2,6.6,8.9,15.4,1,3.3,9357
2011,14400,Kiama (A),1.9,1.9,7.1,0.8,9.6,2.2,9.6,8.3,3.8,0.8,2.5,1.7,5.5,2.5,8.4,13.7,12.8,1.7,3.4,9188
2011,14500,Ku-ring-gai (A),0.3,0.3,5,0.5,4.1,6.1,8.5,4.5,2.1,3.8,10,2.3,17.7,2.8,3.4,9.7,12.8,1.4,2.6,50306
