sa2_name_2011,date,Room nights occupied (no.),Room nights available (no.),Room occupancy rate (%),Guest nights occupied (no.),Guest nights available (no.),Bed occupancy rate (%),Takings from accommodation ($),Average takings per room night occupied ($),Average takings per room night available ($)
Armadale - Wungong - Brookdale,2015-10-01,,,,,,,,,
Belmont - Ascot - Redcliffe,2015-10-01,15133,22413,67.5,20464,45322,45.2,2978710,196.84,132.9
Rivervale - Kewdale - Cloverdale,2015-10-01,5544,11284,49.1,9932,32581,30.5,1029744,185.74,91.26
Victoria Park - Lathlain - Burswood,2015-10-01,,,,,,,,,
Bentley - Wilson - St James,2015-10-01,,,,,,,,,
Beckenham - Kenwick - Langford,2015-10-01,,,,,,,,,
Como,2015-10-01,4429,6262,70.7,7654,18104,42.3,859147,193.98,137.2
South Perth - Kensington,2015-10-01,4796,6815,70.4,8881,22776,39,964561,201.12,141.53
Henderson,2015-10-01,,,,,,,,,
East Fremantle,2015-10-01,,,,,,,,,
Fremantle,2015-10-01,14817,19893,74.5,23818,47784,49.8,3168961,213.87,159.3
Booragoon,2015-10-01,,,,,,,,,
Baldivis,2015-10-01,,,,,,,,,
Rockingham,2015-10-01,,,,,,,,,
Chittering,2015-10-01,,,,,,,,,
Northam,2015-10-01,,,,,,,,,
Toodyay,2015-10-01,,,,,,,,,
York - Beverley,2015-10-01,,,,,,,,,
Esperance,2015-10-01,5421,7347,73.8,8200,22568,36.3,730189,134.7,99.39
Esperance Region,2015-10-01,,,,,,,,,
Kalgoorlie,2015-10-01,19440,27900,69.7,22990,67704,34,2627058,135.14,94.16
Kambalda - Coolgardie - Norseman,2015-10-01,2961,7626,38.8,4144,21328,19.4,351132,118.58,46.04
Leinster - Leonora,2015-10-01,966,2976,32.5,1012,5580,18.1,138071,142.93,46.39
Meekatharra,2015-10-01,1108,2077,53.3,1178,4836,24.4,149008,134.53,71.74
Merredin,2015-10-01,,,,,,,,,
Moora,2015-10-01,1296,2635,49.2,1636,6045,27.1,136407,105.25,51.77
Mukinbudin,2015-10-01,,,,,,,,,
Kulin,2015-10-01,,,,,,,,,
Narrogin,2015-10-01,,,,,,,,,
Wagin,2015-10-01,,,,,,,,,
Augusta,2015-10-01,938,2914,32.2,1634,7874,20.8,117419,125.24,40.29
