sa2_name_2011,date,Room nights occupied (no.),Room nights available (no.),Room occupancy rate (%),Guest nights occupied (no.),Guest nights available (no.),Bed occupancy rate (%),Takings from accommodation ($),Average takings per room night occupied ($),Average takings per room night available ($)
Chittering,2016-02-01,,,,,,,,,
Northam,2016-02-01,,,,,,,,,
Toodyay,2016-02-01,,,,,,,,,
York - Beverley,2016-02-01,,,,,,,,,
Esperance,2016-02-01,4627,6873,67.3,6656,21112,31.5,684395,147.91,99.58
Esperance Region,2016-02-01,,,,,,,,,
Kalgoorlie,2016-02-01,12719,26158,48.6,15192,63568,23.9,1597402,125.59,61.07
Kambalda - Coolgardie - Norseman,2016-02-01,2373,7077,33.5,3417,19777,17.3,276503,116.52,39.07
Leinster - Leonora,2016-02-01,1108,2784,39.8,1117,5220,21.4,97840,88.3,35.14
Meekatharra,2016-02-01,541,1925,28.1,561,4496,12.5,49905,92.23,25.92
Merredin,2016-02-01,,,,,,,,,
Moora,2016-02-01,1037,2465,42.1,1198,5626,21.3,112312,108.3,45.56
Mukinbudin,2016-02-01,,,,,,,,,
Kulin,2016-02-01,,,,,,,,,
Narrogin,2016-02-01,,,,,,,,,
Wagin,2016-02-01,,,,,,,,,
Augusta,2016-02-01,896,2710,33,1586,7312,21.7,133309,148.84,49.19
Busselton,2016-02-01,11525,22272,51.7,23465,81461,28.8,1799956,156.18,80.82
Busselton Region,2016-02-01,5217,8410,62,12083,39179,30.8,1514394,290.28,180.07
Margaret River,2016-02-01,6240,9860,63.3,12328,26999,45.7,1130963,181.24,114.7
Bunbury,2016-02-01,10155,16066,63.2,15596,42833,36.4,1532304,150.89,95.38
Collie,2016-02-01,449,2929,15.3,763,6989,10.9,46847,104.34,15.99
Eaton - Pelican Point,2016-02-01,,,,,,,,,
Harvey,2016-02-01,,,,,,,,,
Bridgetown - Boyup Brook,2016-02-01,,,,,,,,,
Donnybrook - Balingup,2016-02-01,,,,,,,,,
Manjimup,2016-02-01,,,,,,,,,
Pemberton,2016-02-01,2628,6852,38.4,5137,19242,26.7,319700,121.65,46.66
Albany,2016-02-01,8721,13659,63.8,13677,40194,34,1225569,140.53,89.73
Denmark,2016-02-01,1084,1864,58.1,1896,5613,33.8,103415,95.42,55.48
Gnowangerup,2016-02-01,,,,,,,,,
Katanning,2016-02-01,,,,,,,,,
Kojonup,2016-02-01,,,,,,,,,
McKail - Willyung,2016-02-01,,,,,,,,,
Plantagenet,2016-02-01,,,,,,,,,
Broome,2016-02-01,12462,37091,33.6,19511,106227,18.4,2049203,164.43,55.25
Derby - West Kimberley,2016-02-01,,,,,,,,,
Halls Creek,2016-02-01,,,,,,,,,
Kununurra,2016-02-01,2356,11542,20.4,3059,29174,10.5,378362,160.6,32.78
Roebuck,2016-02-01,,,,,,,,,
Ashburton (WA),2016-02-01,9483,20126,47.1,10000,34800,28.7,906027,95.54,45.02
East Pilbara,2016-02-01,,,,,,,,,
Karratha,2016-02-01,4447,9251,48.1,4757,19459,24.4,1067900,240.14,115.44
Newman,2016-02-01,5725,10643,53.8,5777,17806,32.4,527272,92.09,49.54
Port Hedland,2016-02-01,4096,10273,39.9,5693,19062,29.9,767764,187.44,74.74
Roebourne,2016-02-01,,,,,,,,,
South Hedland,2016-02-01,,,,,,,,,
Carnarvon,2016-02-01,2109,4611,45.7,3675,15399,23.9,352367,167.08,76.42
Exmouth,2016-02-01,5625,13804,40.7,9264,43587,21.3,773954,137.6,56.07
Geraldton,2016-02-01,6551,14203,46.1,8827,44310,19.9,1053172,160.77,74.15
Geraldton - South,2016-02-01,,,,,,,,,
Irwin,2016-02-01,,,,,,,,,
Morawa,2016-02-01,,,,,,,,,
Northampton - Mullewa - Greenough,2016-02-01,,,,,,,,,
Gingin - Dandaragan,2016-02-01,981,2842,34.5,1634,8062,20.3,141657,144.4,49.84
Waroona,2016-03-01,,,,,,,,,
Halls Head - Erskine,2016-03-01,,,,,,,,,
Mandurah,2016-03-01,9498,15593,60.9,18308,57319,31.9,1479462,155.77,94.88
Mandurah - East,2016-03-01,,,,,,,,,
Pinjarra,2016-03-01,,,,,,,,,
Cottesloe,2016-03-01,,,,,,,,,
Nedlands - Dalkeith - Crawley,2016-03-01,,,,,,,,,
Perth City,2016-03-01,157184,194711,80.7,233095,473556,49.2,29834871,189.81,153.23
Subiaco - Shenton Park,2016-03-01,,,,,,,,,
Bayswater - Embleton - Bedford,2016-03-01,,,,,,,,,
Mundaring,2016-03-01,,,,,,,,,
Ellenbrook,2016-03-01,,,,,,,,,
Midland - Guildford,2016-03-01,,,,,,,,,
The Vines,2016-03-01,,,,,,,,,
Heathridge - Connolly,2016-03-01,,,,,,,,,
Hillarys,2016-03-01,,,,,,,,,
Sorrento - Marmion,2016-03-01,,,,,,,,,
Scarborough,2016-03-01,13453,16895,79.6,24844,41912,59.3,2720043,202.19,161
Trigg - North Beach - Watermans Bay,2016-03-01,,,,,,,,,
Mindarie - Quinns Rocks - Jindalee,2016-03-01,,,,,,,,,
Yanchep,2016-03-01,,,,,,,,,
Armadale - Wungong - Brookdale,2016-03-01,,,,,,,,,
Belmont - Ascot - Redcliffe,2016-03-01,14956,22289,67.1,19883,45136,44.1,2791273,186.63,125.23
Rivervale - Kewdale - Cloverdale,2016-03-01,5997,11284,53.1,10634,32581,32.6,984119,164.1,87.21
Victoria Park - Lathlain - Burswood,2016-03-01,,,,,,,,,
Bentley - Wilson - St James,2016-03-01,,,,,,,,,
Beckenham - Kenwick - Langford,2016-03-01,,,,,,,,,
Como,2016-03-01,4366,6262,69.7,9157,18104,50.6,849312,194.53,135.63
South Perth - Kensington,2016-03-01,5667,6815,83.2,9703,23192,41.8,1111914,196.21,163.16
Henderson,2016-03-01,,,,,,,,,
East Fremantle,2016-03-01,,,,,,,,,
Fremantle,2016-03-01,15931,20348,78.3,26856,48694,55.2,3522475,221.11,173.11
Booragoon,2016-03-01,,,,,,,,,
Baldivis,2016-03-01,,,,,,,,,
Rockingham,2016-03-01,2557,6076,42.1,3463,16430,21.1,463080,181.1,76.21
Chittering,2016-03-01,,,,,,,,,
Northam,2016-03-01,,,,,,,,,
Toodyay,2016-03-01,,,,,,,,,
York - Beverley,2016-03-01,,,,,,,,,
Esperance,2016-03-01,5005,7347,68.1,7680,22568,34,732559,146.37,99.71
Esperance Region,2016-03-01,,,,,,,,,
Kalgoorlie,2016-03-01,14103,27962,50.4,16959,67952,25,1684482,119.44,60.24
Kambalda - Coolgardie - Norseman,2016-03-01,2788,7626,36.6,4066,21328,19.1,326652,117.15,42.83
Leinster - Leonora,2016-03-01,1259,2976,42.3,1322,5580,23.7,131370,104.34,44.14
Meekatharra,2016-03-01,,,,,,,,,
Merredin,2016-03-01,,,,,,,,,
Moora,2016-03-01,1027,2635,39,1187,6014,19.7,108847,105.99,41.31
Mukinbudin,2016-03-01,,,,,,,,,
Kulin,2016-03-01,,,,,,,,,
Narrogin,2016-03-01,,,,,,,,,
Wagin,2016-03-01,913,2511,36.3,934,5456,17.1,66352,72.71,26.42
Augusta,2016-03-01,1061,2914,36.4,1921,7874,24.4,129924,122.41,44.59
Busselton,2016-03-01,13590,23808,57.1,29727,87079,34.1,2314663,170.33,97.22
Busselton Region,2016-03-01,5945,8990,66.1,15138,41881,36.1,1698202,285.65,188.9
Margaret River,2016-03-01,6716,10540,63.7,13768,28861,47.7,1252128,186.44,118.8
Bunbury,2016-03-01,11275,17174,65.7,18455,45787,40.3,1652869,146.6,96.24
Collie,2016-03-01,473,3131,15.1,877,7471,11.7,44660,94.42,14.26
Eaton - Pelican Point,2016-03-01,,,,,,,,,
Harvey,2016-03-01,,,,,,,,,
Bridgetown - Boyup Brook,2016-03-01,,,,,,,,,
Donnybrook - Balingup,2016-03-01,,,,,,,,,
Manjimup,2016-03-01,,,,,,,,,
Pemberton,2016-03-01,3165,7378,42.9,6398,20708,30.9,408567,129.08,55.38
Albany,2016-03-01,9491,14601,65,16322,42966,38,1356730,142.95,92.92
Denmark,2016-03-01,1342,2015,66.6,2326,6076,38.3,97525,72.65,48.4
Gnowangerup,2016-03-01,,,,,,,,,
Katanning,2016-03-01,,,,,,,,,
Kojonup,2016-03-01,,,,,,,,,
McKail - Willyung,2016-03-01,,,,,,,,,
Plantagenet,2016-03-01,,,,,,,,,
Broome,2016-03-01,17578,39649,44.3,31284,113553,27.5,3094663,176.05,78.05
Derby - West Kimberley,2016-03-01,,,,,,,,,
Halls Creek,2016-03-01,,,,,,,,,
Kununurra,2016-03-01,2592,12338,21,3461,31186,11.1,369275,142.47,29.93
Roebuck,2016-03-01,,,,,,,,,
Ashburton (WA),2016-03-01,9896,21514,46,10457,37200,28.1,846327,85.52,39.34
East Pilbara,2016-03-01,,,,,,,,,
Karratha,2016-03-01,4393,9889,44.4,4679,20801,22.5,991425,225.68,100.26
Newman,2016-03-01,4310,11377,37.9,4364,19034,22.9,421691,97.85,37.07
Port Hedland,2016-03-01,3653,10523,34.7,5545,19590,28.3,756121,206.96,71.85
Roebourne,2016-03-01,,,,,,,,,
South Hedland,2016-03-01,,,,,,,,,
Carnarvon,2016-03-01,2428,4929,49.3,4776,16461,29,458077,188.66,92.94
Exmouth,2016-03-01,8269,14756,56,14808,46593,31.8,1367166,165.33,92.65
Geraldton,2016-03-01,8509,15221,55.9,12486,47492,26.3,1465516,172.22,96.28
Geraldton - South,2016-03-01,,,,,,,,,
Irwin,2016-03-01,,,,,,,,,
Morawa,2016-03-01,,,,,,,,,
Northampton - Mullewa - Greenough,2016-03-01,,,,,,,,,
Gingin - Dandaragan,2016-03-01,1194,3038,39.3,2161,8618,25.1,178513,149.51,58.76
Waroona,2016-04-01,,,,,,,,,
Halls Head - Erskine,2016-04-01,,,,,,,,,
Mandurah,2016-04-01,8766,15030,58.3,16809,55410,30.3,1236822,141.09,82.29
Mandurah - East,2016-04-01,,,,,,,,,
Pinjarra,2016-04-01,,,,,,,,,
Cottesloe,2016-04-01,,,,,,,,,
Nedlands - Dalkeith - Crawley,2016-04-01,,,,,,,,,
Perth City,2016-04-01,152644,188070,81.2,222711,457050,48.7,31696227,207.65,168.53
Subiaco - Shenton Park,2016-04-01,,,,,,,,,
Bayswater - Embleton - Bedford,2016-04-01,,,,,,,,,
Mundaring,2016-04-01,,,,,,,,,
Ellenbrook,2016-04-01,,,,,,,,,
Midland - Guildford,2016-04-01,,,,,,,,,
The Vines,2016-04-01,,,,,,,,,
Heathridge - Connolly,2016-04-01,,,,,,,,,
Hillarys,2016-04-01,,,,,,,,,
Sorrento - Marmion,2016-04-01,,,,,,,,,
Scarborough,2016-04-01,12608,16350,77.1,21876,40560,53.9,2386483,189.28,145.96
Trigg - North Beach - Watermans Bay,2016-04-01,,,,,,,,,
Mindarie - Quinns Rocks - Jindalee,2016-04-01,,,,,,,,,
Yanchep,2016-04-01,,,,,,,,,
Armadale - Wungong - Brookdale,2016-04-01,,,,,,,,,
Belmont - Ascot - Redcliffe,2016-04-01,14117,20910,67.5,18804,41850,44.9,2748723,194.71,131.45
Rivervale - Kewdale - Cloverdale,2016-04-01,5113,10920,46.8,9213,31530,29.2,973350,190.37,89.13
Victoria Park - Lathlain - Burswood,2016-04-01,,,,,,,,,
Bentley - Wilson - St James,2016-04-01,,,,,,,,,
Beckenham - Kenwick - Langford,2016-04-01,,,,,,,,,
Como,2016-04-01,4041,6060,66.7,8752,17520,50,783939,194,129.36
South Perth - Kensington,2016-04-01,5752,8052,71.4,10753,22750,47.3,1052384,182.96,130.7
Henderson,2016-04-01,,,,,,,,,
East Fremantle,2016-04-01,,,,,,,,,
Fremantle,2016-04-01,14024,19310,72.6,23450,46360,50.6,3030380,216.08,156.93
Booragoon,2016-04-01,,,,,,,,,
Baldivis,2016-04-01,,,,,,,,,
Rockingham,2016-04-01,,,,,,,,,
Chittering,2016-04-01,,,,,,,,,
Northam,2016-04-01,,,,,,,,,
Toodyay,2016-04-01,,,,,,,,,
York - Beverley,2016-04-01,,,,,,,,,
Esperance,2016-04-01,4121,7110,58,6505,21840,29.8,621753,150.87,87.45
Esperance Region,2016-04-01,,,,,,,,,
Kalgoorlie,2016-04-01,14839,27180,54.6,18803,66360,28.3,1831374,123.42,67.38
Kambalda - Coolgardie - Norseman,2016-04-01,3273,7110,46,5043,20130,25.1,372532,113.81,52.4
Leinster - Leonora,2016-04-01,1280,2880,44.4,1312,5400,24.3,115828,90.49,40.22
Meekatharra,2016-04-01,789,2010,39.2,850,4680,18.2,94116,119.34,46.82
Merredin,2016-04-01,,,,,,,,,
Moora,2016-04-01,1148,2550,45,1318,5820,22.6,111206,96.87,43.61
Mukinbudin,2016-04-01,,,,,,,,,
Kulin,2016-04-01,,,,,,,,,
Narrogin,2016-04-01,,,,,,,,,
Wagin,2016-04-01,,,,,,,,,
Augusta,2016-04-01,915,2820,32.5,1689,7620,22.2,118648,129.6,42.07
Busselton,2016-04-01,13187,23040,57.2,30935,84390,36.7,2162536,163.99,93.86
Busselton Region,2016-04-01,5111,8130,62.9,12495,39390,31.7,1495716,292.65,183.97
Margaret River,2016-04-01,6232,10200,61.1,12840,27930,46,1240231,199.01,121.59
Bunbury,2016-04-01,10233,16770,61,16485,44310,37.2,1449711,141.67,86.45
Collie,2016-04-01,,,,,,,,,
Eaton - Pelican Point,2016-04-01,,,,,,,,,
Harvey,2016-04-01,,,,,,,,,
Bridgetown - Boyup Brook,2016-04-01,,,,,,,,,
Donnybrook - Balingup,2016-04-01,,,,,,,,,
Manjimup,2016-04-01,,,,,,,,,
Pemberton,2016-04-01,3142,7140,44,6824,20040,34.1,458993,146.06,64.28
Albany,2016-04-01,8453,14130,59.8,14253,41580,34.3,1164299,137.74,82.4
Denmark,2016-04-01,1127,1950,57.8,2101,5880,35.7,102564,90.98,52.6
Gnowangerup,2016-04-01,,,,,,,,,
Katanning,2016-04-01,,,,,,,,,
Kojonup,2016-04-01,,,,,,,,,
McKail - Willyung,2016-04-01,,,,,,,,,
Plantagenet,2016-04-01,,,,,,,,,
Broome,2016-04-01,21461,38250,56.1,39993,109890,36.4,4048271,188.63,105.84
Derby - West Kimberley,2016-04-01,1342,7410,18.1,1721,18990,9.1,227395,169.44,30.69
Halls Creek,2016-04-01,,,,,,,,,
Kununurra,2016-04-01,3872,11940,32.4,5168,30180,17.1,588238,151.92,49.27
Roebuck,2016-04-01,,,,,,,,,
Ashburton (WA),2016-04-01,9691,20820,46.5,10362,36000,28.8,935887,96.57,44.95
East Pilbara,2016-04-01,,,,,,,,,
Karratha,2016-04-01,4538,9270,49,4971,19080,26.1,939469,207.02,101.35
Newman,2016-04-01,4614,10800,42.7,4667,18420,25.3,454514,98.5,42.08
Port Hedland,2016-04-01,4592,10344,44.4,6483,19238,33.7,850066,185.12,82.18
Roebourne,2016-04-01,,,,,,,,,
South Hedland,2016-04-01,,,,,,,,,
Carnarvon,2016-04-01,2380,4770,49.9,5230,15930,32.8,477754,200.74,100.16
Exmouth,2016-04-01,9986,14580,68.5,19604,45990,42.6,1963696,196.64,134.68
Geraldton,2016-04-01,8581,14730,58.3,13910,45960,30.3,1470281,171.34,99.82
Geraldton - South,2016-04-01,,,,,,,,,
Irwin,2016-04-01,,,,,,,,,
Morawa,2016-04-01,,,,,,,,,
Northampton - Mullewa - Greenough,2016-04-01,,,,,,,,,
Gingin - Dandaragan,2016-04-01,1234,2940,42,2049,8340,24.6,176282,142.85,59.96
Waroona,2016-05-01,,,,,,,,,
Halls Head - Erskine,2016-05-01,,,,,,,,,
Mandurah,2016-05-01,6734,15531,43.4,12166,57257,21.2,880138,130.71,56.67
Mandurah - East,2016-05-01,,,,,,,,,
Pinjarra,2016-05-01,,,,,,,,,
Cottesloe,2016-05-01,,,,,,,,,
Nedlands - Dalkeith - Crawley,2016-05-01,,,,,,,,,
Perth City,2016-05-01,147283,194339,75.8,209844,472285,44.4,26629958,180.81,137.03
Subiaco - Shenton Park,2016-05-01,,,,,,,,,
Bayswater - Embleton - Bedford,2016-05-01,,,,,,,,,
Mundaring,2016-05-01,,,,,,,,,
Ellenbrook,2016-05-01,,,,,,,,,
Midland - Guildford,2016-05-01,,,,,,,,,
The Vines,2016-05-01,,,,,,,,,
Heathridge - Connolly,2016-05-01,,,,,,,,,
Hillarys,2016-05-01,,,,,,,,,
Sorrento - Marmion,2016-05-01,,,,,,,,,
Scarborough,2016-05-01,11990,16895,71,19456,41912,46.4,1997774,166.62,118.25
Trigg - North Beach - Watermans Bay,2016-05-01,,,,,,,,,
Mindarie - Quinns Rocks - Jindalee,2016-05-01,,,,,,,,,
Yanchep,2016-05-01,,,,,,,,,
Armadale - Wungong - Brookdale,2016-05-01,,,,,,,,,
Belmont - Ascot - Redcliffe,2016-05-01,13794,21607,63.8,17691,43245,40.9,2526249,183.14,116.92
Rivervale - Kewdale - Cloverdale,2016-05-01,4690,11284,41.6,9348,32581,28.7,714109,152.26,63.29
Victoria Park - Lathlain - Burswood,2016-05-01,,,,,,,,,
Bentley - Wilson - St James,2016-05-01,,,,,,,,,
Beckenham - Kenwick - Langford,2016-05-01,,,,,,,,,
Como,2016-05-01,3451,6262,55.1,6509,18104,36,640810,185.69,102.33
South Perth - Kensington,2016-05-01,5420,8193,66.2,9079,23192,39.1,949510,175.19,115.89
Henderson,2016-05-01,,,,,,,,,
East Fremantle,2016-05-01,,,,,,,,,
Fremantle,2016-05-01,12273,19893,61.7,18423,47784,38.6,2442683,199.02,122.79
Booragoon,2016-05-01,,,,,,,,,
Baldivis,2016-05-01,,,,,,,,,
Rockingham,2016-05-01,2243,6076,36.9,3060,16430,18.6,402552,179.47,66.25
Chittering,2016-05-01,,,,,,,,,
Northam,2016-05-01,,,,,,,,,
Toodyay,2016-05-01,,,,,,,,,
York - Beverley,2016-05-01,,,,,,,,,
Esperance,2016-05-01,3665,7347,49.9,4843,22568,21.5,509449,139,69.34
Esperance Region,2016-05-01,,,,,,,,,
Kalgoorlie,2016-05-01,16997,28086,60.5,20403,68572,29.8,2034941,119.72,72.45
Kambalda - Coolgardie - Norseman,2016-05-01,3359,7347,45.7,4641,20801,22.3,389552,115.99,53.02
Leinster - Leonora,2016-05-01,1210,2976,40.7,1249,5580,22.4,122458,101.2,41.15
Meekatharra,2016-05-01,823,2077,39.6,889,4836,18.4,111963,136,53.91
Merredin,2016-05-01,,,,,,,,,
Moora,2016-05-01,1197,2635,45.4,1375,6014,22.9,142662,119.18,54.14
Mukinbudin,2016-05-01,,,,,,,,,
Kulin,2016-05-01,,,,,,,,,
Narrogin,2016-05-01,,,,,,,,,
Wagin,2016-05-01,1015,2511,40.4,1018,5456,18.7,77267,76.1,30.77
Augusta,2016-05-01,522,2914,17.9,974,7874,12.4,66585,127.51,22.85
Busselton,2016-05-01,8952,23808,37.6,18513,87203,21.2,1140196,127.37,47.89
Busselton Region,2016-05-01,3294,8401,39.2,7819,40703,19.2,801191,243.23,95.37
Margaret River,2016-05-01,4640,10540,44,9343,28861,32.4,714674,154.02,67.81
Bunbury,2016-05-01,9984,17329,57.6,14941,45787,32.6,1426283,142.86,82.31
Collie,2016-05-01,,,,,,,,,
Eaton - Pelican Point,2016-05-01,,,,,,,,,
Harvey,2016-05-01,,,,,,,,,
Bridgetown - Boyup Brook,2016-05-01,,,,,,,,,
Donnybrook - Balingup,2016-05-01,,,,,,,,,
Manjimup,2016-05-01,,,,,,,,,
Pemberton,2016-05-01,2382,7378,32.3,4447,20708,21.5,313508,131.61,42.49
Albany,2016-05-01,6724,14601,46.1,10217,42966,23.8,870412,129.45,59.61
Denmark,2016-05-01,857,2015,42.5,1367,6076,22.5,67359,78.59,33.43
Gnowangerup,2016-05-01,,,,,,,,,
Katanning,2016-05-01,,,,,,,,,
Kojonup,2016-05-01,,,,,,,,,
McKail - Willyung,2016-05-01,,,,,,,,,
Plantagenet,2016-05-01,,,,,,,,,
Broome,2016-05-01,22585,39525,57.1,39740,113553,35,4896470,216.8,123.88
Derby - West Kimberley,2016-05-01,2275,7657,29.7,3046,19623,15.5,404062,177.61,52.77
Halls Creek,2016-05-01,,,,,,,,,
Kununurra,2016-05-01,7144,12338,57.9,10433,31186,33.5,1161960,162.65,94.18
Roebuck,2016-05-01,,,,,,,,,
Ashburton (WA),2016-05-01,10132,21514,47.1,10797,37200,29,967598,95.5,44.98
East Pilbara,2016-05-01,,,,,,,,,
Karratha,2016-05-01,4891,9579,51.1,5358,19716,27.2,979610,200.29,102.27
Newman,2016-05-01,6227,11160,55.8,6298,19034,33.1,624049,100.21,55.92
Port Hedland,2016-05-01,4868,10739,45.3,6426,19942,32.2,886895,182.2,82.59
Roebourne,2016-05-01,,,,,,,,,
South Hedland,2016-05-01,,,,,,,,,
Carnarvon,2016-05-01,2641,4929,53.6,4802,16461,29.2,478216,181.07,97.02
Exmouth,2016-05-01,9214,15066,61.2,15606,47523,32.8,1717347,186.39,113.99
Geraldton,2016-05-01,7902,15221,51.9,10935,47492,23,1398494,176.97,91.88
Geraldton - South,2016-05-01,,,,,,,,,
Irwin,2016-05-01,,,,,,,,,
Morawa,2016-05-01,,,,,,,,,
Northampton - Mullewa - Greenough,2016-05-01,,,,,,,,,
Gingin - Dandaragan,2016-05-01,923,3038,30.4,1446,8618,16.8,122532,132.75,40.33
Waroona,2016-06-01,,,,,,,,,
Halls Head - Erskine,2016-06-01,,,,,,,,,
Mandurah,2016-06-01,6344,15030,42.2,11698,55410,21.1,754242,118.89,50.18
Mandurah - East,2016-06-01,,,,,,,,,
Pinjarra,2016-06-01,,,,,,,,,
Cottesloe,2016-06-01,,,,,,,,,
Nedlands - Dalkeith - Crawley,2016-06-01,,,,,,,,,
Perth City,2016-06-01,139943,188070,74.4,203943,457050,44.6,24273100,173.45,129.06
Subiaco - Shenton Park,2016-06-01,,,,,,,,,
Bayswater - Embleton - Bedford,2016-06-01,,,,,,,,,
Mundaring,2016-06-01,,,,,,,,,
Ellenbrook,2016-06-01,,,,,,,,,
Midland - Guildford,2016-06-01,,,,,,,,,
The Vines,2016-06-01,,,,,,,,,
Heathridge - Connolly,2016-06-01,,,,,,,,,
Hillarys,2016-06-01,,,,,,,,,
Sorrento - Marmion,2016-06-01,,,,,,,,,
Scarborough,2016-06-01,11729,16350,71.7,20751,40560,51.2,1857431,158.36,113.6
Trigg - North Beach - Watermans Bay,2016-06-01,,,,,,,,,
Mindarie - Quinns Rocks - Jindalee,2016-06-01,,,,,,,,,
Yanchep,2016-06-01,,,,,,,,,
Armadale - Wungong - Brookdale,2016-06-01,,,,,,,,,
Belmont - Ascot - Redcliffe,2016-06-01,13179,20910,63,18041,41850,43.1,2449843,185.89,117.16
Rivervale - Kewdale - Cloverdale,2016-06-01,4626,10920,42.4,8461,31530,26.8,759901,164.27,69.59
Victoria Park - Lathlain - Burswood,2016-06-01,,,,,,,,,
Bentley - Wilson - St James,2016-06-01,,,,,,,,,
Beckenham - Kenwick - Langford,2016-06-01,,,,,,,,,
Como,2016-06-01,3574,6060,59,7624,17520,43.5,668733,187.11,110.35
South Perth - Kensington,2016-06-01,5352,8052,66.5,9377,22750,41.2,935347,174.77,116.16
Henderson,2016-06-01,,,,,,,,,
East Fremantle,2016-06-01,,,,,,,,,
Fremantle,2016-06-01,12490,19675,63.5,19876,47090,42.2,2336791,187.1,118.77
Booragoon,2016-06-01,,,,,,,,,
Baldivis,2016-06-01,,,,,,,,,
Rockingham,2016-06-01,,,,,,,,,
Chittering,2016-06-01,,,,,,,,,
Northam,2016-06-01,,,,,,,,,
Toodyay,2016-06-01,,,,,,,,,
York - Beverley,2016-06-01,,,,,,,,,
Esperance,2016-06-01,3308,7110,46.5,4420,21840,20.2,477496,144.35,67.16
Esperance Region,2016-06-01,,,,,,,,,
Kalgoorlie,2016-06-01,16959,27180,62.4,19927,66360,30,2008795,118.45,73.91
Kambalda - Coolgardie - Norseman,2016-06-01,2891,7110,40.7,4228,20130,21,334609,115.73,47.06
Leinster - Leonora,2016-06-01,1119,2880,38.9,1165,5400,21.6,123882,110.71,43.01
Meekatharra,2016-06-01,987,2010,49.1,1056,4680,22.6,118882,120.4,59.15
Merredin,2016-06-01,,,,,,,,,
Moora,2016-06-01,1130,2550,44.3,1286,5820,22.1,119939,106.14,47.03
Mukinbudin,2016-06-01,,,,,,,,,
Kulin,2016-06-01,,,,,,,,,
Narrogin,2016-06-01,,,,,,,,,
Wagin,2016-06-01,,,,,,,,,
Augusta,2016-06-01,,,,,,,,,
Busselton,2016-06-01,8392,23040,36.4,18970,84390,22.5,1084415,129.22,47.07
Busselton Region,2016-06-01,3096,8130,38.1,7186,39390,18.2,754463,243.69,92.8
Margaret River,2016-06-01,4978,10200,48.8,9769,27930,35,810259,162.77,79.44
Bunbury,2016-06-01,9731,16770,58,14893,44310,33.6,1339584,137.66,79.88
Collie,2016-06-01,,,,,,,,,
Eaton - Pelican Point,2016-06-01,,,,,,,,,
Harvey,2016-06-01,,,,,,,,,
Bridgetown - Boyup Brook,2016-06-01,,,,,,,,,
Donnybrook - Balingup,2016-06-01,,,,,,,,,
Manjimup,2016-06-01,,,,,,,,,
Pemberton,2016-06-01,2336,7140,32.7,4704,20040,23.5,311041,133.14,43.56
Albany,2016-06-01,6660,14130,47.1,10878,41580,26.2,917440,137.75,64.93
Denmark,2016-06-01,764,1950,39.2,1294,5880,22,52372,68.57,26.86
Gnowangerup,2016-06-01,,,,,,,,,
Katanning,2016-06-01,,,,,,,,,
Kojonup,2016-06-01,,,,,,,,,
McKail - Willyung,2016-06-01,,,,,,,,,
Plantagenet,2016-06-01,,,,,,,,,
Broome,2016-06-01,26912,38250,70.4,49788,109890,45.3,6494051,241.3,169.78
Derby - West Kimberley,2016-06-01,2848,7410,38.4,4009,18990,21.1,492244,172.84,66.43
Halls Creek,2016-06-01,,,,,,,,,
Kununurra,2016-06-01,7000,11940,58.6,9884,30180,32.8,1169528,167.08,97.95
Roebuck,2016-06-01,,,,,,,,,
Ashburton (WA),2016-06-01,10331,20820,49.6,11001,36000,30.6,1004328,97.22,48.24
East Pilbara,2016-06-01,,,,,,,,,
Karratha,2016-06-01,5388,9270,58.1,6125,19080,32.1,1151339,213.69,124.2
Newman,2016-06-01,6116,10800,56.6,6255,18420,34,647277,105.83,59.93
Port Hedland,2016-06-01,4974,10344,48.1,6296,19238,32.7,905737,182.08,87.56
Roebourne,2016-06-01,,,,,,,,,
South Hedland,2016-06-01,,,,,,,,,
Carnarvon,2016-06-01,2563,4770,53.7,4953,15930,31.1,484498,189.04,101.57
Exmouth,2016-06-01,9525,14580,65.3,16659,45990,36.2,1709296,179.45,117.24
Geraldton,2016-06-01,7621,14730,51.7,11399,45960,24.8,1304388,171.15,88.55
Geraldton - South,2016-06-01,,,,,,,,,
Irwin,2016-06-01,,,,,,,,,
Morawa,2016-06-01,,,,,,,,,
Northampton - Mullewa - Greenough,2016-06-01,,,,,,,,,
Gingin - Dandaragan,2016-06-01,858,2940,29.2,1621,8340,19.4,109379,127.48,37.2
Burleigh Heads,2015-07-01,7096,9362,75.8,17722,32085,55.2,1227461,172.98,131.11
Mermaid Beach - Broadbeach,2015-07-01,64917,85808,75.7,140468,280612,50.1,11464128,176.6,133.6
Mermaid Waters,2015-07-01,,,,,,,,,
Miami,2015-07-01,3046,4247,71.7,6160,13423,45.9,233959,76.81,55.09
Coolangatta,2015-07-01,18276,24366,75,42655,79918,53.4,2263947,123.87,92.91
Currumbin - Tugun,2015-07-01,,,,,,,,,
Palm Beach,2015-07-01,,,,,,,,,
Biggera Waters,2015-07-01,4533,6231,72.8,8806,20925,42.1,653426,144.14,104.87
Labrador,2015-07-01,,,,,,,,,
Paradise Point - Hollywell,2015-07-01,,,,,,,,,
Runaway Bay,2015-07-01,,,,,,,,,
Tamborine - Canungra,2015-07-01,5018,9021,55.6,9181,26970,34,1028651,204.99,114.03
