sa2_name_2011,date,Establishments (no.),Rooms (no.),Bed spaces (no.)
Beaudesert,2016-04-01,1,,
Cleveland,2016-04-01,2,,
Ormiston,2016-04-01,1,,
Redland Islands,2016-04-01,4,198,838
Manly - Lota,2016-04-01,1,,
Wakerley,2016-04-01,1,,
Wynnum,2016-04-01,1,,
Wynnum West - Hemmant,2016-04-01,2,,
Carseldine,2016-04-01,2,,
Aspley,2016-04-01,2,,
Chermside,2016-04-01,7,330,881
Boondall,2016-04-01,1,,
Brisbane Airport,2016-04-01,1,,
Northgate - Virginia,2016-04-01,2,,
Annerley,2016-04-01,2,,
Greenslopes,2016-04-01,1,,
Woolloongabba,2016-04-01,5,321,693
Eight Mile Plains,2016-04-01,2,,
Mount Gravatt,2016-04-01,1,,
Upper Mount Gravatt,2016-04-01,2,,
Robertson,2016-04-01,1,,
Calamvale - Stretton,2016-04-01,1,,
Rocklea - Acacia Ridge,2016-04-01,3,128,335
Sunnybank,2016-04-01,1,,
Jindalee - Mount Ommaney,2016-04-01,1,,
Indooroopilly,2016-04-01,1,,
St Lucia,2016-04-01,1,,
Brisbane City,2016-04-01,43,7190,18330
Fortitude Valley,2016-04-01,11,594,1204
Kangaroo Point,2016-04-01,13,759,2005
New Farm,2016-04-01,2,,
South Brisbane,2016-04-01,9,853,2318
Spring Hill,2016-04-01,20,1465,3700
Albion,2016-04-01,3,,
Ascot,2016-04-01,4,93,251
Clayfield,2016-04-01,1,,
Hamilton (Qld),2016-04-01,11,397,999
Hendra,2016-04-01,1,,
Kelvin Grove - Herston,2016-04-01,2,,
Newstead - Bowen Hills,2016-04-01,7,510,1306
Windsor,2016-04-01,2,,
Auchenflower,2016-04-01,1,,
Paddington - Milton,2016-04-01,2,,
Toowong,2016-04-01,5,186,558
Darra - Sumner,2016-04-01,1,,
Oxley (Qld),2016-04-01,2,,
Boonah,2016-04-01,1,,
Lowood,2016-04-01,1,,
Rosewood,2016-04-01,2,,
Ipswich - Central,2016-04-01,5,280,707
Leichhardt - One Mile,2016-04-01,1,,
North Ipswich - Tivoli,2016-04-01,1,,
Raceview,2016-04-01,1,,
Hillcrest,2016-04-01,2,,
Loganholme - Tanah Merah,2016-04-01,1,,
Loganlea,2016-04-01,1,,
Waterford West,2016-04-01,1,,
Slacks Creek,2016-04-01,1,,
Springwood,2016-04-01,1,,
Bribie Island,2016-04-01,5,94,993
Caboolture,2016-04-01,3,80,242
Caboolture - South,2016-04-01,2,,
Margate - Woody Point,2016-04-01,1,,
Redcliffe,2016-04-01,4,151,466
Cashmere,2016-04-01,1,,
Gatton,2016-04-01,1,,
Lockyer Valley - West,2016-04-01,1,,
Buderim - North,2016-04-01,1,,
Buddina - Minyama,2016-04-01,1,,
Caloundra - Kings Beach,2016-04-01,15,520,1823
Golden Beach - Pelican Waters,2016-04-01,5,337,1088
Moffat Beach - Battery Hill,2016-04-01,3,88,270
Wurtulla - Birtinya,2016-04-01,2,,
Coolum Beach,2016-04-01,10,349,1351
Marcoola - Mudjimba,2016-04-01,4,520,1937
Maroochydore - Kuluin,2016-04-01,14,393,1338
Mooloolaba - Alexandra Headland,2016-04-01,27,1211,4349
Diddillibah - Rosemount,2016-04-01,1,,
Nambour,2016-04-01,3,59,171
Noosa Heads,2016-04-01,19,1198,3611
Noosaville,2016-04-01,23,649,2417
Peregian,2016-04-01,3,59,212
Sunshine Beach,2016-04-01,4,70,286
Caloundra Hinterland,2016-04-01,2,,
Maroochy Hinterland,2016-04-01,1,,
Palmwoods,2016-04-01,2,,
Cooloola,2016-04-01,5,166,633
Gympie - North,2016-04-01,6,151,404
Pialba - Eli Waters,2016-04-01,3,75,224
Point Vernon,2016-04-01,1,,
Torquay - Scarness - Kawungan,2016-04-01,7,,
Urangan - Wondunna,2016-04-01,10,543,2000
Burrum - Fraser,2016-04-01,3,,
Maryborough (Qld),2016-04-01,9,353,1019
Tinana,2016-04-01,1,,
Balonne,2016-04-01,7,154,458
Chinchilla,2016-04-01,6,158,389
Goondiwindi,2016-04-01,10,230,677
Miles - Wandoan,2016-04-01,5,114,278
Roma,2016-04-01,11,277,746
Roma Region,2016-04-01,3,74,211
Tara,2016-04-01,2,,
Crows Nest - Rosalie,2016-04-01,1,,
Jondaryan,2016-04-01,1,,
Pittsworth,2016-04-01,1,,
Wambo,2016-04-01,11,272,733
Southern Downs - East,2016-04-01,1,,
Stanthorpe,2016-04-01,8,168,548
Warwick,2016-04-01,9,202,576
Darling Heights,2016-04-01,4,135,429
Drayton - Harristown,2016-04-01,3,97,282
Highfields,2016-04-01,1,,
Newtown (Qld),2016-04-01,2,,
North Toowoomba - Harlaxton,2016-04-01,2,,
Toowoomba - Central,2016-04-01,16,588,1558
Toowoomba - East,2016-04-01,8,245,749
Toowoomba - West,2016-04-01,1,,
Wilsonton,2016-04-01,1,,
Kingaroy,2016-04-01,7,206,536
Kingaroy Region - North,2016-04-01,1,,
Nanango,2016-04-01,3,51,134
Bargara - Burnett Heads,2016-04-01,8,240,934
Branyan - Kensington,2016-04-01,1,,
Bundaberg,2016-04-01,13,319,840
Bundaberg Region - South,2016-04-01,3,67,241
Millbank - Avoca,2016-04-01,3,96,299
Gayndah - Mundubbera,2016-04-01,2,,
Gin Gin,2016-04-01,2,,
Monto - Eidsvold,2016-04-01,2,,
Central Highlands - East,2016-04-01,5,143,352
Central Highlands - West,2016-04-01,2,,
Emerald,2016-04-01,12,505,1314
Agnes Water - Miriam Vale,2016-04-01,7,333,1152
Banana,2016-04-01,2,,
Biloela,2016-04-01,8,225,570
Boyne Island - Tannum Sands,2016-04-01,4,79,221
Clinton - New Auckland,2016-04-01,1,,
Gladstone,2016-04-01,22,951,2558
Gladstone Hinterland,2016-04-01,2,,
West Gladstone,2016-04-01,2,,
Berserker,2016-04-01,1,,
Emu Park,2016-04-01,1,,
Norman Gardens,2016-04-01,4,111,271
Park Avenue,2016-04-01,6,225,606
Parkhurst - Kawana,2016-04-01,1,,
Rockhampton City,2016-04-01,22,939,2342
The Range - Allenstown,2016-04-01,12,365,1113
Yeppoon,2016-04-01,6,281,1154
Broadsound - Nebo,2016-04-01,6,202,446
Clermont,2016-04-01,1,,
Moranbah,2016-04-01,6,232,544
East Mackay,2016-04-01,5,215,621
Eimeo - Rural View,2016-04-01,3,109,364
Mackay,2016-04-01,15,978,2381
Sarina,2016-04-01,5,91,287
Seaforth - Calen,2016-04-01,1,,
Shoal Point - Bucasia,2016-04-01,1,,
Slade Point,2016-04-01,1,,
South Mackay,2016-04-01,1,,
West Mackay,2016-04-01,20,572,1612
Bowen,2016-04-01,5,,
Airlie - Whitsundays,2016-04-01,25,1844,6409
Proserpine,2016-04-01,2,,
Ayr,2016-04-01,4,77,222
Charters Towers,2016-04-01,6,155,451
Ingham,2016-04-01,4,94,266
Ingham Region,2016-04-01,2,,
Palm Island,2016-04-01,1,,
Aitkenvale,2016-04-01,2,,
Belgian Gardens - Pallarenda,2016-04-01,1,,
Deeragun,2016-04-01,1,,
Garbutt - West End,2016-04-01,1,,
Hermit Park - Rosslea,2016-04-01,8,257,759
Magnetic Island,2016-04-01,5,202,627
Mundingburra,2016-04-01,1,,
South Townsville - Railway Estate,2016-04-01,8,784,2032
Townsville City - North Ward,2016-04-01,18,1252,3163
Wulguru - Roseneath,2016-04-01,1,,
Clifton Beach - Kewarra Beach,2016-04-01,18,986,3471
Freshwater - Stratford,2016-04-01,1,,
Trinity Beach - Smithfield,2016-04-01,9,334,1252
Yorkeys Knob - Machans Beach,2016-04-01,2,,
Cairns City,2016-04-01,63,5244,14647
Earlville - Bayview Heights,2016-04-01,2,,
Manunda,2016-04-01,4,587,1756
Woree,2016-04-01,4,132,296
Innisfail,2016-04-01,1,,
Johnstone,2016-04-01,2,,
Tully,2016-04-01,6,306,905
Daintree,2016-04-01,4,120,327
Port Douglas,2016-04-01,49,2437,7776
Atherton,2016-04-01,4,89,226
Malanda - Yungaburra,2016-04-01,3,69,198
Mareeba,2016-04-01,2,,
Cape York,2016-04-01,6,183,408
Croydon - Etheridge,2016-04-01,1,,
Northern Peninsula,2016-04-01,1,,
Torres,2016-04-01,2,,
Weipa,2016-04-01,2,,
Carpentaria,2016-04-01,4,90,263
Mount Isa,2016-04-01,11,357,912
Mount Isa Region,2016-04-01,3,,
Northern Highlands,2016-04-01,3,86,272
Barcaldine - Blackall,2016-04-01,6,130,385
Charleville,2016-04-01,5,121,325
Far Central West,2016-04-01,4,96,282
Far South West,2016-04-01,1,,
Longreach,2016-04-01,6,236,698
Migratory - Offshore - Shipping (Qld),2016-04-01,8,1345,3947
Kingston - Robe,2015-07-01,6,123,361
Millicent,2015-07-01,3,66,188
Mount Gambier,2015-07-01,18,637,1798
Naracoorte,2015-07-01,4,96,210
Tatiara,2015-07-01,4,109,318
Karoonda - Lameroo,2015-07-01,2,,
Mannum,2015-07-01,1,,
Murray Bridge,2015-07-01,4,,
McLaren Vale,2015-07-01,2,,
Seaford (SA),2015-07-01,1,,
Goolwa - Port Elliot,2015-07-01,2,,
Strathalbyn,2015-07-01,1,,
Victor Harbor,2015-07-01,8,245,692
Yankalilla,2015-07-01,2,,
Adelaide,2015-07-01,42,5171,11949
North Adelaide,2015-07-01,8,397,1359
Glenside - Beaumont,2015-07-01,5,208,589
Norwood (SA),2015-07-01,2,,
Prospect,2015-07-01,1,,
Walkerville,2015-07-01,3,188,561
Goodwood - Millswood,2015-07-01,3,97,258
Unley - Parkside,2015-07-01,4,151,482
Gawler - South,2015-07-01,1,,
Elizabeth East,2015-07-01,1,,
Enfield - Blair Athol,2015-07-01,3,104,252
Northgate - Oakden - Gilles Plains,2015-07-01,1,,
Pooraka,2015-07-01,4,247,780
Hope Valley - Modbury,2015-07-01,1,,
Brighton (SA),2015-07-01,1,,
Glenelg (SA),2015-07-01,16,919,2649
Mitchell Park,2015-07-01,1,,
Morphettville,2015-07-01,2,,
Christies Beach,2015-07-01,1,,
Reynella,2015-07-01,1,,
Hindmarsh - Brompton,2015-07-01,1,,
Seaton - Grange,2015-07-01,1,,
West Lakes,2015-07-01,1,,
Woodville - Cheltenham,2015-07-01,1,,
Largs Bay - Semaphore,2015-07-01,1,,
Lockleys,2015-07-01,1,,
West Beach,2015-07-01,1,,
Barossa - Angaston,2015-07-01,1,,
Light,2015-07-01,1,,
Lyndoch,2015-07-01,1,,
Nuriootpa,2015-07-01,3,,
Tanunda,2015-07-01,3,105,270
Barmera,2015-07-01,3,116,272
Berri,2015-07-01,2,,
Loxton,2015-07-01,1,,
Renmark,2015-07-01,5,166,480
Renmark Region,2015-07-01,1,,
Waikerie,2015-07-01,2,,
Peterborough - Mount Remarkable,2015-07-01,1,,
Port Pirie,2015-07-01,4,183,527
Coober Pedy,2015-07-01,6,210,555
Flinders Ranges,2015-07-01,3,,
Outback,2015-07-01,8,331,950
Port Augusta,2015-07-01,11,,
Clare,2015-07-01,3,,
Goyder,2015-07-01,1,,
Ceduna,2015-07-01,5,191,522
Kimba - Cleve - Franklin Harbour,2015-07-01,3,,
Le Hunte - Elliston,2015-07-01,2,,
Port Lincoln,2015-07-01,5,232,810
West Coast (SA),2015-07-01,3,89,281
Whyalla,2015-07-01,8,351,946
Wakefield - Barunga West,2015-07-01,1,,
Kadina,2015-07-01,1,,
Moonta,2015-07-01,1,,
Wallaroo,2015-07-01,2,,
Yorke Peninsula - South,2015-07-01,2,,
Kangaroo Island,2015-07-01,8,261,667
Aldgate - Stirling,2015-07-01,1,,
Hahndorf - Echunga,2015-07-01,4,,
Kingston - Robe,2015-10-01,6,123,361
Millicent,2015-10-01,3,66,188
Mount Gambier,2015-10-01,18,638,1809
Naracoorte,2015-10-01,4,96,210
Tatiara,2015-10-01,4,109,318
Karoonda - Lameroo,2015-10-01,2,,
Mannum,2015-10-01,1,,
Murray Bridge,2015-10-01,4,,
McLaren Vale,2015-10-01,2,,
Seaford (SA),2015-10-01,1,,
Goolwa - Port Elliot,2015-10-01,2,,
Strathalbyn,2015-10-01,1,,
Victor Harbor,2015-10-01,8,245,692
Yankalilla,2015-10-01,2,,
Adelaide,2015-10-01,42,5165,11934
North Adelaide,2015-10-01,8,397,1359
Glenside - Beaumont,2015-10-01,5,208,589
Norwood (SA),2015-10-01,2,,
Prospect,2015-10-01,1,,
Walkerville,2015-10-01,3,188,561
Goodwood - Millswood,2015-10-01,3,97,258
Unley - Parkside,2015-10-01,4,151,482
Gawler - South,2015-10-01,1,104,208
Elizabeth East,2015-10-01,1,,
Enfield - Blair Athol,2015-10-01,3,104,252
Northgate - Oakden - Gilles Plains,2015-10-01,1,,
Pooraka,2015-10-01,4,246,776
Hope Valley - Modbury,2015-10-01,1,,
Brighton (SA),2015-10-01,1,,
Glenelg (SA),2015-10-01,16,918,2647
Mitchell Park,2015-10-01,1,,
Morphettville,2015-10-01,2,,
Christies Beach,2015-10-01,1,,
Reynella,2015-10-01,1,,
Hindmarsh - Brompton,2015-10-01,1,,
Seaton - Grange,2015-10-01,1,,
West Lakes,2015-10-01,1,,
Woodville - Cheltenham,2015-10-01,1,,
Largs Bay - Semaphore,2015-10-01,1,,
Lockleys,2015-10-01,1,,
West Beach,2015-10-01,1,,
Barossa - Angaston,2015-10-01,1,,
Light,2015-10-01,1,,
Lyndoch,2015-10-01,1,,
Nuriootpa,2015-10-01,3,,
Tanunda,2015-10-01,3,105,270
Barmera,2015-10-01,3,116,272
Berri,2015-10-01,2,,
Loxton,2015-10-01,1,,
Renmark,2015-10-01,5,166,480
Renmark Region,2015-10-01,1,,
Waikerie,2015-10-01,2,,
Peterborough - Mount Remarkable,2015-10-01,1,,
Port Pirie,2015-10-01,4,195,527
Coober Pedy,2015-10-01,6,210,555
Flinders Ranges,2015-10-01,3,,
Outback,2015-10-01,8,331,950
Port Augusta,2015-10-01,11,,
Clare,2015-10-01,3,,
Goyder,2015-10-01,1,,
Ceduna,2015-10-01,5,191,522
Kimba - Cleve - Franklin Harbour,2015-10-01,3,,
Le Hunte - Elliston,2015-10-01,2,,
Port Lincoln,2015-10-01,5,232,810
West Coast (SA),2015-10-01,3,89,281
Whyalla,2015-10-01,8,351,946
Wakefield - Barunga West,2015-10-01,1,,
Kadina,2015-10-01,1,,
Moonta,2015-10-01,1,,
Wallaroo,2015-10-01,2,,
Yorke Peninsula - South,2015-10-01,2,,
Kangaroo Island,2015-10-01,8,261,667
Aldgate - Stirling,2015-10-01,1,,
Hahndorf - Echunga,2015-10-01,4,,
Kingston - Robe,2016-01-01,6,123,361
Millicent,2016-01-01,3,65,184
Mount Gambier,2016-01-01,17,594,1681
Naracoorte,2016-01-01,4,96,210
Tatiara,2016-01-01,4,109,318
Karoonda - Lameroo,2016-01-01,2,,
Mannum,2016-01-01,1,,
Murray Bridge,2016-01-01,4,,
McLaren Vale,2016-01-01,2,,
Seaford (SA),2016-01-01,1,,
Goolwa - Port Elliot,2016-01-01,2,,
Strathalbyn,2016-01-01,1,,
Victor Harbor,2016-01-01,8,245,692
Yankalilla,2016-01-01,2,,
Adelaide,2016-01-01,42,5166,11929
North Adelaide,2016-01-01,8,397,1359
Glenside - Beaumont,2016-01-01,5,208,587
Norwood (SA),2016-01-01,2,,
Prospect,2016-01-01,1,,
Walkerville,2016-01-01,3,188,561
Goodwood - Millswood,2016-01-01,3,97,255
Unley - Parkside,2016-01-01,4,151,482
Gawler - South,2016-01-01,1,,
Elizabeth East,2016-01-01,1,,
Enfield - Blair Athol,2016-01-01,3,104,252
Northgate - Oakden - Gilles Plains,2016-01-01,1,,
Pooraka,2016-01-01,4,245,808
Hope Valley - Modbury,2016-01-01,1,,
Brighton (SA),2016-01-01,1,,
Glenelg (SA),2016-01-01,16,917,2648
Mitchell Park,2016-01-01,1,,
Morphettville,2016-01-01,2,,
Christies Beach,2016-01-01,1,,
Reynella,2016-01-01,1,,
Hindmarsh - Brompton,2016-01-01,1,,
Seaton - Grange,2016-01-01,1,,
West Lakes,2016-01-01,1,,
Woodville - Cheltenham,2016-01-01,1,,
Largs Bay - Semaphore,2016-01-01,1,,
Lockleys,2016-01-01,1,,
West Beach,2016-01-01,1,,
Barossa - Angaston,2016-01-01,1,,
Light,2016-01-01,1,,
Lyndoch,2016-01-01,1,,
Nuriootpa,2016-01-01,3,,
Tanunda,2016-01-01,3,105,270
Barmera,2016-01-01,3,116,272
Berri,2016-01-01,2,,
Loxton,2016-01-01,1,,
Renmark,2016-01-01,5,166,480
Renmark Region,2016-01-01,1,,
Waikerie,2016-01-01,2,,
Peterborough - Mount Remarkable,2016-01-01,1,,
Port Pirie,2016-01-01,4,195,527
Coober Pedy,2016-01-01,6,210,555
Flinders Ranges,2016-01-01,3,,
Outback,2016-01-01,8,331,950
Port Augusta,2016-01-01,11,,
Clare,2016-01-01,3,,
Goyder,2016-01-01,1,,
Ceduna,2016-01-01,5,191,522
Kimba - Cleve - Franklin Harbour,2016-01-01,3,,
Le Hunte - Elliston,2016-01-01,2,,
Port Lincoln,2016-01-01,5,232,810
West Coast (SA),2016-01-01,3,89,281
Whyalla,2016-01-01,8,351,946
Wakefield - Barunga West,2016-01-01,1,,
Kadina,2016-01-01,1,,
Moonta,2016-01-01,1,,
Wallaroo,2016-01-01,2,,
Yorke Peninsula - South,2016-01-01,2,,
Kangaroo Island,2016-01-01,8,261,667
Aldgate - Stirling,2016-01-01,1,,
Hahndorf - Echunga,2016-01-01,4,,
Kingston - Robe,2016-04-01,6,123,361
Millicent,2016-04-01,3,65,184
Mount Gambier,2016-04-01,17,593,1682
Naracoorte,2016-04-01,3,80,178
Tatiara,2016-04-01,4,109,318
Karoonda - Lameroo,2016-04-01,2,,
Mannum,2016-04-01,1,,
Murray Bridge,2016-04-01,4,,
McLaren Vale,2016-04-01,2,,
Seaford (SA),2016-04-01,1,,
Goolwa - Port Elliot,2016-04-01,1,,
Strathalbyn,2016-04-01,1,,
Victor Harbor,2016-04-01,8,245,692
Yankalilla,2016-04-01,2,,
Adelaide,2016-04-01,42,5168,11937
North Adelaide,2016-04-01,8,397,1359
Glenside - Beaumont,2016-04-01,5,208,587
Norwood (SA),2016-04-01,2,,
Prospect,2016-04-01,1,,
Walkerville,2016-04-01,3,188,561
Goodwood - Millswood,2016-04-01,3,97,255
Unley - Parkside,2016-04-01,4,151,482
Gawler - South,2016-04-01,1,104,208
Elizabeth East,2016-04-01,1,,
Enfield - Blair Athol,2016-04-01,3,104,252
Northgate - Oakden - Gilles Plains,2016-04-01,1,,
Pooraka,2016-04-01,4,,
Hope Valley - Modbury,2016-04-01,1,,
Brighton (SA),2016-04-01,1,,
Glenelg (SA),2016-04-01,16,917,2643
Mitchell Park,2016-04-01,1,,
Morphettville,2016-04-01,2,,
Christies Beach,2016-04-01,1,,
Reynella,2016-04-01,1,,
Hindmarsh - Brompton,2016-04-01,1,,
Seaton - Grange,2016-04-01,1,,
West Lakes,2016-04-01,1,,
Woodville - Cheltenham,2016-04-01,1,,
Largs Bay - Semaphore,2016-04-01,1,,
Lockleys,2016-04-01,1,,
West Beach,2016-04-01,1,,
Barossa - Angaston,2016-04-01,1,,
Light,2016-04-01,1,,
Lyndoch,2016-04-01,1,,
Nuriootpa,2016-04-01,3,,
Tanunda,2016-04-01,3,105,270
Barmera,2016-04-01,3,116,272
Berri,2016-04-01,2,,
Loxton,2016-04-01,1,,
Renmark,2016-04-01,5,166,480
Renmark Region,2016-04-01,1,,
Waikerie,2016-04-01,2,,
Peterborough - Mount Remarkable,2016-04-01,1,,
Port Pirie,2016-04-01,4,195,527
Coober Pedy,2016-04-01,6,210,555
Flinders Ranges,2016-04-01,3,,
Outback,2016-04-01,8,331,950
Port Augusta,2016-04-01,11,,
Clare,2016-04-01,3,,
Goyder,2016-04-01,1,,
Ceduna,2016-04-01,5,191,522
Kimba - Cleve - Franklin Harbour,2016-04-01,3,,
Le Hunte - Elliston,2016-04-01,2,,
Port Lincoln,2016-04-01,5,232,810
West Coast (SA),2016-04-01,3,89,281
Whyalla,2016-04-01,8,351,946
Wakefield - Barunga West,2016-04-01,1,,
Kadina,2016-04-01,1,,
Moonta,2016-04-01,1,,
Wallaroo,2016-04-01,2,,
Yorke Peninsula - South,2016-04-01,2,,
Kangaroo Island,2016-04-01,8,261,667
Aldgate - Stirling,2016-04-01,1,,
Hahndorf - Echunga,2016-04-01,4,,
Batemans Bay,2015-07-01,14,453,1485
Batemans Bay - South,2015-07-01,4,97,284
Bega - Tathra,2015-07-01,4,110,299
Eden,2015-07-01,7,167,410
Eurobodalla Hinterland,2015-07-01,2,,
Merimbula - Tura Beach,2015-07-01,16,393,1151
Moruya - Tuross Head,2015-07-01,3,60,178
Narooma - Bermagui,2015-07-01,5,110,301
Berkeley - Warrawong - Windang,2015-07-01,2,,
Dapto - Avondale,2015-07-01,2,,
Albion Park Rail,2015-07-01,1,,
Kiama,2015-07-01,3,,
Kiama Hinterland - Gerringong,2015-07-01,4,141,367
Shellharbour - Flinders,2015-07-01,3,78,215
Warilla,2015-07-01,1,,
Balgownie - Fairy Meadow,2015-07-01,2,,
Thirroul - Austinmer - Coalcliff,2015-07-01,1,,
Wollongong,2015-07-01,17,887,2093
Woonona - Bulli - Russell Vale,2015-07-01,1,,
Berry - Kangaroo Valley,2015-07-01,4,111,449
Huskisson - Vincentia,2015-07-01,4,98,320
North Nowra - Bomaderry,2015-07-01,2,,
Nowra,2015-07-01,8,297,817
Ulladulla,2015-07-01,8,173,495
Ulladulla Region,2015-07-01,1,,
Baulkham Hills (West) - Bella Vista,2015-07-01,2,,
Castle Hill,2015-07-01,2,,
Dural - Kenthurst - Wisemans Ferry,2015-07-01,2,,
Pitt Town - McGraths Hill,2015-07-01,2,,
Blacktown (South),2015-07-01,1,,
Seven Hills - Toongabbie,2015-07-01,2,,
Glendenning Dean Park,2015-07-01,1,,
Mount Druitt - Whalan,2015-07-01,1,,
Rooty Hill - Minchinbury,2015-07-01,1,,
Mascot - Eastlakes,2015-07-01,7,1496,3309
Sydney Airport,2015-07-01,1,,
Sydenham - Tempe - St Peters,2015-07-01,1,,
Darlinghurst,2015-07-01,8,563,1503
Glebe - Forest Lodge,2015-07-01,3,104,248
Newtown - Camperdown - Darlington,2015-07-01,4,311,817
Potts Point - Woolloomooloo,2015-07-01,15,1488,3152
Pyrmont - Ultimo,2015-07-01,7,1957,4853
Redfern - Chippendale,2015-07-01,5,229,566
Surry Hills,2015-07-01,8,1012,2473
Sydney - Haymarket - The Rocks,2015-07-01,76,15563,35671
Waterloo - Beaconsfield,2015-07-01,2,,
Bondi Beach - North Bondi,2015-07-01,3,,
Bondi Junction - Waverly,2015-07-01,2,,
Double Bay - Bellevue Hill,2015-07-01,3,,
Paddington - Moore Park,2015-07-01,1,,
Woollahra,2015-07-01,1,,
Coogee - Clovelly,2015-07-01,5,464,1383
Kensington - Kingsford,2015-07-01,2,,
Maroubra,2015-07-01,1,,
Randwick,2015-07-01,9,252,610
Bankstown,2015-07-01,2,,
Bass Hill - Georges Hall,2015-07-01,3,200,607
Condell Park,2015-07-01,1,,
Greenacre - Mount Lewis,2015-07-01,4,217,531
South Hurstville - Blakehurst,2015-07-01,1,,
Arncliffe - Bardwell Valley,2015-07-01,3,452,922
Monterey - Brighton-le-Sands - Kyeemagh,2015-07-01,1,,
Drummoyne - Rodd Point,2015-07-01,1,,
Ashfield,2015-07-01,4,160,354
Burwood - Croydon,2015-07-01,1,,
Haberfield - Summer Hill,2015-07-01,2,,
Homebush,2015-07-01,2,,
Strathfield,2015-07-01,1,,
Chatswood (East) - Artarmon,2015-07-01,3,,
Chatswood (West) - Lane Cove North,2015-07-01,2,,
Lane Cove - Greenwich,2015-07-01,5,258,574
St Leonards - Naremburn,2015-07-01,1,,
Hornsby - Waitara,2015-07-01,2,,
Normanhurst - Thornleigh - Westleigh,2015-07-01,1,,
Gordon - Killara,2015-07-01,1,,
Cremorne - Cammeray,2015-07-01,2,,
Neutral Bay - Kirribilli,2015-07-01,1,,
North Sydney - Lavender Bay,2015-07-01,5,499,1233
Manly - Fairlight,2015-07-01,9,568,1362
Newport - Bilgola,2015-07-01,1,,
Freshwater - Brookvale,2015-07-01,1,,
Narrabeen - Collaroy,2015-07-01,1,,
Terrey Hills - Duffys Forest,2015-07-01,1,,
Camden - Ellis Lane,2015-07-01,2,,
Elderslie - Harrington Park,2015-07-01,1,,
Campbelltown - Woodbine,2015-07-01,6,420,1202
Picton - Tahmoor - Buxton,2015-07-01,1,,
Cambridge Park,2015-07-01,1,,
Jamisontown - South Penrith,2015-07-01,2,,
Penrith,2015-07-01,2,,
Richmond - Clarendon,2015-07-01,3,89,264
Windsor - Bligh Park,2015-07-01,3,145,337
St Clair,2015-07-01,1,,
St Marys - Colyton,2015-07-01,2,,
Homebush Bay - Silverwater,2015-07-01,3,496,1216
Lidcombe - Regents Park,2015-07-01,2,,
Guildford West - Merrylands West,2015-07-01,1,,
Girraween - Westmead,2015-07-01,1,,
North Parramatta,2015-07-01,1,,
Northmead,2015-07-01,1,,
Parramatta - Rosehill,2015-07-01,9,1318,3173
Pennant Hills - Cheltenham,2015-07-01,1,,
Hunters Hill - Woolwich,2015-07-01,1,,
Macquarie Park - Marsfield,2015-07-01,5,604,1348
North Ryde - East Ryde,2015-07-01,1,,
Ryde - Putney,2015-07-01,1,,
West Ryde - Meadowbank,2015-07-01,1,,
Cabramatta - Lansvale,2015-07-01,2,,
Casula,2015-07-01,5,310,933
Liverpool - Warwick Farm,2015-07-01,4,217,664
Prestons - Lurnea,2015-07-01,1,,
Cronulla - Kurnell - Bundeena,2015-07-01,3,,
Miranda - Yowie Bay,2015-07-01,1,,
Sylvania - Taren Point,2015-07-01,1,,
Engadine - Loftus,2015-07-01,1,,
Menai - Lucas Heights - Woronora,2015-07-01,1,,
Sutherland - Kirrawee,2015-07-01,1,,
Bombala,2015-07-01,1,,
Cooma,2015-07-01,10,304,1118
Cooma Region,2015-07-01,4,115,398
Jindabyne - Berridale,2015-07-01,44,1941,7634
Tumbarumba,2015-07-01,3,83,228
Tumut,2015-07-01,6,,
Goulburn,2015-07-01,14,492,1381
Yass,2015-07-01,6,151,459
Yass Region,2015-07-01,4,,
Young,2015-07-01,4,112,321
Young Region,2015-07-01,1,,
Queanbeyan,2015-07-01,7,222,646
Queanbeyan - East,2015-07-01,5,233,632
Queanbeyan Region,2015-07-01,1,,
Queanbeyan West - Jerrabomberra,2015-07-01,1,,
Bowral,2015-07-01,8,293,650
Mittagong,2015-07-01,5,151,398
Moss Vale - Berrima,2015-07-01,4,114,261
Southern Highlands,2015-07-01,3,87,221
Albury - East,2015-07-01,2,,
Albury - North,2015-07-01,1,,
Albury - South,2015-07-01,26,1058,2945
Albury Region,2015-07-01,3,73,178
Lavington,2015-07-01,4,171,460
Wentworth - Buronga,2015-07-01,10,250,763
Wentworth-Balranald Region,2015-07-01,6,120,286
Corowa,2015-07-01,7,166,465
Corowa Region,2015-07-01,5,143,448
Deniliquin,2015-07-01,7,147,423
Deniliquin Region,2015-07-01,8,199,676
Moama,2015-07-01,11,351,1031
Tocumwal - Finley - Jerilderie,2015-07-01,17,413,1350
Hay,2015-07-01,7,176,481
Griffith (NSW),2015-07-01,10,342,1034
Leeton,2015-07-01,4,115,343
Narrandera,2015-07-01,5,130,325
Cootamundra,2015-07-01,5,111,260
Gundagai,2015-07-01,7,174,509
Junee,2015-07-01,2,,
Temora,2015-07-01,2,,
Wagga Wagga - East,2015-07-01,4,,
Wagga Wagga - North,2015-07-01,1,,
Wagga Wagga - West,2015-07-01,24,860,2449
Wagga Wagga Region,2015-07-01,1,,
Bathurst,2015-07-01,14,579,1672
Bathurst - East,2015-07-01,1,,
Condobolin,2015-07-01,2,,
Cowra,2015-07-01,7,165,443
Cowra Region,2015-07-01,1,,
Forbes,2015-07-01,6,156,445
