tr_code_2015,date,Room nights occupied (no.),Room nights available (no.),Room occupancy rate (%),Guest nights occupied (no.),Guest nights available (no.),Bed occupancy rate (%),Takings from accommodation ($),Average takings per room night occupied ($),Average takings per room night available ($)
7R110,2016-06-01,10155,13980,72.6,15844,41850,37.9,1397873,137.65,99.99
7R140,2016-06-01,,,,,,,,,
7R150,2016-06-01,21868,27000,81,48536,90960,53.4,5865729,268.23,217.25
5R120,2015-07-01,257341,365854,70.3,393668,939967,41.9,47834423,185.88,130.75
5R130,2015-07-01,27321,62496,43.7,36222,154876,23.4,3695102,135.25,59.13
5R140,2015-07-01,47198,106888,44.2,91105,330925,27.5,6449380,136.65,60.34
5R160,2015-07-01,81746,128667,63.5,126224,297630,42.4,15885137,194.32,123.46
5R170,2015-07-01,28129,48329,58.2,57468,148924,38.6,4915296,174.74,101.7
5R120,2015-08-01,271596,370055,73.4,408031,948679,43,51329788,188.99,138.71
5R130,2015-08-01,30183,62496,48.3,37898,154876,24.5,4240578,140.49,67.85
5R140,2015-08-01,43318,106888,40.5,78781,330925,23.8,6244944,144.17,58.43
5R160,2015-08-01,84245,128602,65.5,122309,297505,41.1,16059085,190.62,124.87
5R170,2015-08-01,26530,48329,54.9,46338,148924,31.1,4209284,158.66,87.1
5R120,2015-09-01,272959,350649,77.8,415304,901234,46.1,54010268,197.87,154.03
5R130,2015-09-01,34335,60480,56.8,46208,149880,30.8,4490292,130.78,74.24
5R140,2015-09-01,50661,104040,48.7,94672,321450,29.5,7476379,147.58,71.86
5R160,2015-09-01,73402,125370,58.5,106048,289420,36.6,13300009,181.19,106.09
5R170,2015-09-01,28240,46770,60.4,51164,144120,35.5,4556512,161.35,97.42
5R120,2015-10-01,276367,362405,76.3,421198,931116,45.2,53752278,194.5,148.32
5R130,2015-10-01,36735,62589,58.7,46253,155589,29.7,4786114,130.29,76.47
5R140,2015-10-01,58259,108438,53.7,111939,334211,33.5,8796380,150.99,81.12
5R160,2015-10-01,63561,127734,49.8,90314,296389,30.5,10702712,168.39,83.79
5R170,2015-10-01,26322,48701,54,47848,150133,31.9,4211835,160.01,86.48
5R120,2015-11-01,284105,351394,80.9,426243,902574,47.2,56849315,200.1,161.78
5R130,2015-11-01,31211,60570,51.5,38279,150570,25.4,3852275,123.43,63.6
5R140,2015-11-01,57848,104940,55.1,106362,323430,32.9,9019100,155.91,85.95
5R160,2015-11-01,53320,123774,43.1,69809,287108,24.3,8029774,150.6,64.87
5R170,2015-11-01,21291,47130,45.2,35206,145290,24.2,3232292,151.82,68.58
5R120,2015-12-01,251982,363420,69.3,416077,933146,44.6,48485270,192.42,133.41
5R130,2015-12-01,26140,62589,41.8,35431,155589,22.8,3301720,126.31,52.75
5R140,2015-12-01,60607,108438,55.9,126626,334211,37.9,10843531,178.91,100
5R160,2015-12-01,47457,127734,37.2,65466,295281,22.2,7346936,154.81,57.52
5R170,2015-12-01,23173,48701,47.6,44536,150133,29.7,3690858,159.27,75.79
5R120,2016-01-01,248098,365127,67.9,417448,938309,44.5,45386404,182.94,124.3
5R130,2016-01-01,26098,62651,41.7,37757,155868,24.2,3465446,132.79,55.31
5R140,2016-01-01,66694,107880,61.8,144914,332971,43.5,12322313,184.76,114.22
5R160,2016-01-01,42603,126832,33.6,59418,292027,20.3,6189567,145.29,48.8
5R170,2016-01-01,21925,48763,45,43455,150319,28.9,3482391,158.83,71.41
5R120,2016-02-01,263622,342122,77.1,398964,878619,45.4,51681677,196.04,151.06
5R130,2016-02-01,26602,58486,45.5,33301,145525,22.9,3337989,125.48,57.07
5R140,2016-02-01,54664,100798,54.2,97076,311162,31.2,8622103,157.73,85.54
5R160,2016-02-01,44891,119337,37.6,56002,274817,20.4,6564431,146.23,55.01
5R170,2016-02-01,18485,45581,40.6,29927,140503,21.3,2747180,148.61,60.27
5R120,2016-03-01,275360,366334,75.2,429470,940723,45.7,53101347,192.84,144.95
5R130,2016-03-01,30007,62651,47.9,38378,155868,24.6,3664901,122.13,58.5
5R140,2016-03-01,61441,107880,57,116358,332971,34.9,9867844,160.61,91.47
5R160,2016-03-01,49089,127145,38.6,67868,293072,23.2,7407469,150.9,58.26
5R170,2016-03-01,24551,48763,50.3,43357,150319,28.8,3959273,161.27,81.19
5R120,2016-04-01,259799,353192,73.6,400487,901100,44.4,53157139,204.61,150.5
5R130,2016-04-01,30341,60480,50.2,39944,150930,26.5,3710191,122.28,61.35
5R140,2016-04-01,56760,103440,54.9,109604,321210,34.1,9073031,159.85,87.71
5R160,2016-04-01,56919,124464,45.7,81873,287708,28.5,9025512,158.57,72.52
5R170,2016-04-01,26885,47490,56.6,51835,146370,35.4,4765932,177.27,100.36
5R120,2016-05-01,247349,364777,67.8,363778,930699,39.1,44997589,181.92,123.36
5R130,2016-05-01,32342,62496,51.8,39504,155961,25.3,3863234,119.45,61.82
5R140,2016-05-01,44592,106888,41.7,77411,331917,23.3,6150266,137.92,57.54
5R160,2016-05-01,64727,128663,50.3,90354,297361,30.4,10939264,169.01,85.02
5R170,2016-05-01,24980,49073,50.9,41182,151249,27.2,4226239,169.19,86.12
5R120,2016-06-01,236039,353557,66.8,359506,901830,39.9,41631968,176.38,117.75
5R130,2016-06-01,31246,60480,51.7,38003,150930,25.2,3781462,121.02,62.52
5R140,2016-06-01,44189,102840,43,78693,320010,24.6,6175980,139.76,60.05
5R160,2016-06-01,71021,124464,57.1,103634,287708,36,13027993,183.44,104.67
5R170,2016-06-01,24315,47490,51.2,42290,146370,28.9,4088413,168.15,86.09
3R010,2015-07-01,313236,433964,72.2,700031,1324955,52.8,50252413,160.43,115.8
3R020,2015-07-01,356295,483615,73.7,581472,1284168,45.3,65604363,184.13,135.65
3R030,2015-07-01,115670,187426,61.7,265018,644521,41.1,19317080,167,103.07
3R040,2015-07-01,25702,45780,56.1,53472,157177,34,3126864,121.66,68.3
3R060,2015-07-01,49225,103881,47.4,74639,287711,25.9,6395404,129.92,61.56
3R070,2015-07-01,15312,26567,57.6,23816,81220,29.3,2044083,133.49,76.94
3R080,2015-07-01,78443,150629,52.1,121766,409200,29.8,11182851,142.56,74.24
3R090,2015-07-01,37175,83111,44.7,52283,216370,24.2,4961866,133.47,59.7
3R100,2015-07-01,52964,71827,73.7,129644,231353,56,12258418,231.45,170.67
3R110,2015-07-01,63926,95147,67.2,106226,258881,41,8696548,136.04,91.4
