Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRM_Code,NRM name
1808158,Broadacre crops - Non-cereal crops - Peanuts in shell,1307160.94,**,1271099.84,**,Broadacre crops,Peanuts in shell,1,New South Wales
1808158,Broadacre crops - Non-cereal crops - Peanuts in shell,19389323.08,^,19029057.96,^,Broadacre crops,Peanuts in shell,3,Queensland
