Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRM_Code,NRM name
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",32741196.04,,29467076.43,,"Nurseries, cut flowers or cultivated turf",Cut flowers,1,New South Wales
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",157004388.6,,141303949.7,,"Nurseries, cut flowers or cultivated turf",Cut flowers,2,Victoria
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",27468939.2,^,24722045.28,^,"Nurseries, cut flowers or cultivated turf",Cut flowers,3,Queensland
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",4014076.99,^,3612669.29,^,"Nurseries, cut flowers or cultivated turf",Cut flowers,4,South Australia
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",np,,np,,"Nurseries, cut flowers or cultivated turf",Cut flowers,5,Western Australia
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",np,,np,,"Nurseries, cut flowers or cultivated turf",Cut flowers,6,Tasmania
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",269055.24,,242149.72,,"Nurseries, cut flowers or cultivated turf",Cut flowers,7,Northern Territory
