Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRM_Code,NRM name
4304658,Fruit and nuts - Other fruit - Bananas,4635886.45,^,4128286.76,^,Fruit and nuts,Bananas,1,New South Wales
4304658,Fruit and nuts - Other fruit - Bananas,525765419.5,,467859757.7,,Fruit and nuts,Bananas,3,Queensland
4304658,Fruit and nuts - Other fruit - Bananas,8128558.51,^,7314755.79,^,Fruit and nuts,Bananas,5,Western Australia
4304658,Fruit and nuts - Other fruit - Bananas,7027.05,*,6253.12,*,Fruit and nuts,Bananas,7,Northern Territory
