Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",296059.97,*,266453.97,*,"Nurseries, cut flowers or cultivated turf",Undercover,204,Hume,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",6629768.13,*,5966791.32,*,"Nurseries, cut flowers or cultivated turf",Undercover,205,Latrobe - Gippsland,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",756482.72,**,680834.45,**,"Nurseries, cut flowers or cultivated turf",Undercover,205,Latrobe - Gippsland,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",1160282.38,**,1044254.14,**,"Nurseries, cut flowers or cultivated turf",Undercover,208,Melbourne - Inner South,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",10127944.4,**,9115149.96,**,"Nurseries, cut flowers or cultivated turf",Undercover,209,Melbourne - North East,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",243339.97,**,219005.97,**,"Nurseries, cut flowers or cultivated turf",Undercover,210,Melbourne - North West,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",14279198.2,^,12851278.38,^,"Nurseries, cut flowers or cultivated turf",Undercover,211,Melbourne - Outer East,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",27836246,^,25052621.4,^,"Nurseries, cut flowers or cultivated turf",Undercover,211,Melbourne - Outer East,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",20861604.84,*,18775444.36,*,"Nurseries, cut flowers or cultivated turf",Undercover,212,Melbourne - South East,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",26477946.84,^,23830152.16,^,"Nurseries, cut flowers or cultivated turf",Undercover,212,Melbourne - South East,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",4541652,**,4087486.8,**,"Nurseries, cut flowers or cultivated turf",Undercover,213,Melbourne - West,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",9326516.43,*,8393864.79,*,"Nurseries, cut flowers or cultivated turf",Undercover,214,Mornington Peninsula,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",3664303.38,**,3297873.05,**,"Nurseries, cut flowers or cultivated turf",Undercover,214,Mornington Peninsula,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",4565988.59,*,4109389.73,*,"Nurseries, cut flowers or cultivated turf",Undercover,215,North West,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",1539235.4,*,1385311.86,*,"Nurseries, cut flowers or cultivated turf",Undercover,216,Shepparton,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",2856339.15,,2570705.24,,"Nurseries, cut flowers or cultivated turf",Undercover,216,Shepparton,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",3170540.08,**,2853486.07,**,"Nurseries, cut flowers or cultivated turf",Undercover,217,Warrnambool and South West,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",61004.43,*,54903.99,*,"Nurseries, cut flowers or cultivated turf",Undercover,217,Warrnambool and South West,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",5393746.63,^,4854371.97,^,"Nurseries, cut flowers or cultivated turf",Undercover,301,Brisbane - East,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",2394267.04,*,2154840.33,*,"Nurseries, cut flowers or cultivated turf",Undercover,301,Brisbane - East,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",223058.6,*,200752.74,*,"Nurseries, cut flowers or cultivated turf",Undercover,303,Brisbane - South,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",7371886.02,*,6634697.42,*,"Nurseries, cut flowers or cultivated turf",Undercover,306,Cairns,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",1266450.38,**,1139805.34,**,"Nurseries, cut flowers or cultivated turf",Undercover,306,Cairns,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",1298681.58,,1168813.42,,"Nurseries, cut flowers or cultivated turf",Undercover,307,Darling Downs - Maranoa,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,308,Central Queensland,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",6610099,^,5949089.1,^,"Nurseries, cut flowers or cultivated turf",Undercover,309,Gold Coast,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",1614396.1,**,1452956.49,**,"Nurseries, cut flowers or cultivated turf",Undercover,309,Gold Coast,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,310,Ipswich,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,311,Logan - Beaudesert,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",1291516.88,**,1162365.19,**,"Nurseries, cut flowers or cultivated turf",Undercover,311,Logan - Beaudesert,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,312,Mackay - Isaac - Whitsunday,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,313,Moreton Bay - North,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,314,Moreton Bay - South,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",4744385.72,*,4269947.14,*,"Nurseries, cut flowers or cultivated turf",Undercover,316,Sunshine Coast,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",3357943.89,**,3022149.5,**,"Nurseries, cut flowers or cultivated turf",Undercover,316,Sunshine Coast,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",4923364.88,,4431028.4,,"Nurseries, cut flowers or cultivated turf",Undercover,317,Toowoomba,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",1614396.1,**,1452956.49,**,"Nurseries, cut flowers or cultivated turf",Undercover,317,Toowoomba,,,
