lga_code_2016,lga_name_2016,New Zealand,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland
13910,Hilltops (A),2142,205,79,0,205,0,1525,352,96,755,155,1295,1562,988,573,435,1486,225,304,0
14000,Hornsby (A),17126,3001,5922,3715,2432,1061,813,688,11062,12950,6734,10420,3507,10453,2289,920,633,218,0,636
14100,Hunters Hill (A),1943,0,262,53,0,0,0,0,0,178,0,619,400,1445,533,0,157,0,0,22
14170,Inner West (A),40593,8442,5457,11527,8197,4076,2161,3750,4239,26955,5518,29339,7978,46939,10215,3890,6407,5335,2457,2240
14200,Inverell (A),2337,476,220,0,0,0,0,0,81,297,0,552,666,1198,2122,498,163,28,123,491
14300,Junee (A),406,0,0,0,0,0,518,0,0,0,0,122,115,0,0,0,0,0,0,0
14350,Kempsey (A),3954,150,539,196,270,54,486,54,158,917,112,2794,1819,7979,2984,2752,2061,493,1424,800
14400,Kiama (A),3389,162,682,229,1232,787,158,673,2739,2465,166,5722,1561,8919,6152,1548,1965,523,1056,1800
14500,Ku-ring-gai (A),11658,3125,6528,6350,2019,1308,2191,861,5109,7291,1202,9065,2862,16880,2556,2318,1959,595,1124,748
14550,Kyogle (A),1103,0,101,241,0,0,0,269,313,522,0,627,230,428,35,127,56,0,14,417
14600,Lachlan (A),529,0,0,133,0,0,0,0,0,0,0,0,120,702,187,80,51,184,0,121
14650,Lake Macquarie (C),6297,296,700,717,97,771,0,51,471,1466,950,1939,2107,8827,1034,1053,1274,140,748,501
14700,Lane Cove (A),4260,2046,2284,1960,529,109,401,82,320,2515,1668,3636,888,4739,1468,761,1055,683,522,395
14750,Leeton (A),717,395,29,0,0,0,91,44,0,0,0,262,0,722,190,476,417,0,0,0
14850,Lismore (C),5510,1092,504,298,666,307,545,419,199,501,248,2940,2657,8830,4411,1648,4814,1723,1338,1343
14870,Lithgow (C),1567,0,0,136,46,119,0,0,84,471,271,1756,523,1061,645,79,662,155,0,273
14900,Liverpool (C),32080,749,326,2496,2659,1556,1085,238,1099,7840,3742,7852,1138,2951,1330,786,332,1308,282,190
14920,Liverpool Plains (A),0,0,0,0,0,0,0,0,0,327,0,170,55,575,195,0,0,0,0,0
14950,Lockhart (A),0,101,0,509,0,0,868,0,420,773,0,2281,0,1242,265,104,0,0,31,0
15050,Maitland (C),2953,372,186,137,0,33,444,0,0,0,0,2214,477,3117,1591,581,205,69,415,62
15240,Mid-Coast (A),8902,720,1036,634,1098,1000,0,933,1391,1328,441,10298,5591,18616,7382,2764,3320,686,3170,2685
15270,Mid-Western Regional (A),2645,251,0,303,0,0,266,537,57,96,0,2440,535,4296,400,437,276,416,110,154
15300,Moree Plains (A),2247,0,292,176,40,0,193,0,81,365,0,1907,1249,2574,469,1253,669,438,176,183
15350,Mosman (A),7703,550,1010,1240,812,878,144,116,430,353,889,3120,719,7547,1226,352,227,548,123,256
15520,Murray River (A),263,0,0,0,0,309,0,84,0,0,0,595,216,1671,251,92,0,0,0,905
15560,Murrumbidgee (A),737,0,0,0,0,0,0,245,0,0,0,264,131,382,57,0,53,0,0,0
