State,StateName,lga_code_2016,lga_name_2016,Visitors_000,Nights_000,AvNightsStay,Spend_M,AvSpendTrip,AvSpendNight,AvSpendNight_AccomCM_M
1,NSW,10050,Albury (C),14.218,152.36725,10.716503728,10.439418839,734.23961447,68.514847111,98.174304437
1,NSW,10130,Armidale Regional (A),9.16675,284.031,30.984918319,18.236696109,1989.4396716,64.206710216,76.866878504
1,NSW,10250,Ballina (A),13.72375,125.1825,9.1215957737,8.6534283912,630.54401247,69.126502436,134.63335663
1,NSW,10470,Bathurst Regional (A),7.642,104.46225,13.669490971,8.3263182964,1089.547016,79.706480536,92.922076642
1,NSW,10550,Bega Valley (A),24.536,122.744,5.0026084121,7.8491992006,319.90541248,63.947722093,108.69305625
1,NSW,10600,Bellingen (A),4.8285,33.9485,7.0308584447,1.804528513,373.72445129,53.154882043,60.055249586
1,NSW,10650,Berrigan (A),,,,,,,
1,NSW,10900,Blue Mountains (C),91.194,437.688,4.7995262846,48.689667582,533.91305987,111.24286611,122.71777112
1,NSW,11250,Broken Hill (C),5.86175,60.664,10.34912782,2.7431966395,467.98253755,45.219514696,56.330663955
1,NSW,11350,Byron (A),181.98025,1302.977,7.1599912628,82.780556594,454.88758584,63.531863259,68.616841498
1,NSW,11650,Central Coast (C) (NSW),38.7425,673.86625,17.393463251,34.899412657,900.80435329,51.789821285,77.161234904
1,NSW,11720,Cessnock (C),8.7715,73.96375,8.4322806818,4.6519497078,530.34825376,62.894995289,96.404799541
1,NSW,11730,Clarence Valley (A),14.77525,86.43675,5.8501040592,3.6523708782,247.19519996,42.254838112,64.484261322
1,NSW,11800,Coffs Harbour (C),74.33075,556.581,7.4878970009,27.421122331,368.90684315,49.267083014,55.125345888
1,NSW,12350,Cowra (A),2.1155,22.67925,10.720515245,1.0248311893,484.43922917,45.188054689,
1,NSW,12750,Eurobodalla (A),24.589,127.87475,5.2004859897,9.0563308433,368.30822088,70.821885034,98.991754194
1,NSW,12870,Federation (A),,,,,,,
1,NSW,13010,Glen Innes Severn (A),,,,,,,
1,NSW,13310,Goulburn Mulwaree (A),5.95525,100.26125,16.835775156,4.9246632859,826.94484462,49.118311271,52.215889391
1,NSW,13450,Griffith (C),5.81225,217.094,37.351111876,6.8848797344,1184.5463864,31.713818597,42.667200701
1,NSW,13510,Gundagai (A),1.5185,28.948,19.063549555,0.6957743991,458.19848473,24.03531847,
1,NSW,13800,Hawkesbury (C),7.58775,152.0645,20.04078943,8.3242175931,1097.0600762,54.741360364,84.795599449
1,NSW,13910,Hilltops (A),3.295,116.43825,35.337860395,3.0369872044,921.69566141,26.082384477,30.796706044
1,NSW,14200,Inverell (A),2.54275,28.50925,11.211975224,1.5672230098,616.34962533,54.972439114,69.10500798
1,NSW,14350,Kempsey (A),8.79175,54.28,6.173969915,2.7949707715,317.90835403,51.491723867,69.935084483
1,NSW,14400,Kiama (A),11.35925,69.59175,6.1264388054,4.4046816608,387.76166215,63.293158468,91.869748217
