State,StateName,lga_code_2016,lga_name_2016,Hotel or similar (nights '000),Home of friend or relative (nights '000),Commercial camping/caravan park (nights '000),Backpacker (nights '000),Other (nights '000)
5,WA,51260,Busselton (C),52.23025,95.74975,18.141,13.16575,163.1545
5,WA,51540,Carnarvon (S),12.41625,,39.73875,18.3985,89.54675
5,WA,52590,Dandaragan (S),7.963,,13.52675,,18.6955
5,WA,52730,Denmark (S),5.93075,,8.15075,,15.341
5,WA,52800,Derby-West Kimberley (S),,,13.75875,,80.9925
5,WA,53080,Dundas (S),,,4.2975,,7.6745
5,WA,53220,East Pilbara (S),,,,,100.84125
5,WA,53290,Esperance (S),11.73875,32.85675,18.949,6.557,71.07825
5,WA,53360,Exmouth (S),21.80175,,39.3775,13.25675,119.573
5,WA,53570,Gingin (S),,,4.9145,,50.3285
5,WA,53800,Greater Geraldton (C),18.98925,72.8345,19.2835,16.62,122.123
5,WA,53920,Halls Creek (S),,,10.65675,,37.615
5,WA,53990,Harvey (S),,,,,
5,WA,54060,Irwin (S),,,3.41475,,
5,WA,54280,Kalgoorlie/Boulder (C),15.6765,106.296,4.77025,,122.45575
5,WA,54310,Karratha (C),24.3465,75.88775,19.091,,333.56425
5,WA,54620,Kondinin (S),3.698,,2.72375,,41.14175
5,WA,55110,Mandurah (C),22.4115,280.8605,2.984,,90.107
5,WA,55180,Manjimup (S),11.9315,33.016,10.6745,31.64025,94.92675
5,WA,56230,Murray (S),,,,,
5,WA,56790,Northampton (S),13.49325,,23.7715,6.15475,22.6125
5,WA,57280,Port Hedland (T),28.20725,50.05,8.64125,,224.919
5,WA,57770,Shark Bay (S),16.89275,,32.36275,8.34825,20.956
5,WA,59340,Wyndham-East Kimberley (S),4.38825,,43.90625,,38.92875
6,TAS,60210,Break O'Day (M),8.689,,4.1515,,10.05425
6,TAS,60610,Burnie (C),13.421,,,,33.12975
6,TAS,60810,Central Coast (M) (Tas.),,,,,
6,TAS,61010,Central Highlands (M) (Tas.),,,,,
6,TAS,61210,Circular Head (M),14.7905,,,,
