State,StateName,lga_code_2016,lga_name_2016,Visitors_000,Nights_000,AvNightsStay,Spend_M,AvSpendTrip,AvSpendNight,AvSpendNight_AccomCM_M
2,VIC,25430,Mount Alexander (S),398.75,0,,27.627985012,69.286482787,,
2,VIC,25490,Moyne (S),109,0,,5.7762631187,52.993239621,,
2,VIC,25620,Murrindindi (S),758,0,,65.342780484,86.204195889,,
2,VIC,25710,Nillumbik (S),236.5,0,,18.136760897,76.688206753,,
2,VIC,25810,Northern Grampians (S),243.25,0,,21.447409984,88.170236317,,
2,VIC,26080,Queenscliffe (B),233.25,0,,14.19397129,60.853038755,,
2,VIC,26170,South Gippsland (S),542,0,,40.005209578,73.810349776,,
2,VIC,26260,Southern Grampians (S),165.5,0,,17.762252763,107.32479011,,
2,VIC,26430,Strathbogie (S),152.25,0,,11.317058303,74.332074241,,
2,VIC,26490,Surf Coast (S),1117.25,0,,94.141163795,84.261502614,,
2,VIC,26610,Swan Hill (RC),196.75,0,,30.55610764,155.30423197,,
2,VIC,26700,Wangaratta (RC),422,0,,41.306023308,97.881571821,,
2,VIC,26730,Warrnambool (C),599,0,,76.652818304,127.96797714,,
2,VIC,26810,Wellington (S),564,0,,41.702933665,73.941371747,,
2,VIC,27170,Wodonga (C),168.75,0,,22.644964464,134.19238201,,
2,VIC,27450,Yarra Ranges (S),2185,0,,169.51685221,77.582083393,,
3,QLD,30370,Banana (S),112.75,0,,15.127610013,134.16949013,,
3,QLD,31820,Bundaberg (R),728.25,0,,122.94532461,168.82296547,,
3,QLD,31900,Burdekin (S),198,0,,19.213379783,97.037271631,,
3,QLD,32080,Cairns (R),972.5,0,,148.84091394,153.04978297,,
3,QLD,32260,Cassowary Coast (R),291.25,0,,19.760121767,67.845911646,,
3,QLD,32270,Central Highlands (R) (Qld),338.75,0,,58.466345025,172.59437646,,
3,QLD,32310,Charters Towers (R),222,0,,15.949754674,71.845741776,,
3,QLD,32500,Cook (S),,0,,,,,
3,QLD,32810,Douglas (S),270,0,,29.550414813,109.44598079,,
3,QLD,33220,Fraser Coast (R),731.25,0,,110.47756562,151.08043162,,
3,QLD,33360,Gladstone (R),368.75,0,,31.627720176,85.770088613,,
3,QLD,33430,Gold Coast (C),6566,0,,672.58123042,102.43393701,,
3,QLD,33610,Goondiwindi (R),,0,,,,,
3,QLD,33620,Gympie (R),695.5,0,,74.046924231,106.46574296,,
3,QLD,33800,Hinchinbrook (S),172.5,0,,16.348402245,94.77334635,,
3,QLD,33960,Ipswich (C),891,0,,82.530687235,92.627033934,,
3,QLD,33980,Isaac (R),154,0,,20.730380492,134.61286034,,
3,QLD,34530,Livingstone (S),261.5,0,,20.645285891,78.949468035,,
3,QLD,34590,Logan (C),1071.5,0,,86.070153231,80.326787896,,
3,QLD,34770,Mackay (R),637.5,0,,90.997319475,142.74089329,,
3,QLD,34860,Maranoa (R),,0,,,,,
3,QLD,34880,Mareeba (S),228.5,0,,18.998669646,83.145162563,,
3,QLD,35300,Mount Isa (C),,0,,,,,
3,QLD,35740,Noosa (S),1131,0,,111.32441007,98.430070794,,
3,QLD,36370,Rockhampton (R),687,0,,124.83420808,181.70918207,,
3,QLD,36510,Scenic Rim (R),1000,0,,62.731366345,62.731366345,,
3,QLD,36580,Somerset (R),420.75,0,,27.004420099,64.181628281,,
3,QLD,36630,South Burnett (R),433.25,0,,41.517785194,95.82870212,,
3,QLD,36660,Southern Downs (R),547,0,,59.251581518,108.32098998,,
3,QLD,36720,Sunshine Coast (R),3958,0,,388.6888899,98.203357732,,
3,QLD,36820,Tablelands (R),419,0,,36.061061934,86.064586954,,
3,QLD,36910,Toowoomba (R),1864,0,,226.31961666,121.41610336,,
3,QLD,37010,Townsville (C),1117,0,,154.77796316,138.56576827,,
3,QLD,37310,Western Downs (R),465,0,,47.513103882,102.17871803,,
3,QLD,37340,Whitsunday (R),319.25,0,,53.666111504,168.10058419,,
4,SA,40120,Adelaide Hills (DC),471,0,,26.163700052,55.54925701,,
4,SA,40220,Alexandrina (DC),654.75,0,,41.73534893,63.742419137,,
4,SA,40310,Barossa (DC),625.25,0,,64.740861895,103.54396145,,
4,SA,40520,Berri and Barmera (DC),115.5,0,,11.252829662,97.42709664,,
4,SA,41010,Ceduna (DC),,0,,,,,
4,SA,41140,Clare and Gilbert Valleys (DC),223,0,,22.682480821,101.71516063,,
4,SA,41330,Coober Pedy (DC),,0,,,,,
4,SA,41560,Copper Coast (DC),225.75,0,,21.963087066,97.289422219,,
4,SA,41830,Flinders Ranges (DC),,0,,,,,
4,SA,42750,Kangaroo Island (DC),51,0,,5.0616392492,99.247828415,,
4,SA,43790,Loxton Waikerie (DC),146.25,0,,11.333455061,77.493709821,,
4,SA,44210,Mid Murray (DC),303.75,0,,19.113828956,62.926185864,,
4,SA,44550,Mount Barker (DC),563.5,0,,53.140293506,94.303981378,,
4,SA,44620,Mount Gambier (C),287.25,0,,50.372420219,175.3609059,,
4,SA,45040,Murray Bridge (RC),446.5,0,,42.052150081,94.181747102,,
4,SA,46090,Port Augusta (C),207.5,0,,29.59673305,142.63485807,,
4,SA,46300,Port Lincoln (C),59.25,0,,12.627232007,213.11783978,,
4,SA,46450,Port Pirie City and Dists (M),199.75,0,,40.240375108,201.45369265,,
4,SA,46670,Renmark Paringa (DC),105.75,0,,12.859851271,121.6061586,,
4,SA,46860,Robe (DC),,0,,,,,
