State,StateName,lga_code_2016,lga_name_2016,Holiday (visitors '000),Visiting friends or relatives (visitors '000),Business (visitors '000),Other (visitors '000)
1,NSW,10050,Albury (C),111.5,169.5,91.5,33
1,NSW,10130,Armidale Regional (A),89.25,90.75,48.25,
1,NSW,10250,Ballina (A),125.25,115.75,56.75,
1,NSW,10470,Bathurst Regional (A),123,110.75,64.25,
1,NSW,10550,Bega Valley (A),314.75,110.5,27.25,
1,NSW,10600,Bellingen (A),46,28,,
1,NSW,10650,Berrigan (A),43,44,,
1,NSW,10900,Blue Mountains (C),406.25,181.25,53,
1,NSW,11250,Broken Hill (C),85.25,20.25,32.75,
1,NSW,11350,Byron (A),466.75,181,43.25,
1,NSW,11650,Central Coast (C) (NSW),593.75,560.5,67.75,29
1,NSW,11720,Cessnock (C),246.75,114.25,41.5,
1,NSW,11730,Clarence Valley (A),253.25,153.5,43.75,
1,NSW,11800,Coffs Harbour (C),348.5,241.75,118.75,26.25
1,NSW,12350,Cowra (A),38.25,37.5,,
1,NSW,12750,Eurobodalla (A),460.5,149.75,39.75,
1,NSW,12870,Federation (A),62.25,30.75,,
1,NSW,13010,Glen Innes Severn (A),38.5,32.75,,
1,NSW,13310,Goulburn Mulwaree (A),74,75.5,47.25,
1,NSW,13450,Griffith (C),33,42,42.5,
1,NSW,13510,Gundagai (A),45,52,,
1,NSW,13800,Hawkesbury (C),77.75,65.5,32.5,
1,NSW,13910,Hilltops (A),47,65.25,,
1,NSW,14200,Inverell (A),46.75,33.25,,
1,NSW,14350,Kempsey (A),167.5,74.75,,
1,NSW,14400,Kiama (A),170.5,88.25,,
1,NSW,14650,Lake Macquarie (C),112.5,166.5,,
1,NSW,14850,Lismore (C),33.25,81,35,
1,NSW,14870,Lithgow (C),65.25,35.25,,
1,NSW,15050,Maitland (C),27.75,76,,
1,NSW,15240,Mid-Coast (A),594.75,297.25,73,29.25
1,NSW,15270,Mid-Western Regional (A),139.5,90,53.75,
1,NSW,15300,Moree Plains (A),64,38.75,43.75,
1,NSW,15520,Murray River (A),98.75,37.25,,
1,NSW,15700,Nambucca (A),50.25,54.75,,
1,NSW,15750,Narrabri (A),26,27.75,30.75,
1,NSW,15900,Newcastle (C),238.75,489.75,226.75,80.25
1,NSW,16150,Orange (C),76.5,121.75,57,40
1,NSW,16200,Parkes (A),42.25,39.75,,
1,NSW,16380,Port Macquarie-Hastings (A),347.25,244.25,91.75,25.75
1,NSW,16400,Port Stephens (A),446,142.5,29.5,
1,NSW,16490,Queanbeyan-Palerang Regional (A),63.25,88.25,42.25,
1,NSW,16610,Richmond Valley (A),64.25,41.25,,
1,NSW,16900,Shellharbour (C),36.25,45.75,,
1,NSW,16950,Shoalhaven (C),779,330.25,44.25,37
1,NSW,17000,Singleton (A),45.75,50.25,40.25,
1,NSW,17040,Snowy Monaro Regional (A),469,64.5,42.25,
1,NSW,17080,Snowy Valleys (A),75.5,33.5,,
1,NSW,17310,Tamworth Regional (A),161.25,169.5,88.25,25.5
1,NSW,17550,Tweed (A),285.75,207.75,39.75,
1,NSW,17620,Upper Hunter Shire (A),49,33.5,,
1,NSW,17750,Wagga Wagga (C),110.75,178.25,105.25,59
1,NSW,18020,Warrumbungle Shire (A),43.25,38.75,,
1,NSW,18230,Western Plains Regional (A),175.5,136.75,128.5,47
1,NSW,18350,Wingecarribee (A),157.25,176,30,
1,NSW,18450,Wollongong (C),217,322.5,70.25,35.25
1,NSW,18710,Yass Valley (A),50.5,37.75,,
2,VIC,20110,Alpine (S),254.25,55.75,,
2,VIC,20570,Ballarat (C),171.5,247.75,82.75,39.75
2,VIC,20740,Bass Coast (S),565.75,158.5,48.5,
2,VIC,20830,Baw Baw (S),61,77.75,,
2,VIC,21010,Benalla (RC),26.5,57.75,,
2,VIC,21370,Campaspe (S),260.25,136.25,42.75,
2,VIC,21450,Cardinia (S),,69.25,,
2,VIC,21750,Colac-Otway (S),265,56.25,34.25,
