State,StateName,lga_code_2016,lga_name_2016,Visitors_000,Nights_000,AvNightsStay,Spend_M,AvSpendTrip,AvSpendNight,AvSpendNight_AccomCM_M
1,NSW,10050,Albury (C),1169.468,1120.61725,2.5113672017,330.92759699,282.97276795,181.30506088,196.69217693
1,NSW,10130,Armidale Regional (A),589.91675,934.531,3.3686898862,153.7208805,260.58063363,112.74997665,139.73580375
1,NSW,10250,Ballina (A),640.22375,1245.4325,3.7600941961,239.99721574,374.86459342,168.53420239,206.2781998
1,NSW,10470,Bathurst Regional (A),912.642,928.96225,2.801099529,210.35828612,230.49376001,138.2974909,196.9497174
1,NSW,10550,Bega Valley (A),857.536,2249.244,4.4382520433,382.03817503,445.50686506,148.15081551,146.45093552
1,NSW,10600,Bellingen (A),214.8285,390.4485,4.0323716674,56.090495898,261.09429567,122.81327546,161.15136314
1,NSW,10650,Berrigan (A),,,,,,,
1,NSW,10900,Blue Mountains (C),2937.444,2017.438,2.6365052523,496.35751543,168.97599254,160.02245075,225.22779125
1,NSW,11250,Broken Hill (C),,488.914,3.1069430786,,,173.28261256,181.83134585
1,NSW,11350,Byron (A),1723.98025,3884.477,4.3843832862,581.42129189,337.25519297,131.69799739,163.74381805
1,NSW,11650,Central Coast (C) (NSW),4599.7425,4255.86625,3.2794381397,800.5138839,174.03449952,125.71302088,208.15849118
1,NSW,11720,Cessnock (C),1102.2715,965.96375,2.303909877,319.50102693,289.85692448,237.75051277,294.94652281
1,NSW,11730,Clarence Valley (A),945.27525,1926.68675,3.8881706835,270.02312511,285.65555388,115.08195383,160.24248648
1,NSW,11800,Coffs Harbour (C),1575.33075,3041.831,3.6502085156,524.65247639,333.04274445,137.66680546,156.26549625
1,NSW,12350,Cowra (A),218.1155,297.92925,2.8962990507,43.405125539,199.00064663,97.262729802,
1,NSW,12750,Eurobodalla (A),1216.089,2528.87475,3.6225678244,349.72214916,287.57940345,115.59356806,157.22598992
1,NSW,12870,Federation (A),,,,,,,
1,NSW,13010,Glen Innes Severn (A),,,,,,,
1,NSW,13310,Goulburn Mulwaree (A),618.70525,536.51125,2.3561654815,101.77272858,164.49307417,120.07301563,150.51036472
1,NSW,13450,Griffith (C),324.81225,543.094,4.1202088577,93.321169012,287.30803414,112.37003818,144.85790697
1,NSW,13510,Gundagai (A),,285.448,2.1621818154,,,114.19452975,
1,NSW,13800,Hawkesbury (C),961.08775,662.5645,3.3617741336,114.5850265,119.22431276,97.326502223,151.66799758
1,NSW,13910,Hilltops (A),413.795,473.43825,3.1979347496,78.96747706,190.83719489,110.49955967,146.72000838
1,NSW,14200,Inverell (A),224.04275,322.25925,2.9284914272,58.17308753,259.65172955,120.12822313,126.44484445
1,NSW,14350,Kempsey (A),536.54175,1216.53,4.0377142753,138.98864016,259.04534019,99.645894343,112.91118281
1,NSW,14400,Kiama (A),1067.85925,819.84175,2.8705013931,160.17924586,150.00033559,131.75993349,176.93294588
1,NSW,14650,Lake Macquarie (C),1120.626,983.6215,3.0346886705,176.53420961,157.531781,96.712669789,142.02731793
1,NSW,14850,Lismore (C),626.68225,634.82975,3.5086600095,125.69284757,200.56870538,111.66247685,148.76381049
1,NSW,14870,Lithgow (C),490.23475,355.64575,2.582106186,73.718385673,150.3736438,133.2927528,
1,NSW,15050,Maitland (C),647.66575,379.11725,2.7538966664,93.794406747,144.81915517,105.15537581,
1,NSW,15240,Mid-Coast (A),1966.41275,3578.7745,3.4630640081,504.32272793,256.46839806,116.14045786,150.33851319
1,NSW,15270,Mid-Western Regional (A),528.168,780.5835,2.6267414392,136.78160761,258.97367431,143.54337884,208.25661086
1,NSW,15300,Moree Plains (A),,599.999,3.5374744454,,,104.51778199,122.6658348
1,NSW,15520,Murray River (A),,,,,,,
1,NSW,15700,Nambucca (A),228.30225,543.5085,3.8532423269,67.277014559,294.68397512,108.62771984,150.36748385
1,NSW,15750,Narrabri (A),219.0595,262.10875,2.5936082209,39.970861851,182.46577688,104.20134377,
1,NSW,15900,Newcastle (C),3607.34575,4244.8105,3.7603104764,782.29012247,216.86031134,121.24287972,158.07263861
1,NSW,16150,Orange (C),911.72775,962.5245,3.1253053183,232.62014915,255.14211797,147.81686613,190.57862283
