State,StateName,lga_code_2016,lga_name_2016,Hotel or similar (nights '000),Home of friend or relative (nights '000),Commercial camping/caravan park (nights '000),Backpacker (nights '000),Other (nights '000)
1,NSW,10050,Albury (C),399.9885,512.8825,,,137.61375
1,NSW,10130,Armidale Regional (A),174.5195,338.15775,,,314.4395
1,NSW,10250,Ballina (A),200.44625,595.216,221.6305,,220.5115
1,NSW,10470,Bathurst Regional (A),211.0695,414.13675,,,215.33875
1,NSW,10550,Bega Valley (A),312.613,473.65925,793.62225,,661.91425
1,NSW,10600,Bellingen (A),,,,,
1,NSW,10650,Berrigan (A),,,,,
1,NSW,10900,Blue Mountains (C),496.40075,606.4855,,,747.64375
1,NSW,11250,Broken Hill (C),163.70825,,,,117.89125
1,NSW,11350,Byron (A),524.61625,930.90125,535.8705,,1334.50175
1,NSW,11650,Central Coast (C) (NSW),624.877,2159.8865,368.1025,,1092.298
1,NSW,11720,Cessnock (C),464.34425,205.6645,,,256.7875
1,NSW,11730,Clarence Valley (A),218.97025,668.78525,465.79,,540.75175
1,NSW,11800,Coffs Harbour (C),831.96875,885.49775,534.6555,,681.1775
1,NSW,12350,Cowra (A),,,,,
1,NSW,12750,Eurobodalla (A),283.93325,750.28675,612.40125,,878.6295
1,NSW,12870,Federation (A),,,,,
1,NSW,13010,Glen Innes Severn (A),,,,,
1,NSW,13310,Goulburn Mulwaree (A),169.5955,,,,146.11
1,NSW,13450,Griffith (C),,215.482,,,
1,NSW,13510,Gundagai (A),,,,,
1,NSW,13800,Hawkesbury (C),,286.44725,,,232.766
1,NSW,13910,Hilltops (A),,,,,165.9415
1,NSW,14200,Inverell (A),,,,,
1,NSW,14350,Kempsey (A),,,391.6035,,458.38875
1,NSW,14400,Kiama (A),121.48025,274.969,184.7365,,231.45225
1,NSW,14650,Lake Macquarie (C),,552.63375,,,225.3985
1,NSW,14850,Lismore (C),,342.0735,,,
1,NSW,14870,Lithgow (C),,,,,
1,NSW,15050,Maitland (C),,241.99275,,,
1,NSW,15240,Mid-Coast (A),406.2195,1085.2695,807.90925,,1273.64275
1,NSW,15270,Mid-Western Regional (A),,268.3855,,,
1,NSW,15300,Moree Plains (A),,,,,
1,NSW,15520,Murray River (A),,,,,
1,NSW,15700,Nambucca (A),,,,,
1,NSW,15750,Narrabri (A),,,,,
1,NSW,15900,Newcastle (C),804.4305,1895.6035,81.8015,,1393.61075
1,NSW,16150,Orange (C),224.53925,362.29625,,,326.37475
