State,StateName,lga_code_2016,lga_name_2016,Non-employing,1 to 4 employees,5 to 19 employees,20 or more employees,Total
1,NSW,15520,Murray River (A),55,40,28,15,136
1,NSW,15700,Nambucca (A),74,59,51,8,195
1,NSW,15750,Narrabri (A),40,52,46,3,133
1,NSW,15900,Newcastle (C),670,557,476,134,1827
1,NSW,16150,Orange (C),188,135,111,29,464
1,NSW,16200,Parkes (A),77,65,41,5,187
1,NSW,16380,Port Macquarie-Hastings (A),315,336,218,40,906
1,NSW,16400,Port Stephens (A),231,196,169,31,632
1,NSW,16490,Queanbeyan-Palerang Regional (A),205,142,102,21,465
1,NSW,16610,Richmond Valley (A),74,64,37,4,182
1,NSW,16900,Shellharbour (C),170,188,121,28,505
1,NSW,16950,Shoalhaven (C),429,429,302,61,1208
1,NSW,17000,Singleton (A),88,57,53,15,207
1,NSW,17040,Snowy Monaro Regional (A),151,137,88,22,394
1,NSW,17080,Snowy Valleys (A),58,57,41,3,168
1,NSW,17310,Tamworth Regional (A),254,187,150,34,626
1,NSW,17550,Tweed (A),439,280,222,46,980
1,NSW,17620,Upper Hunter Shire (A),65,57,41,6,166
1,NSW,17750,Wagga Wagga (C),206,210,166,39,616
1,NSW,18020,Warrumbungle Shire (A),48,44,23,3,120
1,NSW,18230,Western Plains Regional (A),214,201,148,34,591
1,NSW,18350,Wingecarribee (A),325,241,140,24,731
1,NSW,18450,Wollongong (C),759,680,356,81,1879
1,NSW,18710,Yass Valley (A),73,61,34,6,176
2,VIC,20110,Alpine (S),110,84,77,5,280
2,VIC,20570,Ballarat (C),412,349,248,77,1084
2,VIC,20740,Bass Coast (S),173,167,85,15,437
2,VIC,20830,Baw Baw (S),193,208,95,13,506
2,VIC,21010,Benalla (RC),68,84,37,7,195
2,VIC,21370,Campaspe (S),163,186,121,17,483
2,VIC,21450,Cardinia (S),306,285,117,23,728
2,VIC,21750,Colac-Otway (S),126,89,75,16,309
2,VIC,21830,Corangamite (S),64,75,40,10,190
2,VIC,22110,East Gippsland (S),261,228,139,20,649
2,VIC,22170,Frankston (C),485,383,184,40,1090
2,VIC,22410,Glenelg (S),81,80,56,5,231
2,VIC,22620,Greater Bendigo (C),438,380,247,79,1147
2,VIC,22750,Greater Geelong (C),943,798,506,127,2376
2,VIC,22830,Greater Shepparton (C),255,245,150,34,696
2,VIC,22910,Hepburn (S),99,87,37,8,224
2,VIC,23190,Horsham (RC),90,100,67,11,268
2,VIC,23350,Indigo (S),99,70,50,10,234
2,VIC,23810,Latrobe (C) (Vic.),229,218,159,35,640
2,VIC,24130,Macedon Ranges (S),266,169,102,16,557
2,VIC,24250,Mansfield (S),81,62,29,6,181
2,VIC,24780,Mildura (RC),217,231,126,30,612
2,VIC,24850,Mitchell (S),144,120,54,4,327
2,VIC,24900,Moira (S),125,131,65,8,325
2,VIC,25340,Mornington Peninsula (S),762,629,335,100,1825
2,VIC,25430,Mount Alexander (S),110,78,46,16,249
2,VIC,25490,Moyne (S),69,68,43,3,183
2,VIC,25620,Murrindindi (S),81,68,42,0,184
2,VIC,25710,Nillumbik (S),292,202,95,26,610
2,VIC,25810,Northern Grampians (S),65,74,34,5,178
2,VIC,26080,Queenscliffe (B),35,23,26,3,87
2,VIC,26170,South Gippsland (S),136,133,65,8,341
2,VIC,26260,Southern Grampians (S),67,69,41,13,197
2,VIC,26430,Strathbogie (S),50,31,18,3,102
2,VIC,26490,Surf Coast (S),193,133,114,24,466
2,VIC,26610,Swan Hill (RC),90,104,46,5,255
2,VIC,26700,Wangaratta (RC),150,126,69,12,353
2,VIC,26730,Warrnambool (C),136,141,121,34,432
2,VIC,26810,Wellington (S),186,179,100,19,486
2,VIC,27170,Wodonga (C),124,102,78,14,323
2,VIC,27450,Yarra Ranges (S),677,484,238,66,1461
3,QLD,30370,Banana (S),57,45,42,11,153
3,QLD,31820,Bundaberg (R),286,268,191,35,783
3,QLD,31900,Burdekin (S),64,73,48,13,194
3,QLD,32080,Cairns (R),862,692,489,173,2217
3,QLD,32260,Cassowary Coast (R),144,140,79,11,372
