State,StateName,lga_code_2016,lga_name_2016,Holiday (visitors '000),Visiting friends or relatives (visitors '000),Business (visitors '000),Other (visitors '000)
3,QLD,34880,Mareeba (S),,,,
3,QLD,35300,Mount Isa (C),,,,
3,QLD,35740,Noosa (S),671.5,305.25,,
3,QLD,36370,Rockhampton (R),311.75,116,,212.25
3,QLD,36510,Scenic Rim (R),707.75,205.25,,
3,QLD,36580,Somerset (R),228.5,149.25,,
3,QLD,36630,South Burnett (R),183.5,,,
3,QLD,36660,Southern Downs (R),268.5,164.5,,
3,QLD,36720,Sunshine Coast (R),2431.25,941.25,252.25,333.25
3,QLD,36820,Tablelands (R),232,132.25,,
3,QLD,36910,Toowoomba (R),689.75,557.75,263.75,352.75
3,QLD,37010,Townsville (C),477.75,255,,279.5
3,QLD,37310,Western Downs (R),185.5,,,
3,QLD,37340,Whitsunday (R),179.5,,,
4,SA,40120,Adelaide Hills (DC),278.75,106,,
4,SA,40220,Alexandrina (DC),337.75,242.5,,
4,SA,40310,Barossa (DC),402.25,157.75,,
4,SA,40520,Berri and Barmera (DC),,,,
4,SA,41010,Ceduna (DC),,,,
4,SA,41140,Clare and Gilbert Valleys (DC),102.75,67,,
4,SA,41330,Coober Pedy (DC),,,,
4,SA,41560,Copper Coast (DC),120.75,46.25,,
4,SA,41830,Flinders Ranges (DC),,,,
4,SA,42750,Kangaroo Island (DC),,,,
4,SA,43790,Loxton Waikerie (DC),,,,
4,SA,44210,Mid Murray (DC),183.5,80.5,,
4,SA,44550,Mount Barker (DC),351.25,150.25,,
4,SA,44620,Mount Gambier (C),172.25,,,59.25
4,SA,45040,Murray Bridge (RC),258.75,97.5,,
4,SA,46090,Port Augusta (C),116.5,,,
4,SA,46300,Port Lincoln (C),,,,
4,SA,46450,Port Pirie City and Dists (M),84.25,,,
4,SA,46670,Renmark Paringa (DC),,,,
4,SA,46860,Robe (DC),,,,
4,SA,48050,Victor Harbor (C),675,208.75,,
4,SA,48340,Wattle Range (DC),57.25,,,
4,SA,48540,Whyalla (C),,,,
4,SA,48750,Yankalilla (DC),131,53.5,,
4,SA,48830,Yorke Peninsula (DC),79.75,,,
5,WA,50080,Albany (C),141.5,,,80.25
5,WA,50250,Ashburton (S),,,,
5,WA,50280,Augusta-Margaret River (S),252.75,,,
5,WA,50980,Broome (S),,,,
5,WA,51190,Bunbury (C),442.25,264.5,129.5,204
5,WA,51260,Busselton (C),367.5,171.5,,
5,WA,51540,Carnarvon (S),,,,
5,WA,52590,Dandaragan (S),89.5,,,
5,WA,52730,Denmark (S),72.75,,,
5,WA,52800,Derby-West Kimberley (S),,,,
5,WA,53080,Dundas (S),,,,
5,WA,53220,East Pilbara (S),,,,
5,WA,53290,Esperance (S),,,,
5,WA,53360,Exmouth (S),,,,
5,WA,53570,Gingin (S),239.25,100.25,,
5,WA,53800,Greater Geraldton (C),68,,,68
5,WA,53920,Halls Creek (S),,,,
5,WA,53990,Harvey (S),69.75,,,
5,WA,54060,Irwin (S),,,,
5,WA,54280,Kalgoorlie/Boulder (C),,,,
5,WA,54310,Karratha (C),,,,
5,WA,54620,Kondinin (S),,,,
5,WA,55110,Mandurah (C),935.75,685.5,129.75,99.5
5,WA,55180,Manjimup (S),65.25,,,
5,WA,56230,Murray (S),181.75,61.25,,
5,WA,56790,Northampton (S),,,,
5,WA,57280,Port Hedland (T),,,,
5,WA,57770,Shark Bay (S),,,,
5,WA,59340,Wyndham-East Kimberley (S),,,,
6,TAS,60210,Break O'Day (M),47.5,,,
6,TAS,60610,Burnie (C),130.75,48.75,,50
6,TAS,60810,Central Coast (M) (Tas.),85.25,44.5,,
6,TAS,61010,Central Highlands (M) (Tas.),60.75,,,
6,TAS,61210,Circular Head (M),93.5,,,
6,TAS,61610,Devonport (C),161.25,76.75,,33.75
6,TAS,61810,Dorset (M),94.5,,,
6,TAS,62410,Glamorgan/Spring Bay (M),142.25,64.5,,
6,TAS,63010,Huon Valley (M),217.25,49,,
6,TAS,63210,Kentish (M),91.5,,,
6,TAS,63610,Kingborough (M),123.5,56,,
6,TAS,64010,Launceston (C),515.25,232.5,126.5,265.5
6,TAS,64210,Meander Valley (M),109.25,40,,
6,TAS,64610,Northern Midlands (M),95,,46,
6,TAS,65210,Tasman (M),99.5,,,
6,TAS,65410,Waratah/Wynyard (M),39.25,,,
6,TAS,65610,West Coast (M),,,,
6,TAS,65810,West Tamar (M),49,57.25,,
7,NT,70200,Alice Springs (T),,,,
7,NT,70420,Barkly (R),,,,
7,NT,70700,Coomalie (S),178.5,,,
7,NT,72200,Katherine (T),,,,
7,NT,72330,MacDonnell (R),97.25,,,
7,NT,73600,Roper Gulf (R),,,,
7,NT,74550,Victoria Daly (R),,,,
7,NT,74660,West Arnhem (R),,,,
