State,StateName,lga_code_2016,lga_name_2016,Visitors_000,Nights_000,AvNightsStay,Spend_M,AvSpendTrip,AvSpendNight,AvSpendNight_AccomCM_M
1,NSW,10050,Albury (C),432,968.25,2.2413194444,192.7341599,446.14388866,199.05412848,211.03713088
1,NSW,10130,Armidale Regional (A),268.25,650.5,2.4249767008,87.131652316,324.81510649,133.94566075,171.69317627
1,NSW,10250,Ballina (A),317.5,1120.25,3.5283464567,201.24454463,633.84108546,179.64253036,211.20424408
1,NSW,10470,Bathurst Regional (A),324,824.5,2.5447530864,120.14683002,370.82354944,145.72083689,212.43451521
1,NSW,10550,Bega Valley (A),482.25,2126.5,4.409538621,325.37813367,674.70841611,153.01111388,147.61849013
1,NSW,10600,Bellingen (A),92,356.5,3.875,46.147730671,501.60576817,129.44664985,165.1562433
1,NSW,10650,Berrigan (A),97.75,279.25,2.8567774936,28.875281347,295.39929767,103.40297707,140.34219772
1,NSW,10900,Blue Mountains (C),674,1579.75,2.34384273,274.14570542,406.74437006,173.53739859,251.66121165
1,NSW,11250,Broken Hill (C),151.5,428.25,2.8267326733,81.977098596,541.10296103,191.42346432,197.8480926
1,NSW,11350,Byron (A),704,2581.5,3.6669034091,428.79728522,609.08705287,166.1039261,222.33472794
1,NSW,11650,Central Coast (C) (NSW),1259,3582,2.8451151708,500.11839007,397.23462277,139.61987439,220.84531604
1,NSW,11720,Cessnock (C),410.5,892,2.1729598051,225.00642717,548.12771539,252.24935781,304.11516764
1,NSW,11730,Clarence Valley (A),480.75,1840.25,3.8278731149,218.07450474,453.61311438,118.50265167,163.73947597
1,NSW,11800,Coffs Harbour (C),759,2485.25,3.2743741765,391.33803419,515.59688299,157.46425277,176.99964864
1,NSW,12350,Cowra (A),100.75,275.25,2.7320099256,27.952580953,277.44497224,101.55342762,144.06971844
1,NSW,12750,Eurobodalla (A),673.5,2401,3.5649591685,283.26532469,420.58697058,117.97806109,160.05680044
1,NSW,12870,Federation (A),105,378.5,3.6047619048,41.060667751,391.05397858,108.48260965,131.19680364
1,NSW,13010,Glen Innes Severn (A),97,249.25,2.5695876289,25.677080881,264.71217403,103.01737565,161.61917552
1,NSW,13310,Goulburn Mulwaree (A),221.75,436.25,1.9673055242,59.49586042,268.3015126,136.38019581,182.61922122
1,NSW,13450,Griffith (C),126,326,2.5873015873,54.142613779,429.70328396,166.08163736,206.36565746
1,NSW,13510,Gundagai (A),130.5,256.5,1.9655172414,31.900825728,244.45077186,124.36969095,138.43257028
1,NSW,13800,Hawkesbury (C),189.5,510.5,2.6939313984,56.160867689,296.36341788,110.011494,174.01984268
1,NSW,13910,Hilltops (A),144.75,357,2.4663212435,49.277730952,340.43337445,138.03285981,206.74019459
1,NSW,14200,Inverell (A),107.5,293.75,2.7325581395,37.14520808,345.53681935,126.45177219,137.00492271
1,NSW,14350,Kempsey (A),292.5,1162.25,3.9735042735,118.42724907,404.87948401,101.89481529,114.51405524
1,NSW,14400,Kiama (A),274.25,750.25,2.7356426618,103.61761279,377.82174216,138.11078012,181.62487071
1,NSW,14650,Lake Macquarie (C),315.25,824.75,2.6161776368,88.404301413,280.42601558,107.18921056,155.87451275
1,NSW,14850,Lismore (C),169.5,453,2.6725663717,61.45151531,362.54581304,135.65455918,210.65463358
1,NSW,14870,Lithgow (C),135.25,342.75,2.5341959335,46.749191191,345.65021214,136.3944309,162.27996765
1,NSW,15050,Maitland (C),133.25,312.25,2.3433395872,37.049656422,278.04620204,118.65382361,177.15432875
1,NSW,15240,Mid-Coast (A),1012.5,3414.25,3.3720987654,408.96738193,403.91840191,119.78249453,153.1664597
1,NSW,15270,Mid-Western Regional (A),293,714.5,2.4385665529,109.24390365,372.84608755,152.89559643,211.84589079
1,NSW,15300,Moree Plains (A),166,458.75,2.7635542169,56.384665095,339.6666572,122.90935171,135.94584895
1,NSW,15520,Murray River (A),156.75,434.25,2.7703349282,56.904382299,363.02636235,131.04060403,154.83415437
1,NSW,15700,Nambucca (A),136.5,508.75,3.7271062271,57.714097002,422.81389745,113.44294251,152.46129504
1,NSW,15750,Narrabri (A),99,222.75,2.25,25.606845898,258.65500907,114.95778181,178.70511713
1,NSW,15900,Newcastle (C),1043.25,2439.5,2.3383656842,388.75243325,372.63592931,159.35742294,232.36332127
1,NSW,16150,Orange (C),299.5,845,2.8213689482,136.37605938,455.34577424,161.39178625,203.44089482
1,NSW,16200,Parkes (A),114.5,246.5,2.1528384279,33.882776506,295.91944547,137.45548278,188.33979176
1,NSW,16380,Port Macquarie-Hastings (A),728.25,2381,3.2694816341,346.04549275,475.17403742,145.33620023,185.33860704
1,NSW,16400,Port Stephens (A),634.75,2171.5,3.4210319023,444.65877738,700.5258407,204.77033266,201.35593007
1,NSW,16490,Queanbeyan-Palerang Regional (A),202,600.75,2.974009901,69.230989116,342.72766889,115.2409307,172.1242667
1,NSW,16610,Richmond Valley (A),122.25,486.75,3.981595092,50.292278767,411.38878337,103.32260661,109.75359159
1,NSW,16900,Shellharbour (C),90.5,252,2.7845303867,30.265809984,334.42883961,120.10242057,148.0463253
1,NSW,16950,Shoalhaven (C),1197.75,3879.75,3.2391984972,459.83080551,383.91217325,118.52073085,163.48912124
1,NSW,17000,Singleton (A),144.5,398.5,2.7577854671,44.777762261,309.88070769,112.36577732,210.52202757
1,NSW,17040,Snowy Monaro Regional (A),618.5,2137.75,3.4563459984,455.51606261,736.48514569,213.082008,271.87979875
1,NSW,17080,Snowy Valleys (A),133.25,353,2.6491557223,48.748410707,365.84173138,138.09748076,171.45135425
1,NSW,17310,Tamworth Regional (A),466.75,1197.75,2.566148902,175.09673533,375.14030066,146.1880487,189.37074681
1,NSW,17550,Tweed (A),552.5,1975.5,3.5755656109,252.34452461,456.73217123,127.73704106,160.50294906
1,NSW,17620,Upper Hunter Shire (A),113.25,261.75,2.3112582781,28.1633306,248.68283091,107.59629647,169.47039006
1,NSW,17750,Wagga Wagga (C),466,1296.25,2.7816523605,182.32092275,391.24661534,140.65259228,206.11984969
1,NSW,18020,Warrumbungle Shire (A),123.25,241.75,1.9614604462,28.599038223,232.04087807,118.3000547,165.64050976
1,NSW,18230,Western Plains Regional (A),518,1120.5,2.1631274131,208.645181,402.78992471,186.20721196,223.49808318
1,NSW,18350,Wingecarribee (A),389,842.25,2.1651670951,129.64809005,333.28557854,153.93065011,230.31489209
1,NSW,18450,Wollongong (C),649.75,1523.25,2.3443632166,217.72818876,335.09532707,142.93660841,206.61529033
1,NSW,18710,Yass Valley (A),123.5,288.5,2.3360323887,32.315608182,261.66484358,112.0125067,133.1369381
2,VIC,20110,Alpine (S),325,1093.5,3.3646153846,172.87068375,531.90979614,158.08933127,180.03988271
2,VIC,20570,Ballarat (C),548,1157.25,2.111770073,169.68775873,309.64919477,146.63016525,215.99246763
2,VIC,20740,Bass Coast (S),788.25,2347,2.9774817634,274.87167135,348.71128621,117.11617868,171.83176984
2,VIC,20830,Baw Baw (S),155.75,336.25,2.1589085072,30.076373138,193.10672962,89.446462865,133.4364651
2,VIC,21010,Benalla (RC),105,226,2.1523809524,23.598833172,224.75079211,104.4196158,207.48054495
2,VIC,21370,Campaspe (S),458.75,1195.75,2.6065395095,150.09229067,327.1766554,125.52146407,174.33739911
2,VIC,21450,Cardinia (S),100.25,262.25,2.6159600998,27.130083082,270.62427015,103.45122243,
2,VIC,21750,Colac-Otway (S),363.75,962.75,2.6467353952,139.72285825,384.11782337,145.12891015,178.95842018
2,VIC,21830,Corangamite (S),122.75,281,2.2892057026,34.09392908,277.75094973,121.33070847,183.04805025
2,VIC,22110,East Gippsland (S),629,2035,3.2352941176,242.42408736,385.41190359,119.12731565,148.44612257
