State,StateName,lga_code_2016,lga_name_2016,Unaccompanied (visitors '000),Couple (visitors '000),Family group (visitors '000),Friends/relatives travelling together (visitors '000)
3,QLD,33220,Fraser Coast (R),168.2775,222.16875,140.7145,153.5785
3,QLD,33360,Gladstone (R),152.398,118.51,82.8475,91.66425
3,QLD,33430,Gold Coast (C),895.87325,1139.76825,1025.33875,897.121
3,QLD,33610,Goondiwindi (R),,,,
3,QLD,33620,Gympie (R),96.80475,114.4135,90.7495,128.11925
3,QLD,33800,Hinchinbrook (S),,,,
3,QLD,33960,Ipswich (C),145.5825,54.8365,56.658,
3,QLD,33980,Isaac (R),172.8495,,,
3,QLD,34530,Livingstone (S),36.77775,63.40025,,36.13275
3,QLD,34590,Logan (C),131.352,68.6465,44.733,53.11025
3,QLD,34770,Mackay (R),181.708,129.15,90.176,72.14125
3,QLD,34860,Maranoa (R),86.28625,,,
3,QLD,34880,Mareeba (S),,26.28975,,
3,QLD,35300,Mount Isa (C),50.665,47.004,,
3,QLD,35740,Noosa (S),173.91425,293.7435,215.78825,197.109
3,QLD,36370,Rockhampton (R),216.06225,128.36,80.24625,83.45475
3,QLD,36510,Scenic Rim (R),44.53225,80.92125,,
3,QLD,36580,Somerset (R),,,,
3,QLD,36630,South Burnett (R),,,,
3,QLD,36660,Southern Downs (R),74.105,90.8175,,70.28925
3,QLD,36720,Sunshine Coast (R),458.64225,689.13125,536.60575,390.10725
3,QLD,36820,Tablelands (R),42.1825,41.56625,,32.2725
3,QLD,36910,Toowoomba (R),286.61925,212.24775,,135.76925
3,QLD,37010,Townsville (C),332.6245,241.42975,160.9925,160.27375
3,QLD,37310,Western Downs (R),114.16675,,,
3,QLD,37340,Whitsunday (R),161.05275,215.3225,122.308,161.35175
4,SA,40120,Adelaide Hills (DC),,,,
4,SA,40220,Alexandrina (DC),36.898,73.691,,
4,SA,40310,Barossa (DC),32.54675,72.20175,,
4,SA,40520,Berri and Barmera (DC),,,,
4,SA,41010,Ceduna (DC),,28.2125,,
4,SA,41140,Clare and Gilbert Valleys (DC),,,,
4,SA,41330,Coober Pedy (DC),,35.4415,,21.28675
4,SA,41560,Copper Coast (DC),,,,
4,SA,41830,Flinders Ranges (DC),,19.6435,,
4,SA,42750,Kangaroo Island (DC),,44.54775,29.78075,34.503
4,SA,43790,Loxton Waikerie (DC),,,,
4,SA,44210,Mid Murray (DC),,,,
4,SA,44550,Mount Barker (DC),22.97475,38.043,,
4,SA,44620,Mount Gambier (C),68.49625,61.195,30.6395,30.3795
4,SA,45040,Murray Bridge (RC),,,,
4,SA,46090,Port Augusta (C),38.79075,47.5455,,29.16875
4,SA,46300,Port Lincoln (C),41.378,38.77825,,
4,SA,46450,Port Pirie City and Dists (M),,,,
4,SA,46670,Renmark Paringa (DC),,,,
4,SA,46860,Robe (DC),,41.9945,,
4,SA,48050,Victor Harbor (C),36.48825,83.704,,
4,SA,48340,Wattle Range (DC),,31.249,,
4,SA,48540,Whyalla (C),,,,
4,SA,48750,Yankalilla (DC),,,,
4,SA,48830,Yorke Peninsula (DC),,,,
5,WA,50080,Albany (C),83.69425,139.36525,84.97925,88.00225
5,WA,50250,Ashburton (S),128.43975,16.598,,
5,WA,50280,Augusta-Margaret River (S),72.021,207.45575,122.157,196.362
5,WA,50980,Broome (S),63.49425,81.5605,37.6255,44.99975
5,WA,51190,Bunbury (C),139.401,99.32075,50.01575,70.1005
5,WA,51260,Busselton (C),98.39475,260.6955,218.1515,240.54725
5,WA,51540,Carnarvon (S),,55.31525,28.87575,38.7755
5,WA,52590,Dandaragan (S),,47.96475,39.54475,52.682
5,WA,52730,Denmark (S),,50.44425,,35.336
5,WA,52800,Derby-West Kimberley (S),31.1275,25.181,,
5,WA,53080,Dundas (S),,32.95075,,
5,WA,53220,East Pilbara (S),103.64425,,,
5,WA,53290,Esperance (S),46.3105,72.6145,,42.0845
5,WA,53360,Exmouth (S),,31.32525,,35.1245
5,WA,53570,Gingin (S),,45.877,,
5,WA,53800,Greater Geraldton (C),79.48475,62.74925,65.9175,60.6525
5,WA,53920,Halls Creek (S),,20.0265,,
5,WA,53990,Harvey (S),19.472,,,
5,WA,54060,Irwin (S),,24.82675,,
5,WA,54280,Kalgoorlie/Boulder (C),74.94975,39.11175,,
5,WA,54310,Karratha (C),98.03975,16.42425,,
5,WA,54620,Kondinin (S),,,,
5,WA,55110,Mandurah (C),101.64625,126.56775,82.38475,93.606
5,WA,55180,Manjimup (S),34.13725,58.25875,61.5845,54.249
5,WA,56230,Murray (S),,,,
5,WA,56790,Northampton (S),,45.87025,40.74825,43.9235
5,WA,57280,Port Hedland (T),74.99125,19.881,,
5,WA,57770,Shark Bay (S),,35.6975,,29.3735
5,WA,59340,Wyndham-East Kimberley (S),33.8735,29.00125,,21.9315
6,TAS,60210,Break O'Day (M),20.0405,63.50975,,
6,TAS,60610,Burnie (C),21.1675,24.42275,,
6,TAS,60810,Central Coast (M) (Tas.),,,,
6,TAS,61010,Central Highlands (M) (Tas.),,24.43025,,
6,TAS,61210,Circular Head (M),,39.51475,,
6,TAS,61610,Devonport (C),40.95175,39.18375,,28.94475
6,TAS,61810,Dorset (M),,,,
6,TAS,62410,Glamorgan/Spring Bay (M),30.17825,117.89275,63.457,65.355
6,TAS,63010,Huon Valley (M),,,,
6,TAS,63210,Kentish (M),,70.171,24.18225,39.352
6,TAS,63610,Kingborough (M),23.824,,,
6,TAS,64010,Launceston (C),163.31725,169.4075,85.7355,123.89575
6,TAS,64210,Meander Valley (M),,,,
6,TAS,64610,Northern Midlands (M),,,,
6,TAS,65210,Tasman (M),19.6625,43.80875,,23.133
6,TAS,65410,Waratah/Wynyard (M),,,,
6,TAS,65610,West Coast (M),27.815,54.4915,,43.8835
6,TAS,65810,West Tamar (M),,,,
7,NT,70200,Alice Springs (T),131.5145,106.7565,36.44725,67.5345
7,NT,70420,Barkly (R),33.05775,40.1985,,17.02475
7,NT,70700,Coomalie (S),,,,15.21975
7,NT,72200,Katherine (T),39.5815,47.25975,19.954,30.18925
7,NT,72330,MacDonnell (R),76.2045,112.39225,44.87675,76.393
7,NT,73600,Roper Gulf (R),36.28175,26.28325,,
7,NT,74550,Victoria Daly (R),,18.51425,,
7,NT,74660,West Arnhem (R),33.147,44.0275,21.96275,35.196
