Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,State_Code,State
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,4635986.16,**,4357979.12,**,1,New South Wales
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,886308.81,*,772959.27,*,2,Victoria
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,48619240.06,^,47434852.65,^,3,Queensland
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,842232.39,**,813391.39,**,4,South Australia
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,489120.92,^,452008.83,^,5,Western Australia
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,91911.11,**,80156.65,**,6,Tasmania
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,1413405.13,*,1369443.38,*,7,Northern Territory
