X,Y,id,ENO,NAME,SYNONYMS,STATE,LONGITUDE,LATITUDE,ACCURACY,SIGNIFICANT,SIGNIFICANCE_VALUE,SIGNIFICANCE_CALC_METHOD,ACCESS_CODE,COMMODIDS,COMMODNAMES,OPERATING_STATUS
140.2982,-21.0156,mineral_deposits.3311,"336235",Deadlock,,QLD,140.2981834776,-21.0155534673,"100",N,"6",AUTO,O,Cu,Copper,historic mine
140.2702,-20.9846,mineral_deposits.3312,"334656",Diagonal,,QLD,140.2701925721,-20.9845557266,"100",N,"6",AUTO,O,"Cu, Au","Copper, Gold",historic mine
140.0872,-19.8376,mineral_deposits.3313,"335768",Dinkum Digger,,QLD,140.0871810971,-19.8375566909,"100",N,"6",AUTO,O,"Cu, Au","Copper, Gold",historic mine
139.9982,-19.7946,mineral_deposits.3314,"335222",Dobbyn,"Dobbyn North, Dobbyn South",QLD,139.998181838,-19.7945583848,"100",N,"6",AUTO,O,"Cu, Au","Copper, Gold",historic mine
140.3642,-20.6796,mineral_deposits.3315,"336038",Double Oxide,New Chum,QLD,140.3641860841,-20.679555766,"100",N,"6",AUTO,O,Cu,Copper,historic mine
139.8612,-21.3586,mineral_deposits.3316,"335304",Duchess,,QLD,139.8611994214,-21.358558824,"100",N,"6",AUTO,O,"Cu, Au, Ag","Copper, Gold, Silver",historic mine
140.229,-19.756,mineral_deposits.3317,"336132",Eclipse,Eclipse West,QLD,140.2290118179,-19.7560269836,"2000",N,"6",AUTO,O,"Cu, Au","Copper, Gold",historic mine
139.8398,-20.8184,mineral_deposits.3318,"333407",Edna May,"Edna May West, Edna May West Extended, Willsburgh",QLD,139.8398,-20.8184,"500",N,"6",AUTO,O,Cu,Copper,historic mine
140.0172,-19.8186,mineral_deposits.3319,"335280",Elsie,Elsie Siding,QLD,140.0171817881,-19.8185571981,"100",N,"6",AUTO,O,"Cu, Au","Copper, Gold",historic mine
140.0142,-20.9006,mineral_deposits.3320,"333313",Even Steven,,QLD,140.0141979816,-20.9005596664,"100",N,"6",AUTO,O,Cu,Copper,historic mine
140.7432,-20.9865,mineral_deposits.3321,"336236",Evening Star,Mt Wheeler,QLD,140.7431808628,-20.9865494744,"100",N,"6",AUTO,O,"Cu, Au, Ag","Copper, Gold, Silver",historic mine
140.3642,-20.6476,mineral_deposits.3322,"335143",Fairfield,,QLD,140.3641848393,-20.6475558405,"100",N,"6",AUTO,O,"Cu, Au","Copper, Gold",historic mine
140.196,-20.596,mineral_deposits.3323,"335393",Federal,"Mt Moffat, Corella",QLD,140.1960174628,-20.5960320983,"2000",N,"6",AUTO,O,"Cu, Au, Ag","Copper, Gold, Silver",historic mine
140.783,-20.93,mineral_deposits.3324,"336039",Flagship,"Flagship 1, Flagship 2",QLD,140.783012939,-20.9300273328,"2000",N,"6",AUTO,O,"Cu, Au","Copper, Gold",historic mine
139.8982,-20.5946,mineral_deposits.3325,"333957",Gosp,"Gosp South, Gosp West, Blue Moon",QLD,139.8981959982,-20.5945621199,"100",N,"6",AUTO,O,Cu,Copper,historic mine
139.8082,-19.6746,mineral_deposits.3326,"333506",Hidden Treasure,,QLD,139.8081852065,-19.674560936,"100",N,"6",AUTO,O,Cu,Copper,historic mine
