Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,State_Code,State,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3307859,Hay - Total,302400015.1,,302400015.1,,Hay,Total,1,New South Wales,,,
3307859,Hay - Total,659027783.2,,659027783.2,,Hay,Total,2,Victoria,,,
3307859,Hay - Total,96054007.8,^,96054007.8,^,Hay,Total,3,Queensland,,,
3307859,Hay - Total,330930354.1,,330930354.1,,Hay,Total,4,South Australia,,,
3307859,Hay - Total,314326147,,314326147,,Hay,Total,5,Western Australia,,,
3307859,Hay - Total,58759297.92,,58759297.92,,Hay,Total,6,Tasmania,,,
3307859,Hay - Total,12137587.49,,12137587.49,,Hay,Total,7,Northern Territory,,,
3307859,Hay - Total,27050,,27050,,Hay,Total,8,Australian Capital Territory,,,
