Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,State_Code,State
1005158,Hay - Lucerne cut for hay,106355606.9,,106355606.9,,1,New South Wales
1005158,Hay - Lucerne cut for hay,62517690.13,^,62517690.13,^,2,Victoria
1005158,Hay - Lucerne cut for hay,33564563.54,^,33564563.54,^,3,Queensland
1005158,Hay - Lucerne cut for hay,26127341.53,^,26127341.53,^,4,South Australia
1005158,Hay - Lucerne cut for hay,1841726.21,^,1841726.21,^,5,Western Australia
1005158,Hay - Lucerne cut for hay,8571665.41,,8571665.41,,6,Tasmania
1005158,Hay - Lucerne cut for hay,3530.61,*,3530.61,*,7,Northern Territory
