Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,State_Code,State
9013959,Total value of crops,8397077099,,7695778820,,1,New South Wales
9013959,Total value of crops,6375125240,,5817842793,,2,Victoria
9013959,Total value of crops,6721472474,,6135883167,,3,Queensland
9013959,Total value of crops,4456997678,,4143861254,,4,South Australia
9013959,Total value of crops,6160525800,,5704768541,,5,Western Australia
9013959,Total value of crops,,,,,6,Tasmania
9013959,Total value of crops,116531023.3,,101970327.4,,7,Northern Territory
9013959,Total value of crops,,,,,8,Australian Capital Territory
