Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,State_Code,State
LMSLFERTAHAURE_F,Fertiliser - Urea slow release fertiliser - Area applied to (ha),"656,757",0,,0,9991,New South Wales and Australian Capital Territory
LMSLFERTAHAURE_F,Fertiliser - Urea slow release fertiliser - Area applied to (ha),"442,313",,,0,9992,Victoria
LMSLFERTAHAURE_F,Fertiliser - Urea slow release fertiliser - Area applied to (ha),"203,515",0,,0,9993,Queensland
LMSLFERTAHAURE_F,Fertiliser - Urea slow release fertiliser - Area applied to (ha),"324,289",,667,0,9994,South Australia
LMSLFERTAHAURE_F,Fertiliser - Urea slow release fertiliser - Area applied to (ha),"820,705",,831,0,9995,Western Australia
LMSLFERTAHAURE_F,Fertiliser - Urea slow release fertiliser - Area applied to (ha),"20,879",,233,,9996,Tasmania
LMSLFERTAHAURE_F,Fertiliser - Urea slow release fertiliser - Area applied to (ha),"2,720",0,20,,9997,Northern Territory
