Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,State_Code,State
LMFCROPALTCOT_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Cotton - Volume applied (L),"4,978,022",0,44,,9991,New South Wales
LMFCROPALTCOT_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Cotton - Volume applied (L),"338,923",,8,,9993,Queensland
LMFCROPALTCOT_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Cotton - Volume applied (L),"4,978,022",0,44,,9991,Australian Capital Territory
