Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,State_Code,State
4202258,Fruit and nuts - Pome fruit - Apples,41573272.92,,36980076.35,,1,New South Wales
4202258,Fruit and nuts - Pome fruit - Apples,202265858.2,,173924671.9,,2,Victoria
4202258,Fruit and nuts - Pome fruit - Apples,77397100.87,,64949883.99,,3,Queensland
4202258,Fruit and nuts - Pome fruit - Apples,70295561.47,,60085628.29,,4,South Australia
4202258,Fruit and nuts - Pome fruit - Apples,74876839.24,,62636120.06,,5,Western Australia
4202258,Fruit and nuts - Pome fruit - Apples,45331430.95,^,37002992.68,^,6,Tasmania
