"46270DO002_201617 Land Management and Farming in Australia, 2016�17",,,,,,,
Released at 11:30 am (Canberra time) 26 June 2018,,,,,,,
"Land Management and Farming in Australia, 2016-17 � Australia, States and Territories and NRM regions�2016-17",,,,,,,
,,,,,,,
Region code,Region label,Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors
0,Australia,AGLANDTOTLAHA_F,Area of holding (ha) (a),"393,797,177",,"88,073",
0,Australia,AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"15,447,470",,"60,827",
0,Australia,AGNONPROD_AHACON_F,Land use - Land set aside for conservation/protection purposes - Area (ha) (b),"7,420,344",,"28,556",
0,Australia,AGNONPROD_AHAOTH_F,Land use - Other areas not used for agricultural production - Area (ha) (c),"8,027,126",,"56,415",
0,Australia,AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"372,720,692",,"84,986",
0,Australia,AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"31,073,573",,"45,999",
0,Australia,AGLANDGRAZEHA_F,Land use - Land mainly used for grazing - Total area (ha) (e),"340,763,119",,"64,964",
0,Australia,AGPROD_AHAGRI_F,Land use - Land mainly used for grazing - Grazing on improved pastures - Area (ha),"35,566,880",,"49,822",
0,Australia,AGPROD_AHAGRO_F,Land use - Land mainly used for grazing - Grazing on other land - Area (ha) (f),"305,196,239",,"32,476",
0,Australia,AGPROD_AHACRGR_D,Land use - Land mainly used for cropping and improved pastures - Total area (ha),"66,640,453",,"74,941",
0,Australia,AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"773,755",,"4,922",
0,Australia,AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"192,869",^,"2,398",
0,Australia,AGPRODFORNATAHA_F,Land use - Land mainly used for forestry - Native forest - Area (ha),"580,886",^,"3,129",
0,Australia,AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),"110,244",^,"3,412",
0,Australia,AGLANDLSAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land sold (ha),"5,251,910",^,"2,731",
0,Australia,AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"2,572,443",^,"2,774",
0,Australia,AGLANDLSAHAUDV_F,Agricultural land vacated - Use of land after vacation - Urban development - Area of land sold (ha),np,,80,^
0,Australia,AGLANDLLVAHAUDV_F,Agricultural land vacated - Use of land after vacation - Urban development - Area of land leased out or vacated (ha),464,*,27,**
0,Australia,AGLANDLSAHAMNG_F,Agricultural land vacated - Use of land after vacation - Mining - Area of land sold (ha),np,,np,
0,Australia,AGLANDLLVAHAMNG_F,Agricultural land vacated - Use of land after vacation - Mining - Area of land leased out or vacated (ha),"12,854",**,22,*
0,Australia,AGLANDLSAHAOTH_F,Agricultural land vacated - Use of land after vacation - Other/unknown - Area of land sold (ha),"63,049",*,146,^
0,Australia,AGLANDLLVAHAOTH_F,Agricultural land vacated - Use of land after vacation - Other/unknown - Area of land leased out or vacated (ha),"30,681",**,134,^
0,Australia,AGLANDSOLDHA_F,Agricultural land vacated - Land sold during the reference period - Total area (ha),"5,315,995",^,"2,954",
0,Australia,AGLANDLEAVACHA_F,Agricultural land vacated - Land leased out or vacated during the reference period - Total area (ha),"2,616,442",^,"2,929",
0,Australia,LMPAST100ANPAHA_F,Pasture management - Area 100 percent annual pasture - Area (ha),"5,249,033",,"10,371",
0,Australia,LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"8,301,515",,"13,854",
0,Australia,LMPAST100PERAHA_F,Pasture management - Area 100 percent perennial pasture - Area (ha),"3,680,119",,"7,610",
0,Australia,LMLANDCRPPAS_F,Crop and pasture management - Pasture and crop land cultivated - Total area cultivated (ha),"23,190,743",,"35,779",
0,Australia,LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"2,942,730",,"17,034",
